PRCP       055063 18920401 20080131 missing_value=99999.9 WILLOW TREE (MAIN STREET)                 
19610701 19610731    47.4
19610801 19610831    63.7
19610901 19610930    11.6
19611001 19611031    43.5
19611101 19611130   108.3
19611201 19611231    48.1
19620101 19620131   146.7
19620201 19620228    65.7
19620301 19620331    18.0
19620401 19620430    33.2
19620501 19620531    90.2
19620601 19620630     8.6
19620701 19620731    35.3
19620801 19620831    47.6
19620901 19620930    40.6
19621001 19621031   104.3
19621101 19621130    20.1
19621201 19621231    77.3
19630101 19630131   201.7
19630201 19630228    35.8
19630301 19630331   117.9
19630401 19630430    29.7
19630501 19630531   103.7
19630601 19630630    52.9
19630701 19630731    35.5
19630801 19630831    82.1
19630901 19630930    36.4
19631001 19631031    43.9
19631101 19631130    68.6
19631201 19631231   105.2
19640101 19640131    68.4
19640201 19640229    16.8
19640301 19640331   109.1
19640401 19640430   142.5
19640501 19640531    36.1
19640601 19640630    77.8
19640701 19640731    57.5
19640801 19640831    16.2
19640901 19640930   107.7
19641001 19641031    69.3
19641101 19641130    25.2
19641201 19641231    20.0
19650101 19650131    30.0
19650201 19650228     4.6
19650301 19650331     2.1
19650401 19650430    41.7
19650501 19650531    12.0
19650601 19650630    30.2
19650701 19650731    17.5
19650801 19650831    39.8
19650901 19650930    32.9
19651001 19651031    39.7
19651101 19651130    69.8
19651201 19651231   112.8
19660101 19660131    16.2
19660201 19660228    15.6
19660301 19660331    26.1
19660401 19660430     5.4
19660501 19660531    28.1
19660601 19660630    61.8
19660701 19660731    15.3
19660801 19660831    98.1
19660901 19660930    36.5
19661001 19661031    92.1
19661101 19661130   133.8
19661201 19661231   126.7
19670101 19670131    61.5
19670201 19670228    31.0
19670301 19670331    89.0
19670401 19670430    13.0
19670501 19670531    28.7
19670601 19670630    40.5
19670701 19670731    10.9
19670801 19670831    63.5
19670901 19670930    23.2
19671001 19671031    95.9
19671101 19671130     5.9
19671201 19671231    57.0
19680101 19680131   163.9
19680201 19680229    26.9
19680301 19680331    47.0
19680401 19680430    16.3
19680501 19680531   170.6
19680601 19680630    14.8
19680701 19680731    42.0
19680801 19680831    76.8
19680901 19680930    69.7
19681001 19681031    43.7
19681101 19681130    18.3
19681201 19681231   118.9
19690101 19690131    64.9
19690201 19690228   121.1
19690301 19690331    34.3
19690401 19690430    63.0
19690501 19690531    41.9
19690601 19690630    51.3
19690701 19690731    98.8
19690801 19690831    62.1
19690901 19690930    50.8
19691001 19691031   107.9
19691101 19691130   102.8
19691201 19691231    49.3
19700101 19700131   138.9
19700201 19700228    67.6
19700301 19700331    15.3
19700401 19700430    38.1
19700501 19700531    17.1
19700601 19700630    23.3
19700701 19700731     1.0
19700801 19700831    40.4
19700901 19700930    92.5
19701001 19701031    34.9
19701101 19701130    79.6
19701201 19701231   195.9
19710101 19710131   223.1
19710201 19710228   128.4
19710301 19710331     1.0
19710401 19710430     6.6
19710501 19710531    11.2
19710601 19710630     3.6
19710701 19710731    61.8
19710801 19710831    56.5
19710901 19710930    55.7
19711001 19711031    13.7
19711101 19711130    71.9
19711201 19711231    47.5
19720101 19720131   134.9
19720201 19720229    41.7
19720301 19720331    24.6
19720401 19720430    25.9
19720501 19720531    39.8
19720601 19720630    10.5
19720701 19720731     4.6
19720801 19720831    34.8
19720901 19720930    16.2
19721001 19721031    92.4
19721101 19721130   150.0
19721201 19721231    26.6
19730101 19730131   119.4
19730201 19730228   130.1
19730301 19730331    17.5
19730401 19730430    11.3
19730501 19730531    40.7
19730601 19730630    62.3
19730701 19730731    57.9
19730801 19730831    79.0
19730901 19730930    62.6
19731001 19731031   118.4
19731101 19731130   121.7
19731201 19731231    78.8
19740101 19740131   174.6
19740201 19740228    24.8
19740301 19740331     0.5
19740401 19740430    53.9
19740501 19740531    49.2
19740601 19740630    19.0
19740701 19740731    29.6
19740801 19740831    47.2
19740901 19740930    35.0
19741001 19741031    61.0
19741101 19741130    63.2
19741201 19741231     1.8
19750101 19750131    74.0
19750201 19750228   119.8
19750301 19750331    58.8
19750401 19750430     7.0
19750501 19750531     1.4
19750601 19750630   102.8
19750701 19750731    11.8
19750801 19750831    35.6
19750901 19750930    44.2
19751001 19751031   131.0
19751101 19751130    21.4
19751201 19751231    32.6
19760101 19760131   341.6
19760201 19760229   123.2
19760301 19760331    39.0
19760401 19760430    20.4
19760501 19760531    15.8
19760601 19760630    36.4
19760701 19760731    68.2
19760801 19760831    14.2
19760901 19760930    27.8
19761001 19761031    75.1
19761101 19761130    68.4
19761201 19761231    43.2
19770101 19770131   196.2
19770201 19770228   144.7
19770301 19770331   127.7
19770401 19770430    81.2
19770501 19770531   140.4
19770601 19770630    33.0
19770701 19770731     4.4
19770801 19770831    35.8
19770901 19770930    32.8
19771001 19771031    15.6
19771101 19771130    34.0
19771201 19771231    42.8
19780101 19780131   150.6
19780201 19780228    24.0
19780301 19780331    96.4
19780401 19780430    43.8
19780501 19780531    91.2
19780601 19780630   104.6
19780701 19780731    73.6
19780801 19780831    32.2
19780901 19780930   109.2
19781001 19781031    27.2
19781101 19781130    52.2
19781201 19781231   152.4
19790101 19790131    13.8
19790201 19790228    20.0
19790301 19790331    82.2
19790401 19790430    20.6
19790501 19790531    73.6
19790601 19790630    49.2
19790701 19790731    10.8
19790801 19790831    23.4
19790901 19790930    92.0
19791001 19791031    37.6
19791101 19791130   109.8
19791201 19791231    14.4
19800101 19800131    92.0
19800201 19800229     3.6
19800301 19800331    42.4
19800401 19800430     1.6
19800501 19800531    62.2
19800601 19800630    50.0
19800701 19800731    47.6
19800801 19800831    27.2
19800901 19800930     1.2
19801001 19801031    72.4
19801101 19801130     4.0
19801201 19801231    74.4
19810101 19810131    57.8
19810201 19810228    91.4
19810301 19810331     0.0
19810401 19810430    34.4
19810501 19810531    75.2
19810601 19810630    91.6
19810701 19810731    76.8
19810801 19810831    18.4
19810901 19810930    23.6
19811001 19811031    86.4
19811101 19811130    68.0
19811201 19811231    42.6
19820101 19820131    59.8
19820201 19820228    17.8
19820301 19820331   105.1
19820401 19820430     9.5
19820501 19820531    13.4
19820601 19820630    11.1
19820701 19820731    27.3
19820801 19820831     0.0
19820901 19820930    38.5
19821001 19821031    17.1
19821101 19821130    12.3
19821201 19821231    54.4
19830101 19830131    99.3
19830201 19830228    17.6
19830301 19830331    29.2
19830401 19830430   110.8
19830501 19830531    96.0
19830601 19830630    27.2
19830701 19830731    73.0
19830801 19830831    52.4
19830901 19830930    68.2
19831001 19831031    43.4
19831101 19831130    81.8
19831201 19831231   135.4
19840101 19840131   209.0
19840201 19840229   104.2
19840301 19840331    52.8
19840401 19840430    46.4
19840501 19840531    24.4
19840601 19840630     9.6
19840701 19840731   147.8
19840801 19840831    28.4
19840901 19840930    56.8
19841001 19841031    38.2
19841101 19841130   133.0
19841201 19841231    46.6
19850101 19850131    13.0
19850201 19850228    67.8
19850301 19850331    23.1
19850401 19850430    44.6
19850501 19850531    21.8
19850601 19850630    56.0
19850701 19850731    11.8
19850801 19850831   109.6
19850901 19850930    50.4
19851001 19851031   110.1
19851101 19851130    58.9
19851201 19851231   112.0
19860101 19860131    81.0
19860201 19860228    24.8
19860301 19860331    13.2
19860401 19860430     1.2
19860501 19860531    65.4
19860601 19860630     8.5
19860701 19860731   145.3
19860801 19860831    51.0
19860901 19860930    53.5
19861001 19861031    33.8
19861101 19861130    59.4
19861201 19861231    22.4
19870101 19870131   140.0
19870201 19870228    30.4
19870301 19870331    77.0
19870401 19870430     4.6
19870501 19870531    91.0
19870601 19870630    32.0
19870701 19870731    22.4
19870801 19870831   120.6
19870901 19870930    37.0
19871001 19871031    44.4
