PRCP       013005 19200101 20180131 missing_value=99999.9 LORNA GLEN                                
20091201 20091231     5.8
20100101 20100131 99999.9
20100201 20100228    12.0
20100301 20100331    35.5
20100401 20100430    78.6
20100501 20100531     9.0
20100601 20100630    16.5
20100701 20100731    14.0
20100801 20100831     6.2
20100901 20100930     0.6
20101001 20101031 99999.9
20101101 20101130    17.4
20101201 20101231 99999.9
20110101 20110131    21.2
20110201 20110228   124.4
20110301 20110331    54.8
20110401 20110430    20.2
20110501 20110531     5.5
20110601 20110630     3.6
20110701 20110731    18.4
20110801 20110831    10.0
20110901 20110930     0.0
20111001 20111031    15.8
20111101 20111130    74.4
20111201 20111231    46.2
20120101 20120131    71.9
20120201 20120229 99999.9
20120301 20120331 99999.9
20120401 20120430    10.4
20120501 20120531 99999.9
20120601 20120630 99999.9
20120701 20120731 99999.9
20120801 20120831 99999.9
20120901 20120930     0.0
20121001 20121031     0.0
20121101 20121130 99999.9
20121201 20121231 99999.9
20130101 20130131    20.3
20130201 20130228    12.4
20130301 20130331   111.1
20130401 20130430     0.0
20130501 20130531    16.4
20130601 20130630    47.8
20130701 20130731     1.0
20130801 20130831     0.0
20130901 20130930     1.0
20131001 20131031     0.0
20131101 20131130     1.0
20131201 20131231    51.0
20140101 20140131   130.6
20140201 20140228   151.6
20140301 20140331    20.2
20140401 20140430    13.0
20140501 20140531    19.9
20140601 20140630     2.0
20140701 20140731    43.5
20140801 20140831     0.0
20140901 20140930     0.0
20141001 20141031    12.4
20141101 20141130    13.1
20141201 20141231    24.4
20150101 20150131    13.1
20150201 20150228    16.2
20150301 20150331    55.7
20150401 20150430    34.1
