PRCP       092012 18880801 20180131 missing_value=99999.9 FINGAL (FORESTRY LEGGE STREET)            
19590701 19590731    34.0
19590801 19590831    43.7
19590901 19590930   143.5
19591001 19591031    25.4
19591101 19591130    22.6
19591201 19591231   121.3
19600101 19600131    33.6
19600201 19600229    17.0
19600301 19600331    13.2
19600401 19600430   175.7
19600501 19600531   105.9
19600601 19600630    50.0
19600701 19600731    99.6
19600801 19600831    63.6
19600901 19600930    67.9
19601001 19601031    16.9
19601101 19601130    50.2
19601201 19601231     4.6
19610101 19610131     2.0
19610201 19610228     2.3
19610301 19610331    21.1
19610401 19610430    64.1
19610501 19610531     8.1
19610601 19610630    24.1
19610701 19610731    90.2
19610801 19610831    47.6
19610901 19610930     4.1
19611001 19611031    21.5
19611101 19611130    41.1
19611201 19611231    59.5
19620101 19620131    33.0
19620201 19620228    17.3
19620301 19620331     3.3
19620401 19620430    18.5
19620501 19620531    93.8
19620601 19620630    29.7
19620701 19620731   116.9
19620801 19620831    93.0
19620901 19620930    18.7
19621001 19621031    73.7
19621101 19621130    21.9
19621201 19621231    38.1
19630101 19630131    70.4
19630201 19630228    19.8
19630301 19630331    12.7
19630401 19630430     0.0
19630501 19630531    30.2
19630601 19630630    19.6
19630701 19630731    70.0
19630801 19630831    62.8
19630901 19630930    43.6
19631001 19631031    54.1
19631101 19631130    37.6
19631201 19631231    57.9
19640101 19640131    10.2
19640201 19640229   196.9
19640301 19640331    38.5
19640401 19640430    40.0
19640501 19640531    17.7
19640601 19640630    79.1
19640701 19640731    66.1
19640801 19640831    22.8
19640901 19640930    58.9
19641001 19641031    44.3
19641101 19641130    23.9
19641201 19641231    83.5
19650101 19650131    43.6
19650201 19650228     0.0
19650301 19650331    23.7
19650401 19650430   123.9
19650501 19650531    38.5
19650601 19650630    19.3
19650701 19650731    24.5
19650801 19650831    39.5
19650901 19650930    53.1
19651001 19651031     8.6
19651101 19651130    49.0
19651201 19651231    43.3
19660101 19660131     1.6
19660201 19660228    35.8
19660301 19660331    59.5
19660401 19660430    30.4
19660501 19660531    23.8
19660601 19660630    26.2
19660701 19660731    58.9
19660801 19660831    54.5
19660901 19660930   117.1
19661001 19661031    73.9
19661101 19661130    21.2
19661201 19661231    28.3
19670101 19670131    11.5
19670201 19670228     6.6
19670301 19670331    15.9
19670401 19670430     1.4
19670501 19670531    12.4
19670601 19670630    52.1
19670701 19670731    92.4
19670801 19670831   123.1
19670901 19670930    50.0
19671001 19671031    11.6
19671101 19671130    11.4
19671201 19671231    25.9
19680101 19680131    17.5
19680201 19680229    16.8
19680301 19680331    46.2
19680401 19680430    40.4
19680501 19680531    24.4
19680601 19680630    24.6
19680701 19680731    24.8
19680801 19680831    58.6
19680901 19680930    16.3
19681001 19681031    56.3
19681101 19681130    56.1
19681201 19681231    23.3
19690101 19690131    17.8
19690201 19690228   102.1
19690301 19690331    38.0
19690401 19690430    21.1
19690501 19690531   246.2
19690601 19690630    16.4
19690701 19690731    24.2
19690801 19690831    92.7
19690901 19690930    31.8
19691001 19691031    14.3
19691101 19691130    78.6
19691201 19691231    63.8
19700101 19700131    57.5
19700201 19700228    47.3
19700301 19700331   194.7
19700401 19700430    29.6
19700501 19700531    26.1
19700601 19700630   166.8
19700701 19700731    35.0
19700801 19700831   168.9
19700901 19700930    29.2
19701001 19701031    20.1
19701101 19701130    64.8
19701201 19701231   106.2
19710101 19710131    95.7
19710201 19710228    47.9
19710301 19710331    43.4
19710401 19710430    65.9
19710501 19710531   100.3
19710601 19710630    45.0
19710701 19710731     6.3
19710801 19710831    87.8
19710901 19710930    66.6
19711001 19711031    77.7
19711101 19711130    62.0
19711201 19711231    60.3
19720101 19720131    77.2
19720201 19720229    48.5
19720301 19720331    15.0
19720401 19720430    17.0
19720501 19720531     6.1
19720601 19720630    48.8
19720701 19720731    53.0
19720801 19720831    57.5
19720901 19720930    17.8
19721001 19721031    24.7
19721101 19721130    38.2
19721201 19721231     7.5
19730101 19730131    21.9
19730201 19730228    37.4
19730301 19730331    61.8
19730401 19730430    26.8
19730501 19730531   107.2
19730601 19730630    47.3
19730701 19730731    27.8
19730801 19730831    36.6
19730901 19730930    55.1
19731001 19731031    71.0
19731101 19731130    45.5
19731201 19731231    50.7
19740101 19740131    29.8
19740201 19740228    16.2
19740301 19740331    90.0
19740401 19740430   199.4
19740501 19740531    43.0
19740601 19740630    63.4
19740701 19740731   170.8
19740801 19740831    39.8
19740901 19740930    56.4
19741001 19741031    52.6
19741101 19741130    76.4
19741201 19741231   119.2
19750101 19750131    43.0
19750201 19750228     4.0
19750301 19750331    63.8
19750401 19750430    16.0
19750501 19750531    63.8
19750601 19750630    42.0
19750701 19750731   154.2
19750801 19750831   124.0
19750901 19750930    94.2
19751001 19751031    42.0
19751101 19751130   148.8
19751201 19751231    23.2
19760101 19760131    50.2
19760201 19760229     6.8
19760301 19760331    79.8
19760401 19760430    37.6
19760501 19760531    13.0
19760601 19760630    68.6
19760701 19760731    17.2
19760801 19760831    73.0
19760901 19760930    59.4
19761001 19761031    98.2
19761101 19761130    76.0
19761201 19761231    88.8
19770101 19770131    67.4
19770201 19770228    70.6
19770301 19770331   124.4
19770401 19770430     4.0
19770501 19770531    67.6
19770601 19770630    87.4
19770701 19770731    58.4
19770801 19770831    34.4
19770901 19770930    22.4
19771001 19771031    24.0
19771101 19771130    55.2
19771201 19771231     6.0
19780101 19780131    33.0
19780201 19780228    96.4
19780301 19780331    16.6
19780401 19780430    55.2
19780501 19780531   164.8
19780601 19780630   120.4
19780701 19780731    29.6
