PRCP       020020 19011201 20180131 missing_value=99999.9 PANARAMITEE                               
19560701 19560731    59.1
19560801 19560831     0.0
19560901 19560930    17.8
19561001 19561031    21.7
19561101 19561130     4.6
19561201 19561231     0.0
19570101 19570131     0.0
19570201 19570228     6.4
19570301 19570331     3.3
19570401 19570430     0.0
19570501 19570531     0.0
19570601 19570630    53.6
19570701 19570731    12.7
19570801 19570831    22.1
19570901 19570930     2.5
19571001 19571031    16.1
19571101 19571130     0.0
19571201 19571231    18.1
19580101 19580131    38.1
19580201 19580228     8.9
19580301 19580331    24.6
19580401 19580430    15.7
19580501 19580531     6.1
19580601 19580630     0.0
19580701 19580731    18.8
19580801 19580831    43.7
19580901 19580930    12.7
19581001 19581031    45.5
19581101 19581130    47.5
19581201 19581231     3.0
19590101 19590131     0.8
19590201 19590228    10.2
19590301 19590331    14.5
19590401 19590430     0.5
19590501 19590531    14.7
19590601 19590630     0.0
19590701 19590731    26.7
19590801 19590831     5.9
19590901 19590930     7.8
19591001 19591031     8.6
19591101 19591130     2.3
19591201 19591231    18.4
19600101 19600131    17.5
19600201 19600229     2.3
19600301 19600331     1.0
19600401 19600430     9.1
19600501 19600531    19.5
19600601 19600630     4.6
19600701 19600731    28.0
19600801 19600831    16.4
19600901 19600930    27.2
19601001 19601031     3.8
19601101 19601130    36.6
19601201 19601231     5.6
19610101 19610131     3.0
19610201 19610228     8.5
19610301 19610331     0.5
19610401 19610430    48.2
19610501 19610531    10.7
19610601 19610630     1.1
19610701 19610731     9.4
19610801 19610831    14.3
19610901 19610930     5.1
19611001 19611031     0.0
19611101 19611130    21.4
19611201 19611231    23.6
19620101 19620131    28.2
19620201 19620228     0.0
19620301 19620331    19.0
19620401 19620430     0.0
19620501 19620531    48.0
19620601 19620630    10.4
19620701 19620731     5.1
19620801 19620831    19.6
19620901 19620930     0.0
19621001 19621031    42.2
19621101 19621130     0.5
19621201 19621231    73.2
19630101 19630131    11.4
19630201 19630228     5.1
19630301 19630331     1.3
19630401 19630430     9.2
19630501 19630531    30.8
19630601 19630630    42.3
19630701 19630731     5.9
19630801 19630831    17.0
19630901 19630930     1.3
19631001 19631031    12.0
19631101 19631130     1.5
19631201 19631231     9.7
19640101 19640131     8.1
19640201 19640229     1.0
19640301 19640331     0.0
19640401 19640430    18.1
19640501 19640531    12.5
19640601 19640630     5.1
19640701 19640731     5.4
19640801 19640831    26.9
19640901 19640930    94.8
19641001 19641031    11.7
19641101 19641130     2.0
19641201 19641231    14.5
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     0.0
19650401 19650430     0.0
19650501 19650531    12.2
19650601 19650630     7.1
19650701 19650731    16.3
19650801 19650831    10.4
19650901 19650930    20.0
19651001 19651031     0.0
19651101 19651130     1.8
19651201 19651231    23.1
19660101 19660131     4.0
19660201 19660228    52.1
19660301 19660331     9.9
19660401 19660430     0.8
19660501 19660531     7.6
19660601 19660630    26.9
19660701 19660731     6.2
19660801 19660831     0.3
19660901 19660930     5.1
19661001 19661031     7.1
19661101 19661130    17.5
19661201 19661231    61.0
19670101 19670131     9.7
19670201 19670228     9.9
19670301 19670331     0.8
19670401 19670430     0.0
19670501 19670531     4.6
19670601 19670630     2.1
19670701 19670731     1.3
19670801 19670831    19.1
19670901 19670930     2.5
19671001 19671031     4.1
19671101 19671130     0.0
19671201 19671231     1.8
19680101 19680131    94.0
19680201 19680229    10.9
19680301 19680331     7.3
19680401 19680430    53.0
19680501 19680531    27.5
19680601 19680630    27.9
19680701 19680731    25.1
19680801 19680831     9.2
19680901 19680930     1.1
19681001 19681031     2.8
19681101 19681130    14.5
19681201 19681231    11.9
19690101 19690131    12.5
19690201 19690228    77.5
19690301 19690331    41.2
19690401 19690430    14.0
19690501 19690531    24.1
19690601 19690630    29.7
19690701 19690731    21.5
19690801 19690831    13.5
19690901 19690930    14.3
19691001 19691031     6.9
19691101 19691130     5.8
19691201 19691231     2.1
19700101 19700131     2.8
19700201 19700228     0.0
19700301 19700331     4.6
19700401 19700430    54.9
19700501 19700531     0.5
19700601 19700630     3.6
19700701 19700731     1.5
19700801 19700831    31.4
19700901 19700930    56.7
19701001 19701031    11.6
19701101 19701130    77.0
19701201 19701231    17.0
19710101 19710131     0.0
19710201 19710228    13.0
19710301 19710331    29.1
19710401 19710430    33.5
19710501 19710531     4.9
19710601 19710630    19.8
19710701 19710731    15.5
19710801 19710831    13.6
19710901 19710930    35.6
19711001 19711031     1.5
19711101 19711130    25.1
19711201 19711231    18.4
19720101 19720131   109.5
19720201 19720229    14.7
19720301 19720331     0.0
19720401 19720430     4.1
19720501 19720531     4.4
19720601 19720630     3.0
19720701 19720731     5.5
19720801 19720831    25.4
19720901 19720930     2.3
19721001 19721031    21.1
19721101 19721130     6.4
19721201 19721231     6.6
19730101 19730131    23.4
19730201 19730228   130.3
19730301 19730331    45.8
19730401 19730430    17.7
19730501 19730531     5.6
19730601 19730630    38.0
19730701 19730731    27.6
19730801 19730831    47.5
19730901 19730930    10.2
19731001 19731031    64.5
19731101 19731130    27.9
19731201 19731231    45.1
19740101 19740131    61.6
19740201 19740228    41.6
19740301 19740331    23.6
19740401 19740430   115.0
19740501 19740531   124.0
19740601 19740630    22.6
19740701 19740731    15.8
19740801 19740831     6.0
19740901 19740930    31.2
19741001 19741031    64.2
19741101 19741130     7.4
19741201 19741231     0.0
19750101 19750131     4.2
19750201 19750228    33.8
19750301 19750331    11.6
19750401 19750430    10.6
19750501 19750531     8.8
19750601 19750630     0.0
19750701 19750731    13.0
19750801 19750831    18.0
19750901 19750930    43.2
19751001 19751031    68.8
19751101 19751130     8.4
19751201 19751231   111.2
19760101 19760131    19.0
19760201 19760229    33.8
19760301 19760331    11.0
19760401 19760430    27.0
19760501 19760531     0.0
19760601 19760630     3.6
19760701 19760731     4.0
19760801 19760831     0.8
19760901 19760930    16.6
19761001 19761031    89.0
19761101 19761130    13.2
19761201 19761231     9.0
19770101 19770131     3.0
19770201 19770228     4.0
19770301 19770331     0.0
19770401 19770430     0.0
19770501 19770531    11.8
19770601 19770630    19.4
19770701 19770731     2.4
19770801 19770831     0.0
19770901 19770930     3.2
19771001 19771031    17.2
19771101 19771130    36.0
19771201 19771231     9.0
19780101 19780131    14.8
19780201 19780228     0.0
19780301 19780331    11.6
19780401 19780430     2.6
19780501 19780531     3.6
19780601 19780630    83.6
19780701 19780731    17.0
19780801 19780831    27.0
19780901 19780930    35.0
19781001 19781031    18.4
19781101 19781130    33.2
19781201 19781231     5.0
19790101 19790131    28.8
19790201 19790228    57.6
19790301 19790331     0.0
19790401 19790430    10.0
19790501 19790531    62.2
19790601 19790630     3.4
19790701 19790731     0.4
19790801 19790831    36.8
19790901 19790930    33.8
19791001 19791031    12.4
19791101 19791130    17.4
19791201 19791231    16.2
19800101 19800131    29.6
19800201 19800229     3.0
19800301 19800331     0.4
19800401 19800430    79.0
19800501 19800531    41.8
19800601 19800630    21.4
19800701 19800731    10.2
19800801 19800831     2.4
19800901 19800930     1.0
19801001 19801031    25.0
19801101 19801130     0.0
19801201 19801231     6.0
19810101 19810131    73.0
19810201 19810228    60.0
19810301 19810331     2.0
19810401 19810430     4.0
19810501 19810531    28.6
19810601 19810630    20.0
19810701 19810731    43.0
19810801 19810831    11.4
19810901 19810930    14.0
19811001 19811031     1.0
19811101 19811130    14.4
19811201 19811231     0.0
19820101 19820131    17.0
19820201 19820228     2.0
19820301 19820331    18.0
19820401 19820430     4.0
19820501 19820531     9.0
19820601 19820630    10.0
19820701 19820731     0.0
19820801 19820831     0.0
19820901 19820930     3.0
19821001 19821031     0.0
19821101 19821130     0.0
19821201 19821231     0.0
19830101 19830131     0.0
19830201 19830228    17.4
19830301 19830331     0.0
19830401 19830430     1.2
19830501 19830531     9.0
19830601 19830630     6.4
19830701 19830731    20.2
19830801 19830831    18.0
19830901 19830930    23.0
19831001 19831031    20.0
19831101 19831130    37.0
19831201 19831231    70.0
19840101 19840131    39.0
19840201 19840229     1.0
19840301 19840331     6.0
19840401 19840430    35.0
19840501 19840531     3.0
19840601 19840630    12.0
19840701 19840731    41.2
19840801 19840831    19.2
19840901 19840930    19.6
19841001 19841031    42.8
19841101 19841130     2.6
19841201 19841231     0.0
19850101 19850131     3.8
19850201 19850228    15.0
19850301 19850331     1.0
19850401 19850430     7.0
19850501 19850531    13.0
19850601 19850630     5.8
19850701 19850731     2.0
19850801 19850831    42.0
19850901 19850930     0.0
19851001 19851031    28.0
19851101 19851130    11.0
19851201 19851231    15.4
19860101 19860131     6.2
19860201 19860228     0.0
19860301 19860331     0.0
19860401 19860430     0.6
19860501 19860531    18.0
19860601 19860630     3.4
19860701 19860731    16.0
19860801 19860831    42.2
19860901 19860930    23.2
19861001 19861031    57.8
19861101 19861130    16.8
19861201 19861231    55.0
19870101 19870131    36.0
19870201 19870228    93.2
19870301 19870331    37.0
19870401 19870430     4.8
19870501 19870531    10.0
19870601 19870630    20.6
19870701 19870731     8.6
19870801 19870831    20.4
19870901 19870930    15.1
19871001 19871031    19.4
19871101 19871130     3.6
19871201 19871231    39.6
19880101 19880131    24.0
19880201 19880229     0.0
19880301 19880331    29.8
19880401 19880430    10.0
19880501 19880531    28.2
19880601 19880630    21.6
19880701 19880731    11.6
19880801 19880831     0.0
19880901 19880930     7.8
19881001 19881031     0.0
19881101 19881130    18.8
19881201 19881231    45.2
19890101 19890131     0.0
19890201 19890228     0.0
19890301 19890331   142.0
19890401 19890430    23.6
19890501 19890531    41.6
19890601 19890630    18.0
19890701 19890731    31.6
19890801 19890831     8.4
19890901 19890930     5.6
19891001 19891031     4.0
19891101 19891130    13.4
19891201 19891231    12.2
19900101 19900131    20.2
19900201 19900228     7.2
19900301 19900331     3.0
19900401 19900430    12.0
19900501 19900531    68.0
19900601 19900630    23.4
19900701 19900731    33.8
19900801 19900831    16.0
19900901 19900930 99999.9
19901001 19901031     3.0
19901101 19901130     0.4
19901201 19901231    11.4
19910101 19910131    47.8
19910201 19910228     0.0
19910301 19910331     0.0
19910401 19910430     7.2
19910501 19910531     2.6
19910601 19910630    45.4
19910701 19910731    28.6
19910801 19910831     9.2
19910901 19910930     3.0
19911001 19911031     3.0
19911101 19911130    41.6
19911201 19911231     0.6
19920101 19920131     0.6
19920201 19920229    22.0
19920301 19920331     7.6
19920401 19920430    12.2
19920501 19920531    43.2
19920601 19920630    10.4
19920701 19920731     0.0
19920801 19920831    30.4
19920901 19920930    63.2
19921001 19921031    59.2
19921101 19921130    52.8
19921201 19921231   135.0
19930101 19930131    90.2
