PRCP       009591 18991101 20151231 missing_value=99999.9 PARDELUP                                  
19640901 19640930    65.1
19641001 19641031   120.5
19641101 19641130    33.4
19641201 19641231    32.3
19650101 19650131    18.4
19650201 19650228    23.9
19650301 19650331    65.2
19650401 19650430    35.1
19650501 19650531    79.9
19650601 19650630   106.8
19650701 19650731    61.1
19650801 19650831   103.3
19650901 19650930    65.0
19651001 19651031   129.9
19651101 19651130    56.4
19651201 19651231    80.7
19660101 19660131    15.7
19660201 19660228    14.5
19660301 19660331    10.3
19660401 19660430    51.3
19660501 19660531    46.0
19660601 19660630   162.7
19660701 19660731    91.8
19660801 19660831    67.7
19660901 19660930   103.4
19661001 19661031    90.8
19661101 19661130    11.9
19661201 19661231    29.8
19670101 19670131    11.5
19670201 19670228     6.2
19670301 19670331    42.2
19670401 19670430    41.1
19670501 19670531   123.6
19670601 19670630   133.5
19670701 19670731   151.5
19670801 19670831   111.9
19670901 19670930    35.9
19671001 19671031    24.4
19671101 19671130    25.2
19671201 19671231    27.7
19680101 19680131    29.0
19680201 19680229     4.0
19680301 19680331    51.2
19680401 19680430    69.4
19680501 19680531    52.7
19680601 19680630   135.2
19680701 19680731    94.0
19680801 19680831    85.8
19680901 19680930   113.0
19681001 19681031    62.1
19681101 19681130    14.5
19681201 19681231     6.6
19690101 19690131     4.2
19690201 19690228     1.4
19690301 19690331    23.9
19690401 19690430    49.1
19690501 19690531    39.6
19690601 19690630   103.6
19690701 19690731    93.7
19690801 19690831    67.0
19690901 19690930    30.3
19691001 19691031    19.6
19691101 19691130    41.9
19691201 19691231     9.2
19700101 19700131     4.9
19700201 19700228    79.2
19700301 19700331     4.4
19700401 19700430    96.8
19700501 19700531    63.0
19700601 19700630   136.2
19700701 19700731    93.7
19700801 19700831    63.0
19700901 19700930   117.1
19701001 19701031    73.8
19701101 19701130    40.1
19701201 19701231    16.8
19710101 19710131    16.5
19710201 19710228    28.9
19710301 19710331    60.7
19710401 19710430    46.1
19710501 19710531   131.4
19710601 19710630    47.4
19710701 19710731    63.8
19710801 19710831   107.6
19710901 19710930   130.5
19711001 19711031    61.4
19711101 19711130   111.1
19711201 19711231    25.0
19720101 19720131    16.0
19720201 19720229    10.1
19720301 19720331     7.8
19720401 19720430    46.9
19720501 19720531    46.8
19720601 19720630    59.1
19720701 19720731   110.9
19720801 19720831    97.6
19720901 19720930    35.6
19721001 19721031    63.9
19721101 19721130     2.2
19721201 19721231     2.8
19730101 19730131     5.6
19730201 19730228    17.1
19730301 19730331     3.8
19730401 19730430    44.3
19730501 19730531    81.0
19730601 19730630    64.4
19730701 19730731   111.3
19730801 19730831   134.2
19730901 19730930   122.1
19731001 19731031    90.8
19731101 19731130    73.8
19731201 19731231    18.1
19740101 19740131    32.4
19740201 19740228    16.9
19740301 19740331    17.8
19740401 19740430    55.9
19740501 19740531    57.0
19740601 19740630    58.8
19740701 19740731   148.4
19740801 19740831    56.9
19740901 19740930    36.4
19741001 19741031    57.4
19741101 19741130    59.7
19741201 19741231     2.8
19750101 19750131     6.5
19750201 19750228     8.1
19750301 19750331     6.0
19750401 19750430   109.2
19750501 19750531   127.4
19750601 19750630    72.8
19750701 19750731   153.0
19750801 19750831    63.7
19750901 19750930    66.8
19751001 19751031    85.6
19751101 19751130    43.8
19751201 19751231     4.8
19760101 19760131    70.9
19760201 19760229    34.8
19760301 19760331     5.0
19760401 19760430    93.8
19760501 19760531    88.9
19760601 19760630    69.2
19760701 19760731    64.6
19760801 19760831    41.2
19760901 19760930    72.6
19761001 19761031    92.9
19761101 19761130    36.2
19761201 19761231    14.5
19770101 19770131    10.4
19770201 19770228    11.6
19770301 19770331     9.3
19770401 19770430    32.0
19770501 19770531   164.9
19770601 19770630    64.8
19770701 19770731    67.2
19770801 19770831   118.7
19770901 19770930    64.5
19771001 19771031   141.7
19771101 19771130    39.2
19771201 19771231    18.6
19780101 19780131    11.4
19780201 19780228    50.2
19780301 19780331    11.8
19780401 19780430    66.4
19780501 19780531    87.9
19780601 19780630   188.4
19780701 19780731   124.9
19780801 19780831    45.2
19780901 19780930    94.2
19781001 19781031    38.3
19781101 19781130    33.8
19781201 19781231    40.5
19790101 19790131    19.9
19790201 19790228    34.4
19790301 19790331    25.2
19790401 19790430    21.5
19790501 19790531    89.0
19790601 19790630    94.6
19790701 19790731    95.0
19790801 19790831    67.9
19790901 19790930    84.4
19791001 19791031    65.9
19791101 19791130    49.7
19791201 19791231     8.0
19800101 19800131     7.6
19800201 19800229    40.0
19800301 19800331     3.6
19800401 19800430    72.7
19800501 19800531    46.3
19800601 19800630    98.7
19800701 19800731   125.5
19800801 19800831   131.4
19800901 19800930    57.7
19801001 19801031   110.6
19801101 19801130    46.9
19801201 19801231    19.6
19810101 19810131     5.0
19810201 19810228     9.2
19810301 19810331    23.2
19810401 19810430    48.6
19810501 19810531    67.4
19810601 19810630   126.2
19810701 19810731   123.5
19810801 19810831   100.8
19810901 19810930    44.2
19811001 19811031    46.7
19811101 19811130    57.5
19811201 19811231    13.2
19820101 19820131   148.0
19820201 19820228    21.1
19820301 19820331    44.5
19820401 19820430    10.6
19820501 19820531    44.6
19820601 19820630    69.5
19820701 19820731    84.7
19820801 19820831    66.6
19820901 19820930    34.1
19821001 19821031    28.8
19821101 19821130    44.5
19821201 19821231    22.4
19830101 19830131     6.4
19830201 19830228    33.2
19830301 19830331    13.1
19830401 19830430    26.4
19830501 19830531    45.2
19830601 19830630   102.5
19830701 19830731    96.5
19830801 19830831    78.3
19830901 19830930    94.9
19831001 19831031    42.3
19831101 19831130    46.4
19831201 19831231    29.1
19840101 19840131     2.6
19840201 19840229    20.0
19840301 19840331    32.2
19840401 19840430    16.8
19840501 19840531   102.6
19840601 19840630    91.8
19840701 19840731   104.1
19840801 19840831   145.8
19840901 19840930   103.2
19841001 19841031    27.5
19841101 19841130    74.8
19841201 19841231    24.7
19850101 19850131    53.1
19850201 19850228    14.0
