PRCP       022020 18640101 20180131 missing_value=99999.9 WALLAROO                                  
19380401 19380430    47.5
19380501 19380531    12.8
19380601 19380630    35.4
19380701 19380731    53.5
19380801 19380831    47.0
19380901 19380930     5.6
19381001 19381031    21.9
19381101 19381130     4.3
19381201 19381231     5.1
19390101 19390131    28.5
19390201 19390228    28.2
19390301 19390331    13.7
19390401 19390430    10.0
19390501 19390531    48.5
19390601 19390630    30.9
19390701 19390731    46.3
19390801 19390831    97.0
19390901 19390930    14.1
19391001 19391031    15.3
19391101 19391130    77.1
19391201 19391231     4.4
19400101 19400131    30.9
19400201 19400229    11.2
19400301 19400331    11.1
19400401 19400430    28.7
19400501 19400531    24.9
19400601 19400630    19.1
19400701 19400731    36.2
19400801 19400831    27.3
19400901 19400930    22.9
19401001 19401031     6.4
19401101 19401130    17.4
19401201 19401231     8.7
19410101 19410131   111.0
19410201 19410228     7.4
19410301 19410331    39.0
19410401 19410430    17.5
19410501 19410531    12.0
19410601 19410630    32.8
19410701 19410731    60.6
19410801 19410831    35.8
19410901 19410930    55.3
19411001 19411031    60.0
19411101 19411130    28.8
19411201 19411231     2.5
19420101 19420131    47.2
19420201 19420228     1.5
19420301 19420331     2.5
19420401 19420430    49.8
19420501 19420531    63.2
19420601 19420630    83.0
19420701 19420731    63.1
19420801 19420831    62.3
19420901 19420930    49.2
19421001 19421031    20.8
19421101 19421130    29.3
19421201 19421231    21.4
19430101 19430131    12.9
19430201 19430228    32.5
19430301 19430331     1.6
19430401 19430430    57.2
19430501 19430531    10.6
19430601 19430630    33.3
19430701 19430731    30.6
19430801 19430831    45.0
19430901 19430930    23.5
19431001 19431031    31.4
19431101 19431130     3.0
19431201 19431231    12.2
19440101 19440131     0.0
19440201 19440229    16.7
19440301 19440331    10.1
19440401 19440430    63.0
19440501 19440531    53.1
19440601 19440630     9.9
19440701 19440731    28.7
19440801 19440831     5.1
19440901 19440930     8.1
19441001 19441031    24.5
19441101 19441130    42.3
19441201 19441231    34.1
19450101 19450131    18.3
19450201 19450228    25.9
19450301 19450331     0.0
19450401 19450430    10.4
19450501 19450531    16.4
19450601 19450630    43.9
19450701 19450731    32.0
19450801 19450831    38.7
19450901 19450930    48.3
19451001 19451031    47.0
19451101 19451130    43.6
19451201 19451231    20.9
19460101 19460131    51.3
19460201 19460228   173.9
19460301 19460331    44.0
19460401 19460430    32.1
19460501 19460531    35.6
19460601 19460630    29.6
19460701 19460731    40.5
19460801 19460831    31.7
19460901 19460930     5.6
19461001 19461031    24.9
19461101 19461130    43.9
19461201 19461231    71.7
19470101 19470131     2.0
19470201 19470228     2.1
19470301 19470331    54.1
19470401 19470430    40.5
19470501 19470531    33.5
19470601 19470630    28.8
19470701 19470731    42.5
19470801 19470831    45.6
19470901 19470930    39.9
19471001 19471031    78.0
19471101 19471130     7.3
19471201 19471231    27.8
19480101 19480131     6.1
19480201 19480229     0.0
19480301 19480331     2.5
19480401 19480430    46.4
19480501 19480531    71.0
19480601 19480630    25.7
19480701 19480731    24.2
19480801 19480831    54.7
19480901 19480930     5.1
19481001 19481031    56.1
19481101 19481130    33.4
19481201 19481231    19.0
19490101 19490131     4.6
19490201 19490228    39.9
19490301 19490331     0.3
19490401 19490430     4.5
19490501 19490531    39.0
19490601 19490630    16.9
19490701 19490731    42.9
19490801 19490831    23.1
19490901 19490930    15.9
19491001 19491031    67.4
19491101 19491130    46.1
19491201 19491231     5.3
19500101 19500131     0.3
19500201 19500228    28.2
19500301 19500331     0.8
19500401 19500430    10.2
19500501 19500531    70.8
19500601 19500630    46.1
19500701 19500731    23.0
19500801 19500831    28.0
19500901 19500930    30.4
19501001 19501031    36.1
19501101 19501130    13.2
19501201 19501231    10.2
19510101 19510131     2.3
19510201 19510228     5.6
19510301 19510331     7.4
19510401 19510430    64.6
19510501 19510531    63.1
19510601 19510630    95.8
19510701 19510731    73.7
19510801 19510831    40.9
19510901 19510930    29.5
19511001 19511031    56.5
19511101 19511130     1.8
19511201 19511231    19.8
19520101 19520131    29.1
19520201 19520229     3.6
19520301 19520331    13.7
19520401 19520430    51.0
19520501 19520531   124.4
19520601 19520630    34.2
19520701 19520731    28.0
19520801 19520831    46.6
19520901 19520930    35.0
19521001 19521031    27.7
19521101 19521130    53.1
19521201 19521231    13.9
19530101 19530131    14.0
19530201 19530228     5.2
19530301 19530331     6.5
19530401 19530430    14.5
19530501 19530531     8.7
19530601 19530630    47.4
19530701 19530731    45.5
19530801 19530831    31.2
19530901 19530930    32.6
19531001 19531031    36.1
19531101 19531130    19.0
19531201 19531231    53.8
19540101 19540131    25.6
19540201 19540228     0.3
19540301 19540331     5.4
19540401 19540430    82.8
19540501 19540531     7.0
19540601 19540630    54.0
19540701 19540731    35.5
19540801 19540831     4.2
19540901 19540930    18.0
19541001 19541031    37.1
19541101 19541130     9.3
