PRCP       010537 18910101 20180131 missing_value=99999.9 CRANBROOK                                 
19790601 19790630    37.8
19790701 19790731    65.6
19790801 19790831    44.4
19790901 19790930    55.6
19791001 19791031    31.6
19791101 19791130    40.8
19791201 19791231     1.6
19800101 19800131     4.4
19800201 19800229    46.0
19800301 19800331     1.2
19800401 19800430    45.0
19800501 19800531    22.8
19800601 19800630    78.2
19800701 19800731    59.3
19800801 19800831    58.6
19800901 19800930    19.2
19801001 19801031   102.4
19801101 19801130    13.6
19801201 19801231    20.2
19810101 19810131     4.6
19810201 19810228     0.4
19810301 19810331     6.6
19810401 19810430    53.0
19810501 19810531    38.3
19810601 19810630    69.0
19810701 19810731    56.2
19810801 19810831    54.8
19810901 19810930    28.4
19811001 19811031    20.0
19811101 19811130    34.3
19811201 19811231    10.0
19820101 19820131   189.0
19820201 19820228    16.6
19820301 19820331    24.6
19820401 19820430     1.2
19820501 19820531    19.2
19820601 19820630    53.5
19820701 19820731    36.0
19820801 19820831    42.0
19820901 19820930    29.9
19821001 19821031    20.0
19821101 19821130    39.0
19821201 19821231     7.8
19830101 19830131     0.0
19830201 19830228    25.3
19830301 19830331    12.4
19830401 19830430    16.0
19830501 19830531    26.6
19830601 19830630    94.0
19830701 19830731    63.4
19830801 19830831    61.6
19830901 19830930    89.2
19831001 19831031    22.2
19831101 19831130    36.4
19831201 19831231    17.8
19840101 19840131    12.8
19840201 19840229    10.4
19840301 19840331    36.0
19840401 19840430    18.4
19840501 19840531    71.8
19840601 19840630    70.4
19840701 19840731    45.8
19840801 19840831    70.1
19840901 19840930    49.8
19841001 19841031    24.6
19841101 19841130    93.2
19841201 19841231    15.4
19850101 19850131    26.6
19850201 19850228    11.2
19850301 19850331     5.6
19850401 19850430    66.4
19850501 19850531    22.6
19850601 19850630    38.4
19850701 19850731    55.2
19850801 19850831    77.4
19850901 19850930    26.0
19851001 19851031    29.4
19851101 19851130    12.8
19851201 19851231     9.4
19860101 19860131     0.6
19860201 19860228    61.5
19860301 19860331    12.6
19860401 19860430     2.8
19860501 19860531    37.0
19860601 19860630    68.4
19860701 19860731    80.6
19860801 19860831    56.6
19860901 19860930    47.8
19861001 19861031    32.2
19861101 19861130    13.6
