PRCP       029004 18861201 20180131 missing_value=99999.9 BURKETOWN POST OFFICE                     
19380701 19380731    15.5
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031    61.7
19381101 19381130    78.8
19381201 19381231    18.5
19390101 19390131   444.0
19390201 19390228   330.1
19390301 19390331   131.2
19390401 19390430    12.9
19390501 19390531     0.0
19390601 19390630    41.4
19390701 19390731     1.3
19390801 19390831     0.0
19390901 19390930     0.0
19391001 19391031    13.9
19391101 19391130    10.2
19391201 19391231   178.0
19400101 19400131   261.6
19400201 19400229   302.2
19400301 19400331   216.0
19400401 19400430    49.1
19400501 19400531     1.3
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831     0.0
19400901 19400930     0.0
19401001 19401031     0.0
19401101 19401130    36.8
19401201 19401231    48.5
19410101 19410131   288.1
19410201 19410228   155.9
19410301 19410331   173.8
19410401 19410430    11.2
19410501 19410531    10.7
19410601 19410630    26.1
19410701 19410731     0.0
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031     0.0
19411101 19411130    51.8
19411201 19411231     0.0
19420101 19420131    51.5
19420201 19420228   213.0
19420301 19420331    21.3
19420401 19420430     0.0
19420501 19420531    19.3
19420601 19420630     0.0
19420701 19420731     0.0
19420801 19420831     0.0
19420901 19420930     0.0
19421001 19421031     0.0
19421101 19421130    12.2
19421201 19421231   206.4
19430101 19430131    45.3
19430201 19430228   153.5
19430301 19430331   134.3
19430401 19430430     0.0
19430501 19430531    29.2
19430601 19430630     0.0
19430701 19430731     0.0
19430801 19430831     0.0
19430901 19430930    11.7
19431001 19431031     7.1
19431101 19431130     0.0
19431201 19431231    21.5
19440101 19440131   215.8
19440201 19440229   375.2
19440301 19440331   119.8
19440401 19440430     0.0
19440501 19440531     0.0
19440601 19440630    50.1
19440701 19440731    35.3
19440801 19440831     0.0
19440901 19440930     0.0
19441001 19441031     0.0
19441101 19441130     0.9
19441201 19441231    35.1
19450101 19450131   171.6
19450201 19450228   203.7
19450301 19450331    78.4
19450401 19450430     6.3
19450501 19450531    17.3
19450601 19450630     1.0
19450701 19450731     2.4
19450801 19450831     0.0
19450901 19450930     0.0
19451001 19451031     0.0
19451101 19451130    39.1
19451201 19451231   162.6
19460101 19460131   261.9
19460201 19460228   505.2
19460301 19460331     4.3
19460401 19460430     0.8
19460501 19460531     0.0
19460601 19460630     0.0
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     0.5
19461101 19461130     9.1
19461201 19461231    88.1
19470101 19470131    84.5
19470201 19470228   306.6
19470301 19470331   801.7
19470401 19470430     0.0
19470501 19470531     0.0
19470601 19470630     4.1
19470701 19470731     0.0
19470801 19470831     4.1
19470901 19470930    23.6
19471001 19471031     1.3
19471101 19471130    40.9
19471201 19471231    28.6
19480101 19480131   148.4
19480201 19480229   100.0
19480301 19480331   109.9
19480401 19480430     0.0
19480501 19480531     0.0
19480601 19480630     0.0
19480701 19480731     7.4
19480801 19480831     0.0
19480901 19480930     0.0
19481001 19481031     0.0
19481101 19481130    15.0
19481201 19481231   207.9
