PRCP       085096 18721201 20180131 missing_value=99999.9 WILSONS PROMONTORY LIGHTHOUSE             
19200701 19200731    95.6
19200801 19200831   153.8
19200901 19200930    95.8
19201001 19201031    77.0
19201101 19201130    54.4
19201201 19201231    55.3
19210101 19210131    50.9
19210201 19210228    27.6
19210301 19210331    55.6
19210401 19210430    55.5
19210501 19210531    50.2
19210601 19210630    63.5
19210701 19210731   152.8
19210801 19210831   161.6
19210901 19210930    69.4
19211001 19211031    92.3
19211101 19211130    62.4
19211201 19211231    52.0
19220101 19220131    55.4
19220201 19220228    95.1
19220301 19220331    43.8
19220401 19220430    90.5
19220501 19220531    81.8
19220601 19220630   212.2
19220701 19220731   104.6
19220801 19220831   147.5
19220901 19220930    51.7
19221001 19221031   105.9
19221101 19221130    52.4
19221201 19221231    82.6
19230101 19230131    43.9
19230201 19230228    19.3
19230301 19230331    12.5
19230401 19230430     6.4
19230501 19230531   268.2
19230601 19230630   244.7
19230701 19230731   125.1
19230801 19230831    83.7
19230901 19230930   114.2
19231001 19231031   109.9
19231101 19231130    66.6
19231201 19231231   105.9
19240101 19240131   107.8
19240201 19240229    88.3
19240301 19240331    85.5
19240401 19240430    76.4
19240501 19240531    85.5
19240601 19240630    98.8
19240701 19240731    57.7
19240801 19240831    91.5
19240901 19240930    91.8
19241001 19241031    72.1
19241101 19241130    99.2
19241201 19241231    28.3
19250101 19250131    45.7
19250201 19250228    78.6
19250301 19250331    25.9
19250401 19250430    36.7
19250501 19250531    87.7
19250601 19250630   156.5
19250701 19250731   103.8
19250801 19250831    90.3
19250901 19250930    59.7
19251001 19251031    59.8
19251101 19251130    45.5
19251201 19251231    21.9
19260101 19260131    31.9
19260201 19260228    18.8
19260301 19260331    50.7
19260401 19260430    80.4
19260501 19260531   181.8
19260601 19260630    70.6
19260701 19260731   165.8
19260801 19260831    89.3
19260901 19260930    86.8
19261001 19261031    85.9
19261101 19261130    58.6
19261201 19261231    61.1
19270101 19270131    18.7
19270201 19270228    38.3
19270301 19270331    35.9
19270401 19270430    45.5
19270501 19270531   104.0
19270601 19270630    65.7
19270701 19270731   166.9
19270801 19270831   140.8
19270901 19270930    54.7
19271001 19271031    45.8
19271101 19271130    49.3
19271201 19271231    46.1
19280101 19280131    57.2
19280201 19280229    82.6
19280301 19280331   102.3
19280401 19280430    86.8
19280501 19280531   156.9
19280601 19280630   108.0
19280701 19280731    64.9
19280801 19280831    57.8
19280901 19280930   113.5
19281001 19281031   153.6
19281101 19281130    59.9
19281201 19281231    39.0
19290101 19290131    82.0
19290201 19290228    33.1
19290301 19290331    52.5
19290401 19290430   172.2
19290501 19290531    61.8
19290601 19290630   186.2
19290701 19290731   108.2
19290801 19290831    89.0
19290901 19290930    59.6
19291001 19291031    76.4
19291101 19291130    59.5
19291201 19291231    36.3
19300101 19300131    10.0
19300201 19300228    39.9
19300301 19300331    16.5
19300401 19300430   106.7
19300501 19300531    55.9
19300601 19300630    47.0
19300701 19300731    69.6
19300801 19300831    88.4
19300901 19300930   136.8
19301001 19301031    93.0
19301101 19301130    89.0
19301201 19301231   127.4
19310101 19310131    44.3
19310201 19310228    51.1
19310301 19310331   130.7
19310401 19310430    55.6
19310501 19310531   148.1
19310601 19310630    95.1
19310701 19310731   196.5
19310801 19310831   113.9
19310901 19310930    74.3
19311001 19311031    51.9
19311101 19311130    61.8
