PRCP       013002 19500301 20171231 missing_value=99999.9 GLEN AYLE                                 
20060801 20060831     0.0
20060901 20060930    12.6
20061001 20061031    47.8
20061101 20061130    14.4
20061201 20061231    71.0
20070101 20070131    59.0
20070201 20070228    15.2
20070301 20070331    72.8
20070401 20070430   150.2
20070501 20070531     3.6
20070601 20070630     0.0
20070701 20070731     6.0
20070801 20070831     0.0
20070901 20070930     0.0
20071001 20071031     8.0
20071101 20071130     0.0
20071201 20071231    59.3
20080101 20080131     0.0
20080201 20080229     8.0
20080301 20080331    70.5
20080401 20080430     8.0
20080501 20080531 99999.9
20080601 20080630    40.0
20080701 20080731     0.0
20080801 20080831    18.0
20080901 20080930    12.0
20081001 20081031     0.0
20081101 20081130 99999.9
20081201 20081231    40.3
20090101 20090131    29.0
20090201 20090228     4.0
20090301 20090331    26.0
20090401 20090430    18.0
20090501 20090531     0.0
20090601 20090630     4.5
20090701 20090731     0.0
20090801 20090831     0.0
20090901 20090930     0.0
20091001 20091031     0.0
20091101 20091130    15.5
20091201 20091231     4.0
20100101 20100131    17.7
20100201 20100228     0.0
20100301 20100331    16.5
20100401 20100430    64.7
20100501 20100531    40.0
20100601 20100630     6.0
20100701 20100731     5.0
20100801 20100831     4.5
20100901 20100930    18.0
20101001 20101031     5.0
20101101 20101130    10.5
20101201 20101231    40.2
20110101 20110131   115.0
20110201 20110228   103.9
20110301 20110331   179.2
20110401 20110430    31.0
20110501 20110531     8.0
20110601 20110630     1.0
20110701 20110731    11.6
20110801 20110831     0.0
20110901 20110930     0.0
20111001 20111031    57.0
20111101 20111130    82.3
20111201 20111231    26.8
20120101 20120131   132.9
20120201 20120229    36.2
20120301 20120331    55.0
20120401 20120430     5.6
20120501 20120531     1.4
20120601 20120630     0.0
20120701 20120731     0.0
20120801 20120831     0.0
20120901 20120930     0.0
20121001 20121031     0.0
20121101 20121130    26.6
20121201 20121231    55.2
20130101 20130131    29.4
20130201 20130228    62.5
20130301 20130331   183.0
20130401 20130430     0.0
20130501 20130531     5.6
20130601 20130630    36.7
20130701 20130731     0.0
20130801 20130831     0.0
20130901 20130930     3.0
20131001 20131031     0.0
20131101 20131130     0.0
20131201 20131231    27.0
20140101 20140131    94.0
20140201 20140228   135.3
20140301 20140331     0.0
20140401 20140430     0.0
20140501 20140531    21.5
20140601 20140630     0.0
20140701 20140731    49.0
20140801 20140831     0.0
20140901 20140930     0.0
20141001 20141031     5.0
20141101 20141130    17.0
20141201 20141231     7.5
20150101 20150131    68.0
20150201 20150228     0.0
20150301 20150331   110.0
20150401 20150430    62.4
20150501 20150531    61.2
20150601 20150630     0.0
20150701 20150731     5.4
20150801 20150831     0.0
20150901 20150930     0.0
20151001 20151031     0.0
20151101 20151130    16.5
20151201 20151231    10.0
20160101 20160131    15.2
20160201 20160229    61.0
20160301 20160331    18.0
20160401 20160430     0.0
20160501 20160531    23.5
20160601 20160630    41.8
20160701 20160731    33.8
20160801 20160831     0.0
20160901 20160930     3.4
20161001 20161031     2.0
20161101 20161130     2.5
20161201 20161231     2.6
20170101 20170131   160.0
20170201 20170228    17.8
20170301 20170331    35.6
20170401 20170430    49.6
20170501 20170531     3.0
20170601 20170630     7.0
20170701 20170731     0.0
20170801 20170831     0.0
20170901 20170930     0.0
20171001 20171031    28.3
20171101 20171130     0.0
20171201 20171231    73.6
