PRCP       010592 19080801 20120831 missing_value=99999.9 LAKE GRACE POST OFFICE                    
19891201 19891231     7.0
19900101 19900131   143.0
19900201 19900228    31.6
19900301 19900331    25.6
19900401 19900430    16.0
19900501 19900531    74.2
19900601 19900630    27.6
19900701 19900731    68.8
19900801 19900831    14.6
19900901 19900930    25.0
19901001 19901031    25.6
19901101 19901130    13.8
19901201 19901231     1.8
19910101 19910131     3.6
19910201 19910228    18.2
19910301 19910331     1.8
19910401 19910430    39.2
19910501 19910531    13.2
19910601 19910630    40.2
19910701 19910731    75.8
19910801 19910831    39.4
19910901 19910930    38.8
19911001 19911031    19.2
19911101 19911130    38.2
19911201 19911231    24.0
19920101 19920131     2.0
19920201 19920229    32.0
19920301 19920331    28.2
19920401 19920430    31.6
19920501 19920531    19.2
19920601 19920630    78.4
19920701 19920731    39.0
19920801 19920831    92.8
19920901 19920930    60.8
19921001 19921031    17.6
19921101 19921130    34.4
19921201 19921231    12.8
19930101 19930131     3.6
19930201 19930228    41.4
19930301 19930331   130.4
19930401 19930430     7.6
19930501 19930531   101.0
19930601 19930630    56.0
19930701 19930731    29.8
19930801 19930831    50.6
19930901 19930930    20.0
19931001 19931031    10.8
19931101 19931130    53.2
19931201 19931231     1.4
19940101 19940131     0.0
19940201 19940228     0.2
19940301 19940331     0.0
19940401 19940430     0.2
19940501 19940531    58.0
19940601 19940630    40.5
19940701 19940731    44.2
19940801 19940831    40.8
19940901 19940930    22.8
19941001 19941031    22.4
19941101 19941130     4.8
19941201 19941231     2.0
19950101 19950131    11.2
19950201 19950228    11.6
19950301 19950331    10.4
19950401 19950430     8.4
19950501 19950531    55.6
19950601 19950630    50.6
19950701 19950731    61.2
19950801 19950831     5.2
19950901 19950930    46.6
19951001 19951031    45.2
19951101 19951130     3.0
19951201 19951231    23.8
19960101 19960131     1.0
19960201 19960229    24.6
19960301 19960331    16.2
19960401 19960430    26.2
19960501 19960531    18.0
19960601 19960630    42.8
19960701 19960731    59.8
19960801 19960831    26.8
19960901 19960930    31.2
19961001 19961031    48.0
19961101 19961130    28.2
19961201 19961231     3.8
19970101 19970131     0.6
19970201 19970228    32.4
19970301 19970331    86.6
19970401 19970430    34.6
19970501 19970531    31.0
19970601 19970630    26.0
19970701 19970731    41.2
19970801 19970831    41.8
19970901 19970930    64.0
19971001 19971031    26.4
19971101 19971130     8.6
19971201 19971231     1.2
19980101 19980131     0.0
19980201 19980228     0.0
19980301 19980331    23.8
19980401 19980430    70.6
19980501 19980531    15.4
19980601 19980630    61.4
19980701 19980731    22.0
19980801 19980831    64.0
19980901 19980930    14.6
19981001 19981031    30.2
19981101 19981130    19.8
19981201 19981231     9.8
19990101 19990131    69.2
19990201 19990228     1.0
19990301 19990331    24.2
