PRCP       054003 18930101 20180131 missing_value=99999.9 BARRABA POST OFFICE                       
19461201 19461231    59.9
19470101 19470131    85.0
19470201 19470228   148.8
19470301 19470331    57.5
19470401 19470430    23.0
19470501 19470531    10.7
19470601 19470630    28.4
19470701 19470731    38.9
19470801 19470831    54.0
19470901 19470930    53.1
19471001 19471031    88.0
19471101 19471130    84.3
19471201 19471231   137.3
19480101 19480131    79.4
19480201 19480229    63.1
19480301 19480331    25.8
19480401 19480430    34.5
19480501 19480531    69.5
19480601 19480630   125.0
19480701 19480731    47.8
19480801 19480831    16.7
19480901 19480930    51.8
19481001 19481031    29.5
19481101 19481130    66.0
19481201 19481231   109.7
19490101 19490131   121.7
19490201 19490228   104.7
19490301 19490331    23.7
19490401 19490430    40.1
19490501 19490531    32.1
19490601 19490630    63.0
19490701 19490731    23.6
19490801 19490831    84.8
19490901 19490930   123.6
19491001 19491031   134.3
19491101 19491130    94.5
19491201 19491231    33.7
19500101 19500131   135.4
19500201 19500228   148.2
19500301 19500331    32.1
19500401 19500430    40.4
19500501 19500531    39.4
19500601 19500630   127.6
19500701 19500731   171.5
19500801 19500831    33.1
19500901 19500930    64.4
19501001 19501031   124.4
19501101 19501130   256.1
19501201 19501231     1.8
19510101 19510131   100.3
19510201 19510228    50.4
19510301 19510331    55.0
19510401 19510430    14.5
19510501 19510531    37.8
19510601 19510630    89.3
19510701 19510731    13.5
19510801 19510831    53.4
19510901 19510930    29.3
19511001 19511031    10.2
19511101 19511130    21.7
19511201 19511231    63.4
19520101 19520131    22.9
19520201 19520229   138.5
19520301 19520331    42.4
19520401 19520430    67.6
19520501 19520531    73.7
19520601 19520630    50.4
19520701 19520731    36.4
19520801 19520831   119.4
19520901 19520930    20.3
19521001 19521031   157.8
19521101 19521130    12.4
19521201 19521231   112.5
19530101 19530131    34.7
19530201 19530228   163.0
19530301 19530331    20.1
19530401 19530430     7.9
19530501 19530531    62.7
19530601 19530630     3.8
19530701 19530731    18.6
19530801 19530831   107.4
19530901 19530930    21.3
19531001 19531031    34.6
19531101 19531130    49.6
19531201 19531231     1.3
19540101 19540131    63.8
19540201 19540228   139.5
19540301 19540331     9.2
19540401 19540430     4.3
19540501 19540531    48.8
19540601 19540630    36.1
19540701 19540731    20.6
