PRCP       008147 19090801 20180131 missing_value=99999.9 YUNA                                      
19920501 19920531     7.0
19920601 19920630    72.6
19920701 19920731    17.2
19920801 19920831   146.8
19920901 19920930    78.0
19921001 19921031    14.6
19921101 19921130    11.0
19921201 19921231     2.6
19930101 19930131     0.6
19930201 19930228    18.0
19930301 19930331     6.1
19930401 19930430     4.6
19930501 19930531    68.6
19930601 19930630    40.7
19930701 19930731    62.2
19930801 19930831    48.4
19930901 19930930    36.2
19931001 19931031    10.8
19931101 19931130    35.6
19931201 19931231     1.8
19940101 19940131     0.0
19940201 19940228    69.4
19940301 19940331     5.0
19940401 19940430     0.0
19940501 19940531    32.2
19940601 19940630    45.4
19940701 19940731    47.2
19940801 19940831    53.4
19940901 19940930    13.4
19941001 19941031     5.8
19941101 19941130     0.2
19941201 19941231     1.2
19950101 19950131     2.4
19950201 19950228    10.4
19950301 19950331     2.0
19950401 19950430    37.4
19950501 19950531    22.4
19950601 19950630    43.8
19950701 19950731   120.6
19950801 19950831     8.8
19950901 19950930    19.4
19951001 19951031    18.8
19951101 19951130    39.6
19951201 19951231     4.0
19960101 19960131     0.0
19960201 19960229 99999.9
19960301 19960331     0.4
19960401 19960430    30.4
19960501 19960531    25.0
19960601 19960630    60.6
19960701 19960731   140.0
19960801 19960831    58.6
19960901 19960930    40.6
19961001 19961031    16.0
19961101 19961130    16.4
19961201 19961231     1.6
19970101 19970131     0.0
19970201 19970228    49.6
19970301 19970331     1.4
19970401 19970430   107.2
19970501 19970531    30.0
19970601 19970630    37.8
19970701 19970731    75.4
19970801 19970831    67.3
19970901 19970930    36.2
19971001 19971031    22.0
19971101 19971130     0.0
19971201 19971231     0.0
19980101 19980131     0.0
19980201 19980228     0.0
19980301 19980331     1.4
19980401 19980430     2.2
19980501 19980531   103.0
19980601 19980630    97.4
19980701 19980731   100.4
19980801 19980831    26.6
19980901 19980930    30.4
19981001 19981031     6.2
19981101 19981130     0.2
19981201 19981231    12.8
19990101 19990131     2.0
19990201 19990228     2.8
19990301 19990331    14.2
19990401 19990430    41.6
19990501 19990531   199.8
19990601 19990630    23.8
19990701 19990731    51.6
19990801 19990831    34.2
19990901 19990930    67.0
19991001 19991031    20.8
19991101 19991130     0.4
19991201 19991231    35.6
20000101 20000131    18.8
20000201 20000229     1.2
20000301 20000331   125.8
20000401 20000430    10.8
20000501 20000531     5.4
20000601 20000630    32.0
20000701 20000731    59.4
20000801 20000831    46.0
20000901 20000930    23.2
20001001 20001031     1.4
20001101 20001130     1.0
20001201 20001231     0.0
20010101 20010131     2.6
20010201 20010228     1.4
20010301 20010331     0.2
20010401 20010430     9.0
20010501 20010531    53.6
20010601 20010630    13.8
20010701 20010731    77.6
20010801 20010831    24.8
20010901 20010930    48.2
20011001 20011031    62.6
20011101 20011130     9.6
20011201 20011231     0.0
20020101 20020131    11.2
20020201 20020228     0.0
20020301 20020331     0.0
20020401 20020430    22.0
20020501 20020531    36.4
20020601 20020630    44.2
20020701 20020731    45.8
20020801 20020831    32.2
20020901 20020930    19.6
20021001 20021031     8.4
20021101 20021130     2.8
20021201 20021231     0.0
20030101 20030131     0.0
20030201 20030228    11.8
20030301 20030331     2.0
20030401 20030430    17.8
20030501 20030531    45.6
20030601 20030630    41.6
20030701 20030731    51.4
20030801 20030831    88.0
20030901 20030930    47.8
20031001 20031031     9.2
20031101 20031130    31.0
20031201 20031231     0.0
20040101 20040131     0.0
20040201 20040229    11.0
20040301 20040331     1.0
20040401 20040430 99999.9
20040501 20040531    49.1
20040601 20040630    40.0
20040701 20040731    40.6
20040801 20040831    36.8
20040901 20040930    39.6
20041001 20041031     6.0
20041101 20041130     6.0
20041201 20041231     0.0
20050101 20050131     1.0
20050201 20050228     0.8
20050301 20050331    27.8
20050401 20050430    30.0
20050501 20050531    52.2
20050601 20050630    78.6
20050701 20050731    20.4
