PRCP       074128 18700101 20180131 missing_value=99999.9 DENILIQUIN POST OFFICE                    
19220701 19220731    26.2
19220801 19220831    13.5
19220901 19220930    22.6
19221001 19221031    37.2
19221101 19221130     0.0
19221201 19221231    23.1
19230101 19230131     3.1
19230201 19230228     0.0
19230301 19230331     0.0
19230401 19230430     0.0
19230501 19230531    33.8
19230601 19230630   114.3
19230701 19230731    95.3
19230801 19230831    17.0
19230901 19230930    37.1
19231001 19231031    21.6
19231101 19231130    11.7
19231201 19231231    83.1
19240101 19240131    21.0
19240201 19240229    32.1
19240301 19240331    30.3
19240401 19240430    50.6
19240501 19240531    16.2
19240601 19240630    43.6
19240701 19240731    18.3
19240801 19240831    65.5
19240901 19240930    22.1
19241001 19241031    30.7
19241101 19241130   103.5
19241201 19241231   105.9
19250101 19250131    35.6
19250201 19250228    59.2
19250301 19250331     2.8
19250401 19250430     2.8
19250501 19250531    86.2
19250601 19250630    50.6
19250701 19250731    28.5
19250801 19250831    25.1
19250901 19250930    24.8
19251001 19251031    11.9
19251101 19251130    12.0
19251201 19251231     0.0
19260101 19260131    33.1
19260201 19260228     0.0
19260301 19260331    42.7
19260401 19260430    73.2
19260501 19260531    37.9
19260601 19260630    25.2
19260701 19260731    23.5
19260801 19260831    63.9
19260901 19260930    33.4
19261001 19261031    42.4
19261101 19261130     3.3
19261201 19261231    23.9
19270101 19270131     2.1
19270201 19270228    13.9
19270301 19270331     2.3
19270401 19270430     0.3
19270501 19270531    29.5
19270601 19270630    18.6
19270701 19270731    42.5
19270801 19270831    35.1
19270901 19270930    19.3
19271001 19271031    45.3
19271101 19271130    10.4
19271201 19271231     4.0
19280101 19280131    46.5
19280201 19280229    82.1
19280301 19280331    52.3
19280401 19280430    28.3
19280501 19280531    33.0
19280601 19280630    34.3
19280701 19280731    26.2
19280801 19280831     9.7
19280901 19280930    14.6
19281001 19281031    38.3
19281101 19281130     1.0
19281201 19281231     1.3
19290101 19290131     3.5
19290201 19290228    15.3
19290301 19290331    44.0
19290401 19290430    84.9
19290501 19290531    12.5
19290601 19290630    14.5
19290701 19290731     6.3
19290801 19290831    31.0
19290901 19290930    19.6
19291001 19291031    62.7
19291101 19291130    20.1
19291201 19291231    49.2
19300101 19300131     0.0
19300201 19300228     1.5
19300301 19300331    23.6
19300401 19300430    15.9
19300501 19300531    54.7
19300601 19300630     8.1
19300701 19300731    29.7
19300801 19300831    48.0
19300901 19300930    13.2
19301001 19301031    60.0
19301101 19301130    18.5
19301201 19301231   167.8
19310101 19310131     9.9
19310201 19310228     2.8
19310301 19310331    49.8
19310401 19310430    63.0
19310501 19310531    84.9
19310601 19310630   103.9
19310701 19310731    27.6
19310801 19310831    18.4
19310901 19310930    43.7
19311001 19311031    32.9
19311101 19311130    20.5
19311201 19311231    21.8
19320101 19320131     2.8
19320201 19320229    41.8
19320301 19320331    45.5
19320401 19320430    57.6
19320501 19320531    15.0
19320601 19320630    40.9
19320701 19320731    57.9
19320801 19320831    62.4
19320901 19320930    41.4
19321001 19321031    17.3
19321101 19321130    11.9
19321201 19321231    30.8
19330101 19330131    33.0
19330201 19330228     0.0
19330301 19330331    15.2
19330401 19330430    10.0
19330501 19330531    34.3
19330601 19330630    35.4
19330701 19330731    14.9
19330801 19330831    35.8
19330901 19330930    45.1
19331001 19331031    18.1
19331101 19331130    49.3
19331201 19331231    93.4
19340101 19340131    35.8
19340201 19340228    73.8
19340301 19340331    11.5
19340401 19340430    32.0
19340501 19340531     0.0
19340601 19340630    20.6
19340701 19340731    59.9
19340801 19340831    57.2
19340901 19340930    18.3
19341001 19341031    88.9
19341101 19341130    59.5
19341201 19341231    18.5
19350101 19350131    13.5
19350201 19350228    17.0
19350301 19350331    17.8
19350401 19350430    61.0
19350501 19350531    17.5
19350601 19350630    33.0
19350701 19350731    46.4
19350801 19350831    27.4
19350901 19350930    42.5
19351001 19351031    55.9
19351101 19351130     9.4
19351201 19351231    22.9
19360101 19360131    72.3
19360201 19360229    10.6
19360301 19360331    13.0
19360401 19360430    47.3
19360501 19360531    21.6
19360601 19360630    38.9
19360701 19360731    99.5
19360801 19360831    41.4
19360901 19360930    14.5
19361001 19361031    24.9
19361101 19361130     3.8
19361201 19361231    58.4
19370101 19370131    59.5
19370201 19370228    13.4
19370301 19370331     0.0
19370401 19370430     8.9
19370501 19370531    45.4
19370601 19370630    34.3
19370701 19370731     7.7
19370801 19370831    40.7
19370901 19370930    14.2
19371001 19371031    36.9
19371101 19371130     4.3
19371201 19371231    25.3
19380101 19380131     4.0
19380201 19380228    10.4
19380301 19380331     0.0
19380401 19380430     9.2
19380501 19380531     7.3
19380601 19380630    46.4
19380701 19380731    42.7
19380801 19380831    42.6
19380901 19380930     7.7
19381001 19381031     8.6
19381101 19381130     3.5
19381201 19381231     1.0
19390101 19390131     2.5
19390201 19390228    92.8
19390301 19390331    40.8
19390401 19390430    88.9
19390501 19390531    52.3
19390601 19390630    64.7
19390701 19390731    43.9
19390801 19390831    61.3
19390901 19390930    39.1
19391001 19391031   112.6
19391101 19391130    60.1
19391201 19391231     3.8
19400101 19400131     2.8
19400201 19400229     1.5
19400301 19400331     1.0
19400401 19400430    62.7
19400501 19400531    11.9
19400601 19400630     6.9
19400701 19400731    23.1
19400801 19400831    20.7
19400901 19400930    42.7
19401001 19401031     1.5
19401101 19401130     8.3
19401201 19401231    34.2
19410101 19410131   160.7
19410201 19410228    14.4
19410301 19410331    61.7
19410401 19410430     2.8
19410501 19410531     1.6
19410601 19410630    24.4
19410701 19410731    59.4
19410801 19410831    12.5
19410901 19410930    32.4
19411001 19411031    25.8
19411101 19411130    18.5
19411201 19411231    14.5
19420101 19420131    23.4
19420201 19420228    22.6
19420301 19420331    20.6
19420401 19420430    11.6
19420501 19420531    63.1
19420601 19420630    42.9
19420701 19420731    13.4
19420801 19420831    50.9
19420901 19420930     9.3
19421001 19421031    46.2
19421101 19421130    22.4
19421201 19421231    27.7
19430101 19430131     4.5
19430201 19430228    13.2
19430301 19430331     4.1
19430401 19430430    22.9
19430501 19430531    18.8
19430601 19430630    18.7
19430701 19430731    22.0
19430801 19430831    10.4
19430901 19430930    34.6
19431001 19431031    24.2
19431101 19431130    16.2
19431201 19431231     1.8
19440101 19440131     0.8
19440201 19440229     2.5
19440301 19440331    18.8
19440401 19440430    42.1
19440501 19440531    59.3
19440601 19440630     5.5
19440701 19440731    17.2
19440801 19440831     2.3
19440901 19440930     5.7
19441001 19441031    13.3
19441101 19441130    16.0
19441201 19441231    24.8
19450101 19450131    16.0
19450201 19450228    22.4
19450301 19450331     0.5
19450401 19450430     0.0
19450501 19450531     7.7
19450601 19450630    65.8
19450701 19450731    26.1
19450801 19450831    63.5
19450901 19450930     8.7
19451001 19451031    63.1
19451101 19451130    15.3
19451201 19451231     7.9
19460101 19460131    58.4
19460201 19460228   122.3
19460301 19460331    20.8
19460401 19460430    12.9
19460501 19460531    22.6
19460601 19460630    26.0
19460701 19460731    42.9
19460801 19460831    34.3
19460901 19460930     6.1
19461001 19461031    15.6
19461101 19461130    73.0
19461201 19461231    15.7
19470101 19470131     1.8
19470201 19470228    27.6
19470301 19470331    72.7
19470401 19470430     6.2
19470501 19470531     6.6
19470601 19470630    38.6
19470701 19470731    72.2
19470801 19470831    26.4
19470901 19470930    24.1
19471001 19471031    47.8
19471101 19471130    37.1
19471201 19471231    51.4
19480101 19480131     8.9
19480201 19480229    70.2
19480301 19480331     0.3
19480401 19480430    59.9
19480501 19480531    30.5
19480601 19480630    50.6
19480701 19480731    18.6
19480801 19480831     7.7
19480901 19480930    29.3
19481001 19481031    40.2
19481101 19481130    31.4
19481201 19481231    55.9
19490101 19490131    15.6
19490201 19490228    23.4
19490301 19490331    87.2
19490401 19490430     5.3
19490501 19490531    35.0
19490601 19490630    19.1
19490701 19490731    29.4
19490801 19490831     8.2
19490901 19490930    25.4
19491001 19491031    88.5
19491101 19491130    57.2
19491201 19491231     1.1
19500101 19500131     0.0
19500201 19500228   117.6
19500301 19500331   147.6
19500401 19500430    44.7
19500501 19500531    33.8
19500601 19500630    21.6
19500701 19500731    32.1
19500801 19500831    20.5
19500901 19500930    19.4
19501001 19501031    43.1
19501101 19501130    36.3
19501201 19501231    14.7
19510101 19510131    15.2
19510201 19510228    79.5
19510301 19510331     1.0
19510401 19510430    24.5
19510501 19510531    71.7
19510601 19510630    75.8
19510701 19510731    46.7
19510801 19510831    45.2
19510901 19510930    21.3
19511001 19511031    43.8
19511101 19511130    10.0
19511201 19511231     9.5
19520101 19520131     3.3
19520201 19520229     1.0
19520301 19520331    19.8
19520401 19520430    59.7
19520501 19520531    90.9
19520601 19520630    51.9
19520701 19520731    25.7
19520801 19520831    22.7
19520901 19520930    34.1
19521001 19521031   103.3
19521101 19521130   105.3
19521201 19521231    17.1
19530101 19530131    32.1
19530201 19530228    19.5
19530301 19530331     3.3
19530401 19530430    21.6
19530501 19530531    18.2
19530601 19530630    31.4
19530701 19530731    22.9
19530801 19530831    47.4
19530901 19530930    54.4
19531001 19531031    55.2
19531101 19531130    31.5
19531201 19531231     3.9
19540101 19540131    69.7
19540201 19540228     5.1
19540301 19540331     1.8
19540401 19540430    35.9
19540501 19540531    16.0
19540601 19540630    24.0
19540701 19540731    13.8
19540801 19540831    30.1
19540901 19540930    34.0
19541001 19541031    31.3
19541101 19541130    62.2
19541201 19541231   132.1
19550101 19550131     5.4
19550201 19550228    62.8
19550301 19550331    28.1
19550401 19550430     3.3
19550501 19550531    64.7
19550601 19550630    50.3
19550701 19550731    53.7
19550801 19550831    53.0
19550901 19550930    46.6
19551001 19551031    76.5
19551101 19551130    18.6
19551201 19551231    31.8
19560101 19560131    75.4
19560201 19560229     8.4
19560301 19560331   132.0
19560401 19560430    50.0
19560501 19560531   116.4
19560601 19560630    69.6
19560701 19560731    84.0
19560801 19560831    26.0
19560901 19560930    50.2
19561001 19561031    96.7
19561101 19561130    19.7
19561201 19561231     2.0
19570101 19570131     0.0
19570201 19570228    12.5
19570301 19570331    17.3
19570401 19570430     6.9
19570501 19570531     3.3
19570601 19570630    52.2
19570701 19570731    39.2
19570801 19570831    13.1
19570901 19570930    18.6
19571001 19571031    25.7
19571101 19571130     8.2
19571201 19571231    36.8
19580101 19580131    13.7
19580201 19580228    25.7
19580301 19580331     9.8
19580401 19580430     2.5
19580501 19580531    47.9
19580601 19580630     5.2
19580701 19580731    53.4
19580801 19580831   105.6
19580901 19580930    39.2
19581001 19581031    69.0
19581101 19581130    55.1
19581201 19581231    11.4
19590101 19590131    49.8
19590201 19590228    12.2
19590301 19590331    34.6
19590401 19590430    54.7
19590501 19590531    14.8
19590601 19590630    51.5
19590701 19590731    18.3
19590801 19590831    16.5
19590901 19590930    32.6
19591001 19591031   103.8
19591101 19591130     1.7
19591201 19591231    36.2
19600101 19600131    81.7
19600201 19600229    21.3
19600301 19600331     7.4
19600401 19600430    20.4
19600501 19600531    90.3
19600601 19600630    16.0
19600701 19600731    62.7
19600801 19600831    37.9
19600901 19600930    95.7
19601001 19601031    11.5
19601101 19601130    32.1
19601201 19601231    65.9
19610101 19610131     8.2
19610201 19610228     5.4
19610301 19610331    52.9
19610401 19610430    25.2
19610501 19610531     6.9
19610601 19610630    46.0
19610701 19610731    31.1
19610801 19610831    40.0
19610901 19610930    16.0
19611001 19611031     8.4
19611101 19611130    37.9
19611201 19611231    47.7
19620101 19620131   101.7
19620201 19620228     0.5
19620301 19620331    26.4
19620401 19620430    12.0
19620501 19620531    58.0
19620601 19620630    24.0
19620701 19620731    25.1
19620801 19620831    41.4
19620901 19620930    32.5
19621001 19621031    19.4
19621101 19621130    19.6
19621201 19621231    21.9
19630101 19630131    45.0
19630201 19630228    26.4
19630301 19630331    35.5
19630401 19630430    20.6
19630501 19630531    87.9
19630601 19630630    73.3
19630701 19630731    50.7
19630801 19630831    28.2
19630901 19630930    45.0
19631001 19631031    55.6
19631101 19631130     9.2
19631201 19631231    33.9
19640101 19640131     8.2
19640201 19640229    38.1
19640301 19640331     3.0
19640401 19640430    45.9
19640501 19640531    25.2
19640601 19640630    36.9
19640701 19640731    45.6
19640801 19640831    20.9
19640901 19640930    79.4
19641001 19641031    59.1
19641101 19641130    51.5
19641201 19641231    13.5
19650101 19650131     0.0
19650201 19650228     0.5
19650301 19650331     2.4
19650401 19650430     7.6
19650501 19650531    29.7
19650601 19650630    18.3
