PRCP       011010 19110101 20150531 missing_value=99999.9 NOONDOONIA                                
20031201 20031231     5.8
20040101 20040131    40.0
20040201 20040229    37.8
20040301 20040331    57.7
20040401 20040430    42.8
20040501 20040531     0.6
20040601 20040630    10.8
20040701 20040731    19.3
20040801 20040831    24.7
20040901 20040930     6.0
20041001 20041031     0.0
20041101 20041130    19.0
20041201 20041231     3.3
20050101 20050131     4.6
20050201 20050228     0.0
20050301 20050331    19.2
20050401 20050430    30.2
20050501 20050531    11.0
20050601 20050630    14.2
20050701 20050731     2.2
20050801 20050831    27.2
20050901 20050930     0.0
20051001 20051031    48.5
20051101 20051130 99999.9
20051201 20051231 99999.9
20060101 20060131 99999.9
20060201 20060228 99999.9
20060301 20060331 99999.9
20060401 20060430 99999.9
20060501 20060531 99999.9
20060601 20060630 99999.9
20060701 20060731 99999.9
20060801 20060831 99999.9
