PRCP       038002 18980101 20171130 missing_value=99999.9 BIRDSVILLE POLICE STATION                 
19580601 19580630     0.0
19580701 19580731     6.7
19580801 19580831     1.8
19580901 19580930     0.0
19581001 19581031    16.3
19581101 19581130    42.3
19581201 19581231     0.0
19590101 19590131     0.8
19590201 19590228     3.6
19590301 19590331    14.8
19590401 19590430     0.0
19590501 19590531    10.4
19590601 19590630     0.0
19590701 19590731     0.3
19590801 19590831     0.8
19590901 19590930    12.9
19591001 19591031    30.2
19591101 19591130     0.0
19591201 19591231     1.5
19600101 19600131    32.0
19600201 19600229    26.2
19600301 19600331     0.0
19600401 19600430     6.4
19600501 19600531     5.1
19600601 19600630     0.5
19600701 19600731    26.4
19600801 19600831    18.3
19600901 19600930     0.0
19601001 19601031     3.3
19601101 19601130     5.6
19601201 19601231    27.9
19610101 19610131     9.4
19610201 19610228     1.3
19610301 19610331     0.0
19610401 19610430     5.7
19610501 19610531     0.0
19610601 19610630     0.0
19610701 19610731     0.8
19610801 19610831     0.0
19610901 19610930     1.0
19611001 19611031     0.0
19611101 19611130    15.0
19611201 19611231     0.0
19620101 19620131    94.6
19620201 19620228     0.0
19620301 19620331     8.1
19620401 19620430     0.0
19620501 19620531     5.3
19620601 19620630    17.3
19620701 19620731    18.3
19620801 19620831    11.4
19620901 19620930     0.0
19621001 19621031     6.6
19621101 19621130     4.1
19621201 19621231     3.3
19630101 19630131     0.0
19630201 19630228     2.0
19630301 19630331     2.5
19630401 19630430    57.9
19630501 19630531     6.6
19630601 19630630    15.0
19630701 19630731     0.8
19630801 19630831     1.0
19630901 19630930     0.0
19631001 19631031     0.0
19631101 19631130     0.0
19631201 19631231     2.0
19640101 19640131    95.0
19640201 19640229     0.0
19640301 19640331     0.0
19640401 19640430    30.9
19640501 19640531    30.0
19640601 19640630     3.0
19640701 19640731     0.0
19640801 19640831     0.3
19640901 19640930     5.8
19641001 19641031    14.6
19641101 19641130     6.6
19641201 19641231     1.3
19650101 19650131     0.5
19650201 19650228     0.0
19650301 19650331     0.0
19650401 19650430     0.0
19650501 19650531     0.0
19650601 19650630     1.6
19650701 19650731     2.0
