PRCP       065022 18880501 20180131 missing_value=99999.9 MANILDRA (HAZELDALE)                      
19760301 19760331    40.8
19760401 19760430    37.2
19760501 19760531    30.6
19760601 19760630     5.8
19760701 19760731    66.6
19760801 19760831    28.4
19760901 19760930    71.0
19761001 19761031   146.6
19761101 19761130    40.0
19761201 19761231    15.6
19770101 19770131    25.6
19770201 19770228    33.0
19770301 19770331    68.8
19770401 19770430    33.0
19770501 19770531   172.8
19770601 19770630    49.6
19770701 19770731    14.4
19770801 19770831    33.4
19770901 19770930    37.0
19771001 19771031    14.8
19771101 19771130     1.2
19771201 19771231     7.2
19780101 19780131   273.2
19780201 19780228    10.0
19780301 19780331   123.4
19780401 19780430     7.4
19780501 19780531    93.6
19780601 19780630    54.4
19780701 19780731    92.2
19780801 19780831    29.8
19780901 19780930   127.4
19781001 19781031    29.0
19781101 19781130   100.6
19781201 19781231    46.2
19790101 19790131    16.2
19790201 19790228     3.4
19790301 19790331    72.8
19790401 19790430    72.4
19790501 19790531    63.2
19790601 19790630     5.6
19790701 19790731    33.8
19790801 19790831    45.0
19790901 19790930    57.8
19791001 19791031    28.4
19791101 19791130    16.8
19791201 19791231     0.0
19800101 19800131    43.8
19800201 19800229    62.6
19800301 19800331    26.2
19800401 19800430    13.4
19800501 19800531    57.6
19800601 19800630    64.6
19800701 19800731    53.4
19800801 19800831    13.2
19800901 19800930    18.2
19801001 19801031    28.0
19801101 19801130     8.4
19801201 19801231    52.4
19810101 19810131    38.0
19810201 19810228    83.8
19810301 19810331     7.0
19810401 19810430    18.0
19810501 19810531    63.8
19810601 19810630    87.2
19810701 19810731   142.6
19810801 19810831    39.2
19810901 19810930    19.2
19811001 19811031    52.4
19811101 19811130    65.2
19811201 19811231    57.4
19820101 19820131    23.4
19820201 19820228    49.0
19820301 19820331    47.6
19820401 19820430    15.2
19820501 19820531     5.8
19820601 19820630    20.6
19820701 19820731    17.6
19820801 19820831     0.4
19820901 19820930    25.0
19821001 19821031    18.2
19821101 19821130     9.0
19821201 19821231     7.2
19830101 19830131    36.6
19830201 19830228    79.4
19830301 19830331    41.0
19830401 19830430    42.6
19830501 19830531   103.4
19830601 19830630    21.4
19830701 19830731    66.4
19830801 19830831    55.8
19830901 19830930    82.2
19831001 19831031    70.6
19831101 19831130    86.0
19831201 19831231   113.0
