PRCP       010126 19100101 20180131 missing_value=99999.9 TRAYNING                                  
19830201 19830228     1.0
19830301 19830331    16.1
19830401 19830430     4.4
19830501 19830531     7.5
19830601 19830630    68.5
19830701 19830731    59.2
19830801 19830831    28.0
19830901 19830930    34.9
19831001 19831031     5.2
19831101 19831130    90.6
19831201 19831231    19.8
19840101 19840131     8.0
19840201 19840229    16.0
19840301 19840331    31.4
19840401 19840430    41.4
19840501 19840531    96.6
19840601 19840630    21.4
19840701 19840731    50.6
19840801 19840831    12.6
19840901 19840930    41.2
19841001 19841031     5.8
19841101 19841130    10.8
19841201 19841231     3.4
19850101 19850131     0.0
19850201 19850228    16.3
19850301 19850331    31.4
19850401 19850430     2.6
19850501 19850531    27.2
19850601 19850630    24.8
19850701 19850731    64.8
19850801 19850831    43.4
19850901 19850930    26.4
19851001 19851031    14.0
19851101 19851130    32.6
19851201 19851231     5.2
19860101 19860131     2.6
19860201 19860228    32.0
19860301 19860331     7.2
19860401 19860430     6.8
19860501 19860531    60.4
19860601 19860630    97.8
19860701 19860731    36.8
19860801 19860831    46.2
19860901 19860930    36.5
19861001 19861031    11.0
19861101 19861130    30.0
19861201 19861231     1.0
19870101 19870131     0.0
19870201 19870228     0.0
19870301 19870331     2.4
19870401 19870430    21.4
19870501 19870531    38.8
19870601 19870630    43.4
19870701 19870731    47.9
19870801 19870831    27.4
19870901 19870930    13.8
19871001 19871031    23.8
19871101 19871130    27.2
19871201 19871231    28.0
19880101 19880131     0.0
19880201 19880229     0.0
19880301 19880331    12.2
19880401 19880430    29.6
19880501 19880531    56.9
19880601 19880630    59.9
19880701 19880731    51.8
19880801 19880831    64.4
19880901 19880930    16.7
19881001 19881031    12.4
19881101 19881130     8.0
19881201 19881231    23.0
19890101 19890131    15.0
19890201 19890228    34.4
19890301 19890331     3.0
19890401 19890430    28.6
19890501 19890531    75.2
19890601 19890630   126.8
19890701 19890731    26.6
19890801 19890831    16.0
19890901 19890930     4.5
19891001 19891031    10.7
19891101 19891130     8.0
19891201 19891231     2.4
19900101 19900131   105.0
19900201 19900228    16.8
19900301 19900331    38.8
19900401 19900430    21.6
19900501 19900531     9.0
19900601 19900630    34.6
19900701 19900731    56.0
19900801 19900831    34.1
19900901 19900930    19.0
19901001 19901031    46.8
19901101 19901130     2.0
19901201 19901231     0.6
19910101 19910131    15.2
19910201 19910228     0.4
19910301 19910331     5.6
19910401 19910430    15.0
19910501 19910531    32.4
19910601 19910630    56.2
19910701 19910731    64.3
19910801 19910831    19.7
19910901 19910930    24.8
19911001 19911031    10.6
19911101 19911130    21.0
19911201 19911231    35.0
19920101 19920131     4.4
19920201 19920229    64.8
19920301 19920331    55.2
19920401 19920430    55.6
19920501 19920531    10.0
19920601 19920630    80.2
19920701 19920731    40.0
19920801 19920831    93.8
19920901 19920930    60.4
19921001 19921031    17.6
19921101 19921130    10.6
19921201 19921231     5.0
19930101 19930131     1.4
19930201 19930228     2.6
19930301 19930331     8.4
19930401 19930430    18.0
19930501 19930531    98.6
19930601 19930630    68.7
19930701 19930731    27.0
19930801 19930831    35.6
19930901 19930930    20.6
19931001 19931031     8.6
19931101 19931130    42.6
19931201 19931231     4.6
19940101 19940131     0.0
19940201 19940228     8.0
19940301 19940331     0.4
19940401 19940430     0.0
19940501 19940531    46.0
19940601 19940630    25.2
19940701 19940731    29.6
19940801 19940831    57.6
19940901 19940930     9.6
19941001 19941031     0.0
19941101 19941130     0.0
19941201 19941231    24.8
19950101 19950131    10.2
19950201 19950228    17.8
19950301 19950331    28.4
19950401 19950430    14.4
19950501 19950531    51.8
19950601 19950630    41.4
19950701 19950731   107.2
19950801 19950831    24.4
19950901 19950930    40.8
19951001 19951031    30.0
19951101 19951130     4.4
19951201 19951231    30.2
19960101 19960131     0.0
19960201 19960229     2.2
19960301 19960331     1.8
19960401 19960430    30.6
19960501 19960531    23.6
19960601 19960630    63.4
19960701 19960731    81.6
19960801 19960831    45.4
19960901 19960930    46.6
19961001 19961031     9.0
19961101 19961130    34.4
19961201 19961231     0.0
19970101 19970131     0.0
19970201 19970228    29.2
19970301 19970331    14.4
19970401 19970430    21.6
19970501 19970531    29.0
19970601 19970630    22.0
19970701 19970731    43.6
19970801 19970831    38.1
19970901 19970930    28.0
