PRCP       018069 18820101 20180131 missing_value=99999.9 ELLISTON                                  
19561001 19561031    40.7
19561101 19561130    10.0
19561201 19561231    22.6
19570101 19570131     0.0
19570201 19570228     0.8
19570301 19570331     8.7
19570401 19570430     9.9
19570501 19570531    20.9
19570601 19570630    46.7
19570701 19570731   110.0
19570801 19570831    40.4
19570901 19570930    21.7
19571001 19571031     4.1
19571101 19571130    13.9
19571201 19571231    22.8
19580101 19580131     1.8
19580201 19580228     1.8
19580301 19580331    26.4
19580401 19580430     7.6
19580501 19580531    54.9
19580601 19580630    14.7
19580701 19580731   106.7
19580801 19580831    59.7
19580901 19580930    81.7
19581001 19581031    31.4
19581101 19581130     9.7
19581201 19581231    22.4
19590101 19590131     0.0
19590201 19590228    12.3
19590301 19590331     3.6
19590401 19590430     1.8
19590501 19590531    18.3
19590601 19590630    15.3
19590701 19590731    33.8
19590801 19590831    17.7
19590901 19590930    35.6
19591001 19591031    10.9
19591101 19591130    18.5
19591201 19591231    16.0
19600101 19600131    16.3
19600201 19600229    52.4
19600301 19600331     6.9
19600401 19600430    59.8
19600501 19600531    78.5
19600601 19600630    45.0
19600701 19600731    63.1
19600801 19600831    51.3
19600901 19600930    64.6
19601001 19601031     9.2
19601101 19601130    17.3
19601201 19601231     8.9
19610101 19610131     0.0
19610201 19610228     4.3
19610301 19610331     4.6
19610401 19610430    83.5
19610501 19610531    13.5
19610601 19610630    46.4
19610701 19610731    52.2
19610801 19610831    62.0
19610901 19610930    25.2
19611001 19611031    10.4
19611101 19611130    13.6
19611201 19611231     0.8
19620101 19620131     1.1
19620201 19620228     6.6
19620301 19620331    38.4
19620401 19620430     9.7
19620501 19620531   116.4
19620601 19620630    67.1
19620701 19620731    42.6
19620801 19620831    57.1
19620901 19620930    27.7
19621001 19621031    51.4
19621101 19621130     7.3
19621201 19621231    16.2
19630101 19630131    16.0
19630201 19630228    26.7
19630301 19630331     9.1
19630401 19630430    30.4
19630501 19630531    78.0
19630601 19630630    91.1
19630701 19630731   133.8
19630801 19630831    62.3
19630901 19630930    26.3
19631001 19631031     3.3
19631101 19631130     2.1
19631201 19631231     2.6
19640101 19640131     6.7
19640201 19640229    17.0
19640301 19640331     0.5
19640401 19640430    35.8
19640501 19640531    60.9
19640601 19640630    82.4
19640701 19640731   102.7
19640801 19640831    28.9
19640901 19640930    63.8
19641001 19641031    45.3
19641101 19641130    60.1
19641201 19641231     8.0
19650101 19650131     0.8
19650201 19650228     0.8
19650301 19650331     3.9
19650401 19650430     6.7
19650501 19650531    66.7
19650601 19650630    65.5
19650701 19650731    78.6
19650801 19650831    73.8
19650901 19650930    26.6
19651001 19651031     8.2
19651101 19651130    21.6
19651201 19651231    12.3
19660101 19660131     9.4
19660201 19660228    10.7
19660301 19660331    50.2
19660401 19660430     8.6
19660501 19660531    49.6
19660601 19660630    65.6
19660701 19660731    71.5
19660801 19660831    35.4
19660901 19660930    93.2
19661001 19661031    36.4
19661101 19661130     9.4
19661201 19661231    53.4
19670101 19670131    19.7
19670201 19670228    28.4
19670301 19670331     0.6
19670401 19670430     4.6
19670501 19670531    23.0
19670601 19670630    29.8
19670701 19670731   111.4
19670801 19670831    59.4
19670901 19670930    38.2
19671001 19671031    24.5
19671101 19671130     3.6
19671201 19671231     6.3
19680101 19680131    34.6
19680201 19680229     7.2
19680301 19680331    60.8
19680401 19680430    44.9
19680501 19680531    96.0
19680601 19680630    99.6
19680701 19680731   101.2
19680801 19680831    76.9
19680901 19680930    32.6
19681001 19681031    39.0
19681101 19681130    21.1
19681201 19681231    32.0
19690101 19690131     7.1
19690201 19690228    26.1
19690301 19690331     6.4
19690401 19690430    35.3
19690501 19690531    65.4
19690601 19690630    54.2
19690701 19690731    47.8
19690801 19690831    15.3
19690901 19690930    38.7
19691001 19691031     3.8
19691101 19691130    19.6
19691201 19691231     4.0
19700101 19700131     9.5
19700201 19700228     1.3
19700301 19700331     5.9
19700401 19700430    19.9
19700501 19700531    44.3
19700601 19700630    48.2
19700701 19700731    41.7
19700801 19700831    97.0
19700901 19700930    81.2
19701001 19701031     8.7
19701101 19701130    14.5
19701201 19701231    10.2
19710101 19710131     1.0
19710201 19710228     4.4
19710301 19710331    40.5
19710401 19710430    86.2
19710501 19710531   145.9
19710601 19710630    53.1
19710701 19710731    49.5
19710801 19710831   100.0
19710901 19710930    45.9
19711001 19711031    11.2
19711101 19711130    34.6
19711201 19711231    47.0
19720101 19720131    16.5
