PRCP       024535 18980801 20161231 missing_value=99999.9 SWAN REACH                                
19770601 19770630     8.8
19770701 19770731     3.6
19770801 19770831     5.0
19770901 19770930    17.4
19771001 19771031    17.8
19771101 19771130    39.2
19771201 19771231    15.6
19780101 19780131    34.6
19780201 19780228     0.8
19780301 19780331     9.6
19780401 19780430    13.0
19780501 19780531    21.8
19780601 19780630    38.8
19780701 19780731    42.4
19780801 19780831    33.0
19780901 19780930    34.4
19781001 19781031    13.6
19781101 19781130    20.4
19781201 19781231     3.6
19790101 19790131    43.0
19790201 19790228    35.8
19790301 19790331     1.8
19790401 19790430    15.8
19790501 19790531    32.6
19790601 19790630     5.0
19790701 19790731    11.2
19790801 19790831    30.0
19790901 19790930    84.8
19791001 19791031    58.4
19791101 19791130    56.2
19791201 19791231    15.6
19800101 19800131     0.2
19800201 19800229     0.0
19800301 19800331     5.0
19800401 19800430    42.6
19800501 19800531    24.0
19800601 19800630    40.8
19800701 19800731    26.2
19800801 19800831     8.0
19800901 19800930     4.0
19801001 19801031    75.2
19801101 19801130     3.0
19801201 19801231     7.0
19810101 19810131    29.4
19810201 19810228     7.8
19810301 19810331     9.0
19810401 19810430     0.6
19810501 19810531    29.8
19810601 19810630    33.4
19810701 19810731    29.2
19810801 19810831    36.0
19810901 19810930    11.4
19811001 19811031     8.8
19811101 19811130    10.8
19811201 19811231     1.0
19820101 19820131    15.2
19820201 19820228     8.0
19820301 19820331    15.0
19820401 19820430    29.4
19820501 19820531    15.4
19820601 19820630    13.4
19820701 19820731     2.8
19820801 19820831     8.2
19820901 19820930    17.0
19821001 19821031     5.4
19821101 19821130     0.0
19821201 19821231     1.2
19830101 19830131     3.6
19830201 19830228     1.0
19830301 19830331    56.0
19830401 19830430    34.9
19830501 19830531    20.8
19830601 19830630     6.6
19830701 19830731    41.6
19830801 19830831    33.6
19830901 19830930    38.6
19831001 19831031    43.6
19831101 19831130    13.0
19831201 19831231    29.4
19840101 19840131    29.0
19840201 19840229     1.0
19840301 19840331    18.6
19840401 19840430    20.0
19840501 19840531    12.2
19840601 19840630    15.8
19840701 19840731    52.0
19840801 19840831    43.2
19840901 19840930    20.0
19841001 19841031    12.0
19841101 19841130    19.0
19841201 19841231     0.0
19850101 19850131     2.0
19850201 19850228     0.2
19850301 19850331    26.8
19850401 19850430    22.8
19850501 19850531    25.6
19850601 19850630    16.4
19850701 19850731     3.8
19850801 19850831    64.0
19850901 19850930    23.0
19851001 19851031    18.8
19851101 19851130    11.0
19851201 19851231    14.8
19860101 19860131     2.2
19860201 19860228     0.8
19860301 19860331     0.0
19860401 19860430     9.8
19860501 19860531    15.0
19860601 19860630    10.2
19860701 19860731    43.6
19860801 19860831    64.6
19860901 19860930    36.6
19861001 19861031    39.0
19861101 19861130    28.6
19861201 19861231    13.0
19870101 19870131    25.6
19870201 19870228    15.2
19870301 19870331    13.2
19870401 19870430    13.4
19870501 19870531    70.8
19870601 19870630    44.0
19870701 19870731    25.2
19870801 19870831    17.0
19870901 19870930    12.2
19871001 19871031    22.0
19871101 19871130     5.6
19871201 19871231    41.4
19880101 19880131    27.0
19880201 19880229     8.8
19880301 19880331     6.4
19880401 19880430    36.6
19880501 19880531    31.4
19880601 19880630    41.6
19880701 19880731    19.6
19880801 19880831     7.0
19880901 19880930    25.6
19881001 19881031    10.4
19881101 19881130    34.2
19881201 19881231    26.8
19890101 19890131     0.6
19890201 19890228     4.4
19890301 19890331    22.4
19890401 19890430     4.4
19890501 19890531   112.6
19890601 19890630    28.4
19890701 19890731    42.0
19890801 19890831    30.4
19890901 19890930    35.9
19891001 19891031    12.2
19891101 19891130    22.2
19891201 19891231    22.4
19900101 19900131    13.6
19900201 19900228     9.0
19900301 19900331     0.6
19900401 19900430    13.4
19900501 19900531    19.0
19900601 19900630    32.2
19900701 19900731    46.4
19900801 19900831    24.4
19900901 19900930    27.2
19901001 19901031    15.8
19901101 19901130     4.4
19901201 19901231    13.6
19910101 19910131    26.0
19910201 19910228     0.0
19910301 19910331     4.0
19910401 19910430    20.2
19910501 19910531     3.7
19910601 19910630    78.4
19910701 19910731    59.0
19910801 19910831    19.6
19910901 19910930    12.6
19911001 19911031     0.4
19911101 19911130    30.2
19911201 19911231     1.8
19920101 19920131     0.8
19920201 19920229     7.2
19920301 19920331    23.8
19920401 19920430    59.8
19920501 19920531    34.4
19920601 19920630    17.0
19920701 19920731    11.2
19920801 19920831    54.0
19920901 19920930    75.0
19921001 19921031    65.4
19921101 19921130    49.0
19921201 19921231   118.2
19930101 19930131    26.8
19930201 19930228     2.2
19930301 19930331    13.4
19930401 19930430     2.0
19930501 19930531    15.0
19930601 19930630    13.4
19930701 19930731    36.8
19930801 19930831    19.4
19930901 19930930    55.2
19931001 19931031    32.0
19931101 19931130    22.2
19931201 19931231    21.2
19940101 19940131     6.2
19940201 19940228    13.6
19940301 19940331     0.2
19940401 19940430     3.4
19940501 19940531     3.2
19940601 19940630    69.4
