PRCP       018045 18770101 20170930 missing_value=99999.9 LAKE HAMILTON                             
19271101 19271130    12.0
19271201 19271231     6.4
19280101 19280131    10.5
19280201 19280229    14.7
19280301 19280331     2.5
19280401 19280430     6.8
19280501 19280531    22.7
19280601 19280630    71.4
19280701 19280731    63.1
19280801 19280831    14.4
19280901 19280930    28.0
19281001 19281031    36.5
19281101 19281130     3.5
19281201 19281231     0.0
19290101 19290131     4.6
19290201 19290228     7.9
19290301 19290331     5.6
19290401 19290430     7.9
19290501 19290531    16.7
19290601 19290630    92.9
19290701 19290731    64.3
19290801 19290831    39.2
19290901 19290930    27.3
19291001 19291031    24.8
19291101 19291130    53.4
19291201 19291231    28.2
19300101 19300131     0.0
19300201 19300228    10.4
19300301 19300331     1.5
19300401 19300430     6.6
19300501 19300531    20.3
19300601 19300630     3.5
19300701 19300731    50.9
19300801 19300831    79.6
19300901 19300930    47.5
19301001 19301031    33.2
19301101 19301130     5.8
19301201 19301231     5.3
19310101 19310131     9.2
19310201 19310228     0.0
19310301 19310331    13.2
19310401 19310430    32.3
19310501 19310531    76.5
19310601 19310630   102.7
19310701 19310731    66.5
19310801 19310831    62.7
19310901 19310930    40.8
19311001 19311031     5.9
19311101 19311130    15.2
19311201 19311231     0.0
19320101 19320131     3.0
19320201 19320229    41.4
19320301 19320331     7.6
19320401 19320430    48.7
19320501 19320531    22.2
19320601 19320630   162.3
19320701 19320731    77.9
19320801 19320831    92.1
19320901 19320930    94.6
19321001 19321031    42.2
19321101 19321130     4.8
19321201 19321231     5.5
19330101 19330131     0.0
19330201 19330228     2.0
19330301 19330331    15.6
19330401 19330430    20.5
19330501 19330531   129.0
19330601 19330630    33.0
19330701 19330731    82.6
19330801 19330831    81.3
19330901 19330930    39.6
19331001 19331031    15.5
19331101 19331130     6.4
19331201 19331231    11.4
19340101 19340131     5.1
19340201 19340228     2.8
19340301 19340331    14.5
19340401 19340430    81.0
19340501 19340531     0.0
19340601 19340630    34.3
19340701 19340731    29.1
19340801 19340831    70.0
19340901 19340930    45.6
19341001 19341031    29.0
19341101 19341130    43.6
19341201 19341231     1.3
19350101 19350131    14.2
19350201 19350228     0.0
19350301 19350331    64.1
19350401 19350430    35.5
19350501 19350531   104.1
19350601 19350630    76.2
19350701 19350731    88.5
19350801 19350831    56.6
19350901 19350930    45.3
19351001 19351031    39.6
19351101 19351130    14.7
19351201 19351231    13.9
19360101 19360131     2.3
19360201 19360229     1.6
19360301 19360331     0.3
19360401 19360430     6.6
19360501 19360531    31.3
19360601 19360630    32.3
19360701 19360731    98.6
19360801 19360831    44.6
19360901 19360930    12.2
19361001 19361031    51.7
19361101 19361130    19.9
19361201 19361231    13.5
19370101 19370131    16.3
19370201 19370228    20.6
19370301 19370331     7.1
19370401 19370430    17.7
19370501 19370531    44.9
19370601 19370630    55.5
19370701 19370731    52.6
19370801 19370831    83.1
19370901 19370930    42.0
19371001 19371031    24.9
19371101 19371130    17.6
19371201 19371231    18.8
19380101 19380131     3.6
19380201 19380228   111.7
19380301 19380331     0.0
19380401 19380430    53.9
19380501 19380531    35.1
19380601 19380630    93.2
