PRCP       079010 19051201 20170930 missing_value=99999.9 DRUNG DRUNG                               
19731001 19731031   132.6
19731101 19731130    15.7
19731201 19731231    42.0
19740101 19740131    79.4
19740201 19740228    41.2
19740301 19740331    35.4
19740401 19740430   142.0
19740501 19740531    80.0
19740601 19740630    22.3
19740701 19740731    70.6
19740801 19740831    72.8
19740901 19740930    72.0
19741001 19741031    75.4
19741101 19741130    10.6
19741201 19741231    10.4
19750101 19750131    26.0
19750201 19750228     0.0
19750301 19750331    30.6
19750401 19750430    16.2
19750501 19750531    43.2
19750601 19750630    16.6
19750701 19750731    55.4
19750801 19750831    24.2
19750901 19750930    71.0
19751001 19751031   203.2
19751101 19751130    24.4
19751201 19751231    30.6
19760101 19760131    22.6
19760201 19760229    26.4
19760301 19760331     7.2
19760401 19760430    13.2
19760501 19760531    11.4
19760601 19760630    39.2
19760701 19760731    19.6
19760801 19760831    34.2
19760901 19760930    42.4
19761001 19761031    20.6
19761101 19761130    98.0
19761201 19761231    46.7
19770101 19770131    18.8
19770201 19770228    26.6
19770301 19770331    27.6
19770401 19770430     8.4
19770501 19770531    44.4
19770601 19770630    53.8
19770701 19770731    24.0
19770801 19770831    23.8
19770901 19770930    19.3
19771001 19771031    27.5
19771101 19771130    38.2
19771201 19771231    14.4
19780101 19780131    11.2
19780201 19780228     7.2
19780301 19780331    21.2
19780401 19780430    20.0
19780501 19780531    55.8
19780601 19780630    41.0
19780701 19780731    61.8
19780801 19780831    46.2
19780901 19780930    69.8
19781001 19781031    24.8
19781101 19781130    50.6
19781201 19781231    34.6
19790101 19790131    80.2
19790201 19790228    11.8
19790301 19790331     2.2
19790401 19790430    23.6
19790501 19790531    65.8
19790601 19790630    21.6
19790701 19790731    37.0
19790801 19790831    71.6
19790901 19790930   121.0
19791001 19791031    48.4
19791101 19791130    58.8
19791201 19791231     3.4
19800101 19800131     9.8
19800201 19800229     1.0
19800301 19800331     8.6
19800401 19800430    72.0
19800501 19800531    53.0
19800601 19800630    56.2
19800701 19800731    64.4
19800801 19800831    53.0
19800901 19800930    26.6
19801001 19801031    81.6
19801101 19801130    30.6
19801201 19801231    13.8
19810101 19810131    23.0
19810201 19810228    11.8
19810301 19810331     1.4
19810401 19810430     3.4
19810501 19810531    58.4
19810601 19810630   111.6
19810701 19810731    86.6
19810801 19810831   113.2
19810901 19810930    22.6
19811001 19811031    44.0
19811101 19811130    24.6
19811201 19811231     2.6
19820101 19820131    30.8
19820201 19820228    11.8
19820301 19820331    29.8
19820401 19820430    17.2
19820501 19820531    25.4
19820601 19820630    23.0
19820701 19820731    10.4
19820801 19820831     6.2
19820901 19820930    17.8
19821001 19821031    11.8
19821101 19821130    11.6
19821201 19821231     3.0
19830101 19830131     1.2
19830201 19830228     8.2
19830301 19830331    53.6
19830401 19830430    47.4
19830501 19830531    63.2
19830601 19830630    25.8
19830701 19830731    67.8
19830801 19830831    82.4
19830901 19830930    66.8
19831001 19831031    36.0
19831101 19831130   112.8
19831201 19831231    11.4
19840101 19840131    32.6
19840201 19840229     2.4
19840301 19840331   109.6
19840401 19840430    14.0
19840501 19840531    18.8
19840601 19840630    18.2
19840701 19840731    84.2
19840801 19840831    82.2
19840901 19840930    51.0
19841001 19841031    15.6
19841101 19841130    52.2
19841201 19841231     4.8
19850101 19850131    10.0
19850201 19850228     4.4
19850301 19850331    18.2
19850401 19850430    18.0
19850501 19850531    33.6
19850601 19850630    28.8
19850701 19850731    17.4
19850801 19850831    74.0
19850901 19850930    14.4
19851001 19851031    55.2
19851101 19851130    32.6
19851201 19851231    40.3
19860101 19860131     5.6
19860201 19860228     0.0
19860301 19860331     0.0
19860401 19860430    28.2
19860501 19860531    53.2
19860601 19860630    28.4
19860701 19860731   107.0
19860801 19860831    40.8
19860901 19860930    45.8
19861001 19861031    83.4
19861101 19861130     8.0
19861201 19861231    55.4
19870101 19870131    24.2
19870201 19870228    39.0
19870301 19870331    19.0
19870401 19870430    10.6
19870501 19870531    85.0
19870601 19870630    47.6
19870701 19870731    46.4
19870801 19870831    24.8
19870901 19870930    18.2
19871001 19871031    53.6
19871101 19871130    15.0
19871201 19871231    59.8
19880101 19880131    53.0
19880201 19880229    26.4
19880301 19880331    30.6
19880401 19880430     1.8
19880501 19880531   116.6
19880601 19880630    88.2
19880701 19880731    44.4
19880801 19880831    25.6
19880901 19880930    60.4
19881001 19881031    27.6
19881101 19881130    21.4
19881201 19881231    26.2
19890101 19890131     8.2
19890201 19890228    12.6
19890301 19890331    34.4
19890401 19890430    19.8
19890501 19890531    57.8
19890601 19890630    73.7
19890701 19890731    59.0
19890801 19890831    51.6
19890901 19890930    43.4
19891001 19891031    56.6
19891101 19891130    14.8
19891201 19891231     7.8
19900101 19900131     6.4
19900201 19900228    16.4
19900301 19900331    19.4
19900401 19900430     6.6
19900501 19900531     9.8
19900601 19900630    50.8
19900701 19900731    76.4
19900801 19900831    64.4
19900901 19900930    24.0
19901001 19901031    25.0
