PRCP       068034 18990701 20040630 missing_value=99999.9 POINT PERPENDICULAR LIGHTHOUSE COMPARISON 
19640801 19640831    64.1
19640901 19640930    56.6
19641001 19641031    97.8
19641101 19641130   126.5
19641201 19641231    64.7
19650101 19650131    53.9
19650201 19650228    34.1
19650301 19650331    12.3
19650401 19650430   176.8
19650501 19650531   148.1
19650601 19650630    89.9
19650701 19650731    48.7
19650801 19650831    29.1
19650901 19650930    55.0
19651001 19651031   187.7
19651101 19651130    27.4
19651201 19651231    54.5
19660101 19660131    51.3
19660201 19660228   166.3
19660301 19660331   182.5
19660401 19660430    43.5
19660501 19660531    32.7
19660601 19660630   184.8
19660701 19660731    73.7
19660801 19660831   119.0
19660901 19660930    45.7
19661001 19661031   153.0
19661101 19661130   199.1
19661201 19661231    86.5
19670101 19670131   105.9
19670201 19670228    22.1
19670301 19670331    65.2
19670401 19670430    21.4
19670501 19670531    66.9
19670601 19670630   105.6
19670701 19670731    84.0
19670801 19670831    81.3
19670901 19670930   137.8
19671001 19671031    60.7
19671101 19671130    86.4
19671201 19671231    11.7
19680101 19680131    74.9
19680201 19680229     4.8
19680301 19680331    99.2
19680401 19680430    28.8
19680501 19680531   152.0
19680601 19680630    10.4
19680701 19680731    41.2
19680801 19680831    27.9
19680901 19680930    13.7
19681001 19681031    11.2
19681101 19681130    24.4
19681201 19681231   118.7
19690101 19690131    29.9
19690201 19690228   148.8
19690301 19690331    71.4
19690401 19690430   266.8
19690501 19690531   197.7
19690601 19690630   307.9
19690701 19690731   109.9
19690801 19690831   107.6
19690901 19690930    98.0
19691001 19691031   144.0
19691101 19691130   201.7
19691201 19691231    44.3
19700101 19700131   192.6
19700201 19700228    60.6
19700301 19700331   111.8
19700401 19700430    68.6
19700501 19700531    41.0
19700601 19700630    56.1
19700701 19700731     0.6
19700801 19700831    48.0
19700901 19700930   108.7
19701001 19701031    54.9
19701101 19701130    60.1
19701201 19701231   222.3
19710101 19710131    69.7
19710201 19710228   302.4
19710301 19710331    51.0
19710401 19710430    41.4
19710501 19710531    35.6
19710601 19710630    30.2
19710701 19710731    34.2
19710801 19710831    77.6
19710901 19710930    23.3
19711001 19711031    42.4
19711101 19711130    44.7
19711201 19711231    93.0
19720101 19720131   277.1
19720201 19720229    92.1
19720301 19720331    84.7
19720401 19720430    48.6
19720501 19720531    63.9
19720601 19720630   152.2
19720701 19720731     5.1
19720801 19720831    96.6
19720901 19720930     2.6
19721001 19721031    66.2
19721101 19721130    81.6
19721201 19721231    13.0
19730101 19730131    74.6
19730201 19730228   186.1
19730301 19730331    92.4
19730401 19730430   321.3
19730501 19730531    71.1
19730601 19730630   165.5
19730701 19730731    81.2
19730801 19730831   126.9
19730901 19730930    31.1
19731001 19731031   183.0
19731101 19731130   154.1
19731201 19731231    94.7
19740101 19740131   115.4
19740201 19740228   140.4
19740301 19740331   352.3
19740401 19740430   488.3
19740501 19740531   290.9
19740601 19740630   344.0
19740701 19740731   132.4
19740801 19740831   234.3
19740901 19740930    60.4
19741001 19741031   105.8
19741101 19741130    80.6
19741201 19741231     8.0
19750101 19750131    55.3
19750201 19750228   218.2
19750301 19750331   342.6
19750401 19750430   196.6
19750501 19750531    15.6
19750601 19750630   291.7
19750701 19750731    42.1
19750801 19750831    20.9
19750901 19750930    95.3
19751001 19751031   133.8
19751101 19751130   151.7
19751201 19751231    27.5
19760101 19760131   256.0
19760201 19760229   118.3
19760301 19760331   440.4
19760401 19760430    50.5
19760501 19760531    33.9
19760601 19760630   245.8
19760701 19760731   202.0
19760801 19760831    83.1
19760901 19760930   329.2
19761001 19761031   421.8
19761101 19761130    92.2
19761201 19761231    33.2
19770101 19770131    35.2
19770201 19770228   285.5
19770301 19770331   126.4
19770401 19770430    70.7
19770501 19770531   113.3
19770601 19770630   109.5
19770701 19770731    45.8
19770801 19770831     1.8
19770901 19770930   186.6
19771001 19771031    60.6
19771101 19771130    25.1
19771201 19771231    28.8
19780101 19780131   183.9
19780201 19780228    35.8
19780301 19780331   210.3
19780401 19780430   123.4
19780501 19780531   144.8
19780601 19780630   315.8
19780701 19780731    48.6
19780801 19780831    36.2
19780901 19780930   133.8
19781001 19781031    85.2
19781101 19781130   144.0
19781201 19781231    91.0
19790101 19790131    28.4
19790201 19790228     2.0
19790301 19790331   186.3
19790401 19790430    46.6
19790501 19790531   200.2
19790601 19790630    36.2
19790701 19790731   105.4
19790801 19790831    38.8
19790901 19790930     7.0
19791001 19791031    96.4
19791101 19791130    61.5
19791201 19791231     5.8
19800101 19800131    87.2
19800201 19800229    73.6
19800301 19800331   126.4
19800401 19800430    11.6
19800501 19800531   116.4
19800601 19800630   142.0
19800701 19800731    35.4
19800801 19800831     3.6
19800901 19800930     8.8
19801001 19801031    23.8
19801101 19801130    17.4
19801201 19801231    53.6
19810101 19810131    66.4
19810201 19810228   168.7
19810301 19810331    22.6
19810401 19810430    61.6
19810501 19810531   208.1
19810601 19810630   106.6
19810701 19810731    44.6
19810801 19810831    24.0
19810901 19810930    18.8
19811001 19811031   100.2
19811101 19811130   112.8
19811201 19811231   165.5
19820101 19820131    52.8
19820201 19820228    18.2
19820301 19820331   104.5
19820401 19820430    62.1
19820501 19820531     2.0
19820601 19820630   144.6
19820701 19820731   116.2
19820801 19820831     6.4
19820901 19820930   156.2
19821001 19821031    54.2
19821101 19821130    29.8
19821201 19821231    23.1
19830101 19830131    28.4
19830201 19830228    32.0
19830301 19830331   115.8
19830401 19830430   188.7
19830501 19830531   255.2
19830601 19830630    58.8
19830701 19830731    64.6
19830801 19830831    34.4
19830901 19830930    21.4
19831001 19831031   202.8
19831101 19831130   116.2
19831201 19831231    72.9
19840101 19840131   233.0
19840201 19840229   219.5
19840301 19840331   174.5
19840401 19840430   135.3
19840501 19840531   106.8
19840601 19840630    74.4
19840701 19840731   229.2
19840801 19840831    32.8
19840901 19840930    41.0
19841001 19841031    36.4
19841101 19841130   189.4
19841201 19841231    79.6
19850101 19850131    20.4
19850201 19850228    36.0
19850301 19850331   117.6
19850401 19850430   156.0
19850501 19850531   214.8
19850601 19850630   131.0
19850701 19850731   108.6
19850801 19850831    31.8
19850901 19850930   265.6
19851001 19851031   105.0
19851101 19851130   132.0
19851201 19851231   198.0
19860101 19860131   228.8
19860201 19860228    50.1
19860301 19860331    70.0
19860401 19860430    73.8
19860501 19860531    36.7
19860601 19860630    55.8
19860701 19860731    31.6
19860801 19860831    80.8
19860901 19860930    86.4
19861001 19861031   100.2
19861101 19861130   184.8
19861201 19861231    61.2
19870101 19870131    85.8
19870201 19870228    50.5
19870301 19870331    72.6
19870401 19870430    56.2
19870501 19870531    92.6
19870601 19870630    31.4
19870701 19870731   203.8
19870801 19870831   261.4
19870901 19870930    27.4
19871001 19871031    98.6
