PRCP       009520 18970101 20171231 missing_value=99999.9 CAPE RICHE                                
19430901 19430930    27.9
19431001 19431031    14.0
19431101 19431130    19.6
19431201 19431231    16.3
19440101 19440131     3.3
19440201 19440229     0.0
19440301 19440331     9.2
19440401 19440430    24.3
19440501 19440531    52.4
19440601 19440630    40.2
19440701 19440731    79.5
19440801 19440831   107.4
19440901 19440930    65.0
19441001 19441031    13.2
19441101 19441130     2.5
19441201 19441231    16.5
19450101 19450131     5.5
19450201 19450228    13.0
19450301 19450331    41.6
19450401 19450430    11.2
19450501 19450531    71.4
19450601 19450630   142.1
19450701 19450731   107.0
19450801 19450831   103.0
19450901 19450930    64.8
19451001 19451031    23.9
19451101 19451130     9.9
19451201 19451231    60.4
19460101 19460131     7.9
19460201 19460228     2.3
19460301 19460331     8.6
19460401 19460430    10.9
19460501 19460531    44.1
19460601 19460630   105.3
19460701 19460731    41.1
19460801 19460831    34.8
19460901 19460930    37.2
19461001 19461031    47.2
19461101 19461130    51.0
19461201 19461231    24.1
19470101 19470131     3.3
19470201 19470228    20.2
19470301 19470331     7.0
19470401 19470430    84.4
19470501 19470531    77.3
19470601 19470630    90.5
19470701 19470731    48.8
19470801 19470831    35.7
19470901 19470930    44.5
19471001 19471031   119.4
19471101 19471130    70.9
19471201 19471231    10.5
19480101 19480131     3.8
19480201 19480229     9.6
19480301 19480331    20.6
19480401 19480430    44.7
19480501 19480531    16.5
19480601 19480630    56.2
19480701 19480731    64.8
19480801 19480831    34.1
19480901 19480930    53.9
19481001 19481031    21.5
19481101 19481130    51.1
19481201 19481231    15.3
19490101 19490131     3.6
19490201 19490228     5.6
19490301 19490331    26.2
19490401 19490430    22.1
19490501 19490531    53.1
19490601 19490630    25.5
19490701 19490731   112.7
19490801 19490831    72.6
19490901 19490930    43.5
19491001 19491031    88.0
19491101 19491130    39.6
19491201 19491231     3.3
19500101 19500131     9.4
19500201 19500228     0.3
19500301 19500331     0.8
19500401 19500430     3.0
19500501 19500531   243.0
19500601 19500630    71.4
19500701 19500731    45.8
19500801 19500831    35.4
19500901 19500930    75.7
19501001 19501031    39.3
19501101 19501130    31.8
19501201 19501231    64.8
19510101 19510131    85.4
19510201 19510228    49.4
19510301 19510331     6.1
19510401 19510430    73.6
19510501 19510531    71.0
19510601 19510630    91.9
19510701 19510731    47.5
19510801 19510831    74.8
19510901 19510930   163.1
19511001 19511031    38.0
19511101 19511130     9.4
19511201 19511231    27.0
19520101 19520131    28.0
19520201 19520229     0.0
19520301 19520331    36.2
19520401 19520430    28.5
19520501 19520531    47.4
19520601 19520630    76.2
19520701 19520731    70.0
19520801 19520831    23.5
19520901 19520930    49.7
19521001 19521031    54.7
19521101 19521130    39.4
19521201 19521231    24.5
19530101 19530131    11.7
19530201 19530228    58.9
19530301 19530331     9.4
19530401 19530430    25.4
19530501 19530531    58.8
19530601 19530630    85.3
19530701 19530731    42.4
19530801 19530831    60.5
19530901 19530930    53.8
19531001 19531031    57.5
19531101 19531130    30.7
19531201 19531231     8.6
19540101 19540131    47.4
19540201 19540228     5.9
19540301 19540331     3.3
19540401 19540430    25.1
19540501 19540531    20.9
19540601 19540630    41.0
19540701 19540731    39.7
19540801 19540831    64.5
19540901 19540930    24.5
19541001 19541031    82.8
19541101 19541130    30.0
19541201 19541231    19.0
19550101 19550131     7.4
19550201 19550228   242.9
19550301 19550331     3.8
19550401 19550430   160.9
19550501 19550531    74.3
19550601 19550630   114.1
19550701 19550731    55.0
19550801 19550831    80.0
19550901 19550930    59.7
19551001 19551031    69.8
19551101 19551130     8.8
19551201 19551231    25.0
19560101 19560131     0.8
19560201 19560229     8.0
19560301 19560331    11.5
19560401 19560430    45.4
19560501 19560531    66.3
19560601 19560630   118.7
19560701 19560731    60.4
19560801 19560831    41.3
19560901 19560930    21.2
19561001 19561031    50.8
19561101 19561130    25.5
19561201 19561231     6.4
19570101 19570131     3.5
19570201 19570228     8.7
19570301 19570331    31.3
19570401 19570430    36.3
19570501 19570531    19.9
19570601 19570630    74.5
19570701 19570731    58.6
19570801 19570831    70.9
19570901 19570930    21.4
19571001 19571031    39.4
19571101 19571130     2.0
19571201 19571231    26.6
19580101 19580131     9.8
19580201 19580228    42.4
19580301 19580331    13.3
19580401 19580430    19.8
19580501 19580531    24.2
19580601 19580630    19.3
19580701 19580731   106.8
19580801 19580831    82.0
19580901 19580930   105.1
19581001 19581031    52.9
19581101 19581130    18.8
19581201 19581231    54.8
19590101 19590131     5.6
19590201 19590228    11.1
19590301 19590331     7.3
19590401 19590430    12.2
19590501 19590531    35.2
19590601 19590630    97.7
19590701 19590731    40.9
19590801 19590831    71.8
19590901 19590930   197.5
