PRCP       015019 19030901 20151231 missing_value=99999.9 LAKE NASH                                 
19600701 19600731     0.0
19600801 19600831     0.0
19600901 19600930     3.8
19601001 19601031     0.0
19601101 19601130    32.6
19601201 19601231    75.1
19610101 19610131    15.7
19610201 19610228     3.0
19610301 19610331     0.0
19610401 19610430     0.0
19610501 19610531     0.0
19610601 19610630     0.0
19610701 19610731    14.0
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031     0.0
19611101 19611130     4.1
19611201 19611231    63.0
19620101 19620131    80.3
19620201 19620228    20.6
19620301 19620331   162.1
19620401 19620430     1.3
19620501 19620531     8.6
19620601 19620630    24.4
19620701 19620731     0.0
19620801 19620831     0.0
19620901 19620930     0.0
19621001 19621031     8.9
19621101 19621130     5.9
19621201 19621231    39.4
19630101 19630131    53.8
19630201 19630228    27.4
19630301 19630331     0.0
19630401 19630430    86.3
19630501 19630531     0.0
19630601 19630630     0.0
19630701 19630731     0.0
19630801 19630831     0.0
19630901 19630930     0.0
19631001 19631031     1.8
19631101 19631130     0.0
19631201 19631231     0.0
19640101 19640131    91.0
19640201 19640229     6.1
19640301 19640331     3.6
19640401 19640430     0.0
19640501 19640531     0.0
19640601 19640630     0.0
19640701 19640731     0.0
19640801 19640831     0.0
19640901 19640930    18.8
19641001 19641031    26.2
19641101 19641130    12.4
19641201 19641231    48.7
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331    47.0
19650401 19650430     0.0
19650501 19650531     0.0
19650601 19650630    13.9
19650701 19650731     0.0
19650801 19650831     2.0
19650901 19650930     0.0
19651001 19651031     0.3
19651101 19651130     0.0
19651201 19651231    52.2
19660101 19660131   141.5
19660201 19660228    17.8
19660301 19660331     0.0
19660401 19660430     0.0
19660501 19660531     5.1
19660601 19660630     0.8
19660701 19660731     0.0
19660801 19660831    22.9
19660901 19660930    23.1
19661001 19661031     0.0
19661101 19661130    24.7
19661201 19661231    34.0
19670101 19670131     0.0
19670201 19670228   175.0
19670301 19670331    70.1
19670401 19670430     0.0
19670501 19670531     0.0
19670601 19670630     0.0
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     8.9
19671101 19671130     0.0
19671201 19671231    27.9
19680101 19680131    68.4
19680201 19680229    27.4
19680301 19680331    75.7
19680401 19680430     8.1
