PRCP       077039 19100101 20180131 missing_value=99999.9 SEA LAKE (POST OFFICE)                    
19971001 19971031    16.4
19971101 19971130    28.8
19971201 19971231     5.0
19980101 19980131    34.0
19980201 19980228    29.6
19980301 19980331     2.6
19980401 19980430    33.4
19980501 19980531     4.4
19980601 19980630    13.4
19980701 19980731    35.4
19980801 19980831    10.8
19980901 19980930    21.8
19981001 19981031    26.0
19981101 19981130    55.8
19981201 19981231     7.8
19990101 19990131    12.4
19990201 19990228    47.6
19990301 19990331    20.8
19990401 19990430     0.2
19990501 19990531    42.3
19990601 19990630    31.4
19990701 19990731    24.6
19990801 19990831    34.4
19990901 19990930    18.0
19991001 19991031    25.8
19991101 19991130    72.2
19991201 19991231    29.6
20000101 20000131     0.4
20000201 20000229    60.6
20000301 20000331     8.2
20000401 20000430    49.8
20000501 20000531    25.8
20000601 20000630    13.2
20000701 20000731    36.0
20000801 20000831    16.2
20000901 20000930    41.4
20001001 20001031    50.8
20001101 20001130    49.2
20001201 20001231    22.8
20010101 20010131    10.4
20010201 20010228    13.4
20010301 20010331    24.4
20010401 20010430     3.4
20010501 20010531     4.2
20010601 20010630    29.2
20010701 20010731    34.4
20010801 20010831    40.4
20010901 20010930    31.6
20011001 20011031    19.4
20011101 20011130    10.2
20011201 20011231     7.2
20020101 20020131    15.4
20020201 20020228     5.4
20020301 20020331    23.7
20020401 20020430     6.2
20020501 20020531    22.8
20020601 20020630    11.6
20020701 20020731     4.4
20020801 20020831    15.2
20020901 20020930    13.8
20021001 20021031    10.6
20021101 20021130    11.0
20021201 20021231    34.8
20030101 20030131    10.4
20030201 20030228    68.6
20030301 20030331     0.0
20030401 20030430     6.0
20030501 20030531    29.6
20030601 20030630    28.2
20030701 20030731    32.4
20030801 20030831    51.0
20030901 20030930    20.4
20031001 20031031    17.4
20031101 20031130    10.2
20031201 20031231    36.2
20040101 20040131     2.2
20040201 20040229     5.4
20040301 20040331     4.6
20040401 20040430     2.8
20040501 20040531    10.6
20040601 20040630    33.8
20040701 20040731    23.4
20040801 20040831    32.6
20040901 20040930    33.4
20041001 20041031     6.6
20041101 20041130    85.6
20041201 20041231   117.0
20050101 20050131    40.8
20050201 20050228    24.2
20050301 20050331     0.6
20050401 20050430     4.2
20050501 20050531     2.4
20050601 20050630    48.6
20050701 20050731    25.8
