PRCP       073012 19070401 20130331 missing_value=99999.9 HARDEN (DUNOLLY)                          
19840301 19840331     8.6
19840401 19840430    86.0
19840501 19840531    51.4
19840601 19840630     4.6
19840701 19840731   154.4
19840801 19840831    59.4
19840901 19840930    54.0
19841001 19841031    43.6
19841101 19841130    54.0
19841201 19841231    12.4
19850101 19850131    10.0
19850201 19850228     1.4
19850301 19850331    54.0
19850401 19850430    19.4
19850501 19850531    61.0
19850601 19850630    32.2
19850701 19850731    32.0
19850801 19850831   131.0
19850901 19850930    53.6
19851001 19851031    41.2
19851101 19851130   112.0
19851201 19851231    89.8
19860101 19860131    92.6
19860201 19860228     6.2
19860301 19860331     0.0
19860401 19860430   115.8
19860501 19860531    56.0
19860601 19860630    18.8
19860701 19860731   101.6
19860801 19860831    52.8
19860901 19860930    62.6
19861001 19861031    98.2
19861101 19861130    78.2
19861201 19861231    42.6
19870101 19870131    15.0
19870201 19870228    51.4
19870301 19870331    29.8
19870401 19870430    26.0
19870501 19870531    70.8
19870601 19870630    61.8
19870701 19870731    62.0
19870801 19870831    50.2
19870901 19870930    33.5
19871001 19871031    45.0
19871101 19871130    53.8
19871201 19871231    33.4
19880101 19880131    22.6
19880201 19880229    28.6
19880301 19880331    16.6
19880401 19880430    57.4
19880501 19880531    64.2
19880601 19880630    50.8
19880701 19880731    78.8
19880801 19880831    52.2
19880901 19880930    79.8
19881001 19881031    26.0
19881101 19881130    83.2
19881201 19881231   106.6
19890101 19890131    22.6
19890201 19890228     4.0
19890301 19890331   187.4
19890401 19890430   147.0
19890501 19890531    74.6
19890601 19890630    53.4
19890701 19890731    48.4
19890801 19890831    51.4
19890901 19890930    18.6
19891001 19891031    27.0
19891101 19891130    50.4
19891201 19891231    24.4
19900101 19900131    40.0
19900201 19900228    49.4
19900301 19900331     2.2
19900401 19900430   155.2
19900501 19900531    58.4
19900601 19900630    53.4
19900701 19900731    81.2
19900801 19900831    66.2
19900901 19900930    37.6
19901001 19901031    45.6
19901101 19901130     7.2
19901201 19901231     6.6
19910101 19910131    29.4
19910201 19910228     0.0
19910301 19910331    25.0
19910401 19910430    17.0
19910501 19910531    29.4
19910601 19910630   123.2
19910701 19910731    91.8
19910801 19910831    68.2
19910901 19910930    51.8
19911001 19911031    11.4
19911101 19911130    15.8
19911201 19911231    58.4
19920101 19920131   106.6
19920201 19920229    68.4
19920301 19920331    66.0
19920401 19920430    43.6
19920501 19920531    31.8
19920601 19920630    37.4
19920701 19920731    39.2
19920801 19920831    83.2
19920901 19920930    56.6
19921001 19921031   121.6
19921101 19921130    48.2
19921201 19921231    89.6
19930101 19930131    51.0
19930201 19930228    26.0
19930301 19930331    55.0
19930401 19930430     4.8
19930501 19930531    47.2
19930601 19930630    29.0
19930701 19930731   166.4
19930801 19930831    27.0
19930901 19930930    90.6
19931001 19931031   136.6
19931101 19931130    93.2
19931201 19931231    55.6
19940101 19940131    14.3
19940201 19940228    82.6
