PRCP       008141 19070101 20160731 missing_value=99999.9 WILLI GULLI NORTH                         
19890301 19890331     1.0
19890401 19890430    14.3
19890501 19890531   119.6
19890601 19890630   119.4
19890701 19890731    66.2
19890801 19890831    49.9
19890901 19890930    21.7
19891001 19891031    15.5
19891101 19891130     0.6
19891201 19891231     1.5
19900101 19900131    58.1
19900201 19900228     0.0
19900301 19900331     5.8
19900401 19900430    39.9
19900501 19900531    64.0
19900601 19900630    76.5
19900701 19900731    54.1
19900801 19900831    65.2
19900901 19900930    39.3
19901001 19901031    11.0
19901101 19901130     0.3
19901201 19901231     4.5
19910101 19910131     5.1
19910201 19910228    28.8
19910301 19910331    13.9
19910401 19910430    39.0
19910501 19910531    24.2
19910601 19910630   119.0
19910701 19910731   127.0
19910801 19910831    57.0
19910901 19910930    32.1
19911001 19911031    19.0
19911101 19911130    40.0
19911201 19911231    16.6
19920101 19920131     6.0
19920201 19920229     4.2
19920301 19920331    16.9
19920401 19920430    17.9
19920501 19920531     8.3
19920601 19920630    85.0
19920701 19920731    42.6
19920801 19920831   162.6
19920901 19920930    71.2
19921001 19921031    19.6
19921101 19921130     6.4
19921201 19921231     1.4
19930101 19930131     0.0
19930201 19930228    19.6
19930301 19930331     8.1
19930401 19930430     3.6
19930501 19930531    93.6
19930601 19930630    42.3
19930701 19930731   110.0
19930801 19930831    80.7
19930901 19930930    30.5
19931001 19931031     6.0
19931101 19931130    15.8
19931201 19931231     0.0
19940101 19940131     0.0
19940201 19940228    13.2
19940301 19940331     0.0
19940401 19940430     2.4
19940501 19940531    60.4
19940601 19940630    72.8
19940701 19940731    58.4
19940801 19940831    73.8
19940901 19940930    21.9
19941001 19941031    17.0
19941101 19941130     0.2
19941201 19941231     0.0
19950101 19950131     0.0
19950201 19950228     0.0
19950301 19950331     7.0
19950401 19950430    52.0
19950501 19950531    51.5
19950601 19950630    69.0
19950701 19950731   148.8
19950801 19950831    23.8
19950901 19950930    32.9
19951001 19951031    10.2
19951101 19951130    15.8
19951201 19951231     4.8
19960101 19960131     0.0
19960201 19960229     0.0
19960301 19960331     0.0
19960401 19960430    56.0
19960501 19960531    34.6
19960601 19960630    94.7
19960701 19960731   173.4
19960801 19960831    67.4
19960901 19960930    38.4
19961001 19961031    11.0
19961101 19961130    23.1
19961201 19961231 99999.9
19970101 19970131     0.0
19970201 19970228     6.8
19970301 19970331     0.6
19970401 19970430    66.2
19970501 19970531    68.8
19970601 19970630    39.9
19970701 19970731    84.3
19970801 19970831    64.8
19970901 19970930    41.4
19971001 19971031    11.2
19971101 19971130     0.4
19971201 19971231     0.0
19980101 19980131     3.0
19980201 19980228     0.0
19980301 19980331     5.0
19980401 19980430    12.2
19980501 19980531   108.6
19980601 19980630   118.7
19980701 19980731    74.4
19980801 19980831    29.6
19980901 19980930    43.4
19981001 19981031     5.6
19981101 19981130     1.4
19981201 19981231     9.2
19990101 19990131     0.0
19990201 19990228     0.5
19990301 19990331   121.6
19990401 19990430    59.4
19990501 19990531   235.2
19990601 19990630    69.2
19990701 19990731   125.8
19990801 19990831    41.4
19990901 19990930    85.2
19991001 19991031    15.8
19991101 19991130     0.0
19991201 19991231     5.4
20000101 20000131    10.4
20000201 20000229     0.0
20000301 20000331   175.2
20000401 20000430    31.0
20000501 20000531    23.4
20000601 20000630    60.4
20000701 20000731    78.4
20000801 20000831    65.8
20000901 20000930    16.4
20001001 20001031     1.6
20001101 20001130     1.5
20001201 20001231     0.0
20010101 20010131     0.4
20010201 20010228     0.0
20010301 20010331     0.0
20010401 20010430     8.0
20010501 20010531    95.6
20010601 20010630    42.6
20010701 20010731   136.0
20010801 20010831    40.2
20010901 20010930    44.4
20011001 20011031    24.0
20011101 20011130     9.0
20011201 20011231     0.0
20020101 20020131     1.2
20020201 20020228     0.0
20020301 20020331     0.0
20020401 20020430    19.0
20020501 20020531    39.7
20020601 20020630    78.8
20020701 20020731    90.2
20020801 20020831    55.8
20020901 20020930    14.8
