PRCP       010091 19000101 20160531 missing_value=99999.9 MECKERING                                 
19800601 19800630    27.4
19800701 19800731    42.3
19800801 19800831    34.9
19800901 19800930    13.9
19801001 19801031    24.9
19801101 19801130     1.2
19801201 19801231     9.5
19810101 19810131     0.8
19810201 19810228    50.2
19810301 19810331     0.4
19810401 19810430    19.2
19810501 19810531    97.1
19810601 19810630    65.8
19810701 19810731    57.2
19810801 19810831    48.6
19810901 19810930    13.2
19811001 19811031     7.8
19811101 19811130    17.0
19811201 19811231    13.2
19820101 19820131    84.2
19820201 19820228     0.0
19820301 19820331     1.4
19820401 19820430     0.0
19820501 19820531    28.0
19820601 19820630    77.6
19820701 19820731    32.4
19820801 19820831    60.1
19820901 19820930    37.0
19821001 19821031    25.2
19821101 19821130     2.0
19821201 19821231     0.4
19830101 19830131     0.0
19830201 19830228     2.4
19830301 19830331     3.6
19830401 19830430    13.6
19830501 19830531    10.2
19830601 19830630   115.2
19830701 19830731   102.8
19830801 19830831    50.8
19830901 19830930    47.8
19831001 19831031     8.4
19831101 19831130    83.1
19831201 19831231    11.0
19840101 19840131    10.2
19840201 19840229     4.4
19840301 19840331    55.0
19840401 19840430    75.0
19840501 19840531    86.4
19840601 19840630    22.6
19840701 19840731    46.6
19840801 19840831    42.3
19840901 19840930    33.8
19841001 19841031     9.2
19841101 19841130    14.6
19841201 19841231     5.2
19850101 19850131     0.0
19850201 19850228    69.6
19850301 19850331    29.6
19850401 19850430     6.4
19850501 19850531     7.0
19850601 19850630    20.4
19850701 19850731    82.2
19850801 19850831    49.8
19850901 19850930    20.4
19851001 19851031     7.0
19851101 19851130    16.8
19851201 19851231     0.0
19860101 19860131     0.6
19860201 19860228    79.4
19860301 19860331    10.4
19860401 19860430     3.0
19860501 19860531    55.2
19860601 19860630    78.4
19860701 19860731    46.7
19860801 19860831    45.7
19860901 19860930    13.2
19861001 19861031    14.7
19861101 19861130     8.6
19861201 19861231     0.8
19870101 19870131     0.0
19870201 19870228     0.0
19870301 19870331     1.8
19870401 19870430    27.0
19870501 19870531    49.2
19870601 19870630    48.4
19870701 19870731    63.3
19870801 19870831    51.2
19870901 19870930    13.6
19871001 19871031    13.3
19871101 19871130    30.0
19871201 19871231    30.5
19880101 19880131     0.0
19880201 19880229     0.0
19880301 19880331    35.6
19880401 19880430    24.6
19880501 19880531    41.4
19880601 19880630    47.7
19880701 19880731    61.5
19880801 19880831    49.2
19880901 19880930    31.7
19881001 19881031    15.8
19881101 19881130     6.4
19881201 19881231    14.0
19890101 19890131     7.3
19890201 19890228    28.4
19890301 19890331     0.0
19890401 19890430    29.0
19890501 19890531    83.9
19890601 19890630    57.4
19890701 19890731    30.4
19890801 19890831    20.2
19890901 19890930    14.6
19891001 19891031    23.0
19891101 19891130     0.6
19891201 19891231     0.0
19900101 19900131   111.0
19900201 19900228     3.0
19900301 19900331    34.8
19900401 19900430    39.8
19900501 19900531     8.9
19900601 19900630    39.6
19900701 19900731   102.0
19900801 19900831    35.8
19900901 19900930    19.8
19901001 19901031    34.0
19901101 19901130     0.0
19901201 19901231     2.2
19910101 19910131     5.0
19910201 19910228     9.2
19910301 19910331     0.0
19910401 19910430    14.2
19910501 19910531    37.2
19910601 19910630    89.2
19910701 19910731    82.2
19910801 19910831    26.2
19910901 19910930    27.1
19911001 19911031    28.1
19911101 19911130    28.4
19911201 19911231    38.3
19920101 19920131     0.0
19920201 19920229    54.6
19920301 19920331    11.0
19920401 19920430    65.6
19920501 19920531    13.0
19920601 19920630    86.3
19920701 19920731    38.2
19920801 19920831   102.3
19920901 19920930    46.9
19921001 19921031     9.3
19921101 19921130    21.0
19921201 19921231     1.1
19930101 19930131     0.0
19930201 19930228     0.0
19930301 19930331    28.2
19930401 19930430     5.9
19930501 19930531    77.8
19930601 19930630    58.8
19930701 19930731    31.0
19930801 19930831    47.6
19930901 19930930    40.6
19931001 19931031    10.8
19931101 19931130    25.4
19931201 19931231     3.2
19940101 19940131     0.0
19940201 19940228     4.0
19940301 19940331     0.0
19940401 19940430     0.0
19940501 19940531    62.3
19940601 19940630    39.0
19940701 19940731    37.0
19940801 19940831    39.4
19940901 19940930    15.8
19941001 19941031    10.0
19941101 19941130     0.0
19941201 19941231     0.0
19950101 19950131    31.4
19950201 19950228    16.8
19950301 19950331    18.2
19950401 19950430    18.2
19950501 19950531    71.0
19950601 19950630    84.2
19950701 19950731   113.4
19950801 19950831    31.4
19950901 19950930    29.0
19951001 19951031    53.2
19951101 19951130     5.2
19951201 19951231    17.2
