PRCP       042023 18850101 20171231 missing_value=99999.9 MILES POST OFFICE                         
19380501 19380531   158.5
19380601 19380630    18.8
19380701 19380731    37.4
19380801 19380831    74.1
19380901 19380930    24.4
19381001 19381031   105.2
19381101 19381130    97.3
19381201 19381231     1.5
19390101 19390131   175.2
19390201 19390228    12.7
19390301 19390331    96.5
19390401 19390430    62.9
19390501 19390531    27.7
19390601 19390630    53.6
19390701 19390731    42.2
19390801 19390831    26.7
19390901 19390930     1.8
19391001 19391031     8.4
19391101 19391130    22.2
19391201 19391231    35.4
19400101 19400131    46.6
19400201 19400229   181.4
19400301 19400331    94.8
19400401 19400430     8.9
19400501 19400531    18.4
19400601 19400630     0.0
19400701 19400731    11.2
19400801 19400831     0.0
19400901 19400930    23.4
19401001 19401031    24.4
19401101 19401130    50.6
19401201 19401231   137.7
19410101 19410131   317.5
19410201 19410228    43.0
19410301 19410331   140.0
19410401 19410430     6.4
19410501 19410531    32.6
19410601 19410630    36.1
19410701 19410731     9.9
19410801 19410831     2.3
19410901 19410930     0.0
19411001 19411031    15.8
19411101 19411130    35.8
19411201 19411231     2.5
19420101 19420131   138.2
19420201 19420228   146.9
19420301 19420331    34.8
19420401 19420430    20.7
19420501 19420531    70.6
19420601 19420630    26.4
19420701 19420731    63.6
19420801 19420831    14.2
19420901 19420930     7.6
19421001 19421031    72.8
19421101 19421130    34.9
19421201 19421231   254.7
19430101 19430131   117.1
19430201 19430228    33.0
19430301 19430331    19.5
19430401 19430430    28.6
19430501 19430531     6.9
19430601 19430630    21.9
19430701 19430731     6.6
19430801 19430831    47.0
19430901 19430930    65.4
19431001 19431031    62.0
19431101 19431130   130.2
19431201 19431231   133.5
19440101 19440131    94.3
19440201 19440229   100.8
19440301 19440331     8.4
19440401 19440430     4.3
19440501 19440531    17.3
19440601 19440630    34.0
19440701 19440731    39.1
19440801 19440831    51.0
19440901 19440930    41.2
19441001 19441031    20.8
19441101 19441130    17.0
19441201 19441231    46.8
19450101 19450131    51.7
19450201 19450228   206.9
19450301 19450331     8.6
19450401 19450430    71.9
19450501 19450531    15.7
19450601 19450630    38.4
19450701 19450731    28.4
19450801 19450831    38.8
19450901 19450930    35.3
19451001 19451031    10.1
19451101 19451130    99.4
19451201 19451231    68.3
19460101 19460131   214.5
19460201 19460228    51.7
19460301 19460331     8.1
19460401 19460430    45.3
19460501 19460531     3.3
19460601 19460630     0.5
19460701 19460731     9.1
19460801 19460831     1.8
19460901 19460930    43.6
19461001 19461031    15.5
19461101 19461130    62.1
19461201 19461231    59.2
19470101 19470131    56.7
19470201 19470228    77.6
19470301 19470331    89.8
19470401 19470430     8.9
19470501 19470531    41.6
19470601 19470630     5.1
19470701 19470731     1.3
19470801 19470831    32.8
19470901 19470930    80.9
19471001 19471031    72.3
19471101 19471130   133.4
19471201 19471231   173.4
19480101 19480131    21.0
19480201 19480229    61.7
19480301 19480331    28.5
19480401 19480430    26.4
19480501 19480531    45.7
19480601 19480630    97.5
19480701 19480731    40.1
19480801 19480831     0.0
19480901 19480930    63.1
19481001 19481031     4.3
19481101 19481130    43.4
19481201 19481231   186.7
19490101 19490131    81.0
19490201 19490228   101.7
19490301 19490331    60.2
19490401 19490430     7.8
19490501 19490531     7.1
19490601 19490630    39.1
19490701 19490731    12.2
19490801 19490831     1.0
19490901 19490930    50.7
19491001 19491031   194.4
19491101 19491130    32.3
19491201 19491231    44.5
19500101 19500131    27.2
19500201 19500228   218.7
19500301 19500331    18.6
19500401 19500430    79.2
19500501 19500531    25.6
19500601 19500630    98.2
19500701 19500731    77.0
19500801 19500831    35.9
19500901 19500930    13.3
19501001 19501031   142.6
19501101 19501130   109.8
19501201 19501231     6.8
19510101 19510131   134.6
19510201 19510228    47.7
19510301 19510331   107.4
19510401 19510430     5.9
19510501 19510531     4.0
19510601 19510630    30.5
19510701 19510731     0.5
19510801 19510831    12.1
19510901 19510930    24.4
19511001 19511031    60.6
19511101 19511130    38.2
19511201 19511231    64.9
19520101 19520131    78.2
19520201 19520229    95.4
19520301 19520331   108.1
19520401 19520430    52.7
19520501 19520531    77.4
19520601 19520630    23.4
19520701 19520731    45.9
19520801 19520831    29.8
19520901 19520930    35.6
19521001 19521031   124.8
19521101 19521130    44.8
19521201 19521231    26.4
19530101 19530131    23.7
19530201 19530228   148.3
19530301 19530331    43.2
19530401 19530430    19.3
19530501 19530531    23.2
19530601 19530630     0.0
19530701 19530731     2.8
19530801 19530831    88.0
19530901 19530930     0.0
19531001 19531031    81.8
19531101 19531130    54.6
19531201 19531231    76.7
19540101 19540131    32.6
19540201 19540228   204.1
19540301 19540331    29.7
19540401 19540430    22.1
19540501 19540531    67.6
