PRCP       015553 18880101 20151231 missing_value=99999.9 HAMILTON DOWNS                            
19750601 19750630     5.0
19750701 19750731    18.6
19750801 19750831    40.4
19750901 19750930    74.8
19751001 19751031    25.8
19751101 19751130    63.0
19751201 19751231   106.2
19760101 19760131    72.5
19760201 19760229    66.4
19760301 19760331    96.9
19760401 19760430     0.0
19760501 19760531     0.0
19760601 19760630     0.0
19760701 19760731     0.0
19760801 19760831     0.0
19760901 19760930     2.0
19761001 19761031    66.6
19761101 19761130    28.0
19761201 19761231    11.0
19770101 19770131    33.4
19770201 19770228   231.1
19770301 19770331    83.5
19770401 19770430     0.0
19770501 19770531    13.6
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930    20.2
19771001 19771031    11.0
19771101 19771130    94.6
19771201 19771231    22.2
19780101 19780131    53.6
19780201 19780228     7.6
19780301 19780331    39.0
19780401 19780430     0.0
19780501 19780531    42.4
19780601 19780630    56.1
19780701 19780731    84.6
19780801 19780831    23.0
19780901 19780930     8.2
19781001 19781031    36.0
19781101 19781130    17.6
19781201 19781231    14.8
19790101 19790131    67.1
19790201 19790228    14.5
19790301 19790331    48.2
19790401 19790430    28.2
19790501 19790531    72.2
19790601 19790630     0.0
19790701 19790731     0.0
19790801 19790831     0.0
19790901 19790930    23.0
19791001 19791031     6.7
19791101 19791130    34.1
19791201 19791231     4.0
19800101 19800131    22.2
19800201 19800229    12.2
19800301 19800331     0.0
19800401 19800430    49.6
19800501 19800531    34.4
19800601 19800630     0.0
19800701 19800731    11.3
19800801 19800831     0.0
19800901 19800930     0.0
19801001 19801031    32.6
19801101 19801130     4.0
19801201 19801231    15.0
19810101 19810131   116.4
19810201 19810228    22.4
19810301 19810331     0.0
19810401 19810430     0.0
19810501 19810531    12.2
19810601 19810630     7.4
19810701 19810731    12.0
19810801 19810831     0.0
19810901 19810930     8.2
19811001 19811031    18.4
19811101 19811130    55.6
19811201 19811231    71.2
19820101 19820131    25.5
19820201 19820228   194.5
19820301 19820331    67.9
19820401 19820430     3.0
19820501 19820531     0.0
19820601 19820630     0.0
19820701 19820731     1.4
19820801 19820831     0.0
19820901 19820930    11.4
19821001 19821031     3.0
19821101 19821130     1.0
19821201 19821231    27.4
19830101 19830131    41.8
19830201 19830228    11.4
19830301 19830331   279.1
19830401 19830430   118.4
19830501 19830531     0.0
19830601 19830630     0.0
19830701 19830731     0.0
19830801 19830831    12.0
19830901 19830930     0.0
