PRCP       009551 19020801 20161031 missing_value=99999.9 GRASSMERE                                 
19901001 19901031   106.5
19901101 19901130    51.2
19901201 19901231    10.4
19910101 19910131    26.9
19910201 19910228    17.9
19910301 19910331    33.8
19910401 19910430    27.7
19910501 19910531    88.3
19910601 19910630   180.2
19910701 19910731   263.9
19910801 19910831   138.8
19910901 19910930    83.9
19911001 19911031    46.1
19911101 19911130    59.5
19911201 19911231    16.8
19920101 19920131    14.5
19920201 19920229    42.5
19920301 19920331    41.4
19920401 19920430    42.2
19920501 19920531    95.2
19920601 19920630   138.4
19920701 19920731   136.4
19920801 19920831   289.8
19920901 19920930   121.1
19921001 19921031    60.0
19921101 19921130   109.8
19921201 19921231    21.7
19930101 19930131    10.3
19930201 19930228    13.8
19930301 19930331    92.8
19930401 19930430    86.0
19930501 19930531   135.4
19930601 19930630   129.8
19930701 19930731   170.5
19930801 19930831   115.3
19930901 19930930    70.2
19931001 19931031    81.2
19931101 19931130    25.5
19931201 19931231    12.9
19940101 19940131    15.0
19940201 19940228    12.3
19940301 19940331     6.1
19940401 19940430    39.2
19940501 19940531   196.6
19940601 19940630   137.5
19940701 19940731   106.6
19940801 19940831   119.5
19940901 19940930    70.7
19941001 19941031   106.8
19941101 19941130    30.9
19941201 19941231     5.4
19950101 19950131    14.5
19950201 19950228    15.9
19950301 19950331    43.6
19950401 19950430    38.5
19950501 19950531   121.3
19950601 19950630   121.6
19950701 19950731   140.0
19950801 19950831    98.4
19950901 19950930    91.4
19951001 19951031    79.9
19951101 19951130    73.1
19951201 19951231    77.6
19960101 19960131    24.5
19960201 19960229     4.0
19960301 19960331    29.8
19960401 19960430    62.3
19960501 19960531    50.4
19960601 19960630   102.2
19960701 19960731   166.6
19960801 19960831   197.0
19960901 19960930   162.8
19961001 19961031    77.2
19961101 19961130    58.4
19961201 19961231   105.0
19970101 19970131    10.4
19970201 19970228    52.6
19970301 19970331    26.2
19970401 19970430    24.6
19970501 19970531    98.2
19970601 19970630   129.8
19970701 19970731   106.8
19970801 19970831   150.4
19970901 19970930   155.2
19971001 19971031    55.6
19971101 19971130    35.2
19971201 19971231    30.6
19980101 19980131    10.0
19980201 19980228     4.4
19980301 19980331   111.0
19980401 19980430    77.4
19980501 19980531    88.0
19980601 19980630   129.8
