PRCP       005004 18970101 20140131 missing_value=99999.9 EXMOUTH GULF                              
19830401 19830430     0.0
19830501 19830531     2.0
19830601 19830630    50.0
19830701 19830731     1.0
19830801 19830831     9.0
19830901 19830930     7.0
19831001 19831031     0.0
19831101 19831130     2.0
19831201 19831231     0.0
19840101 19840131     0.9
19840201 19840229    15.1
19840301 19840331     9.7
19840401 19840430    19.2
19840501 19840531   216.0
19840601 19840630     0.7
19840701 19840731    66.2
19840801 19840831    14.6
19840901 19840930     2.8
19841001 19841031     8.2
19841101 19841130     0.0
19841201 19841231     0.0
19850101 19850131     0.0
19850201 19850228    31.8
19850301 19850331     0.0
19850401 19850430    45.5
19850501 19850531    49.5
19850601 19850630    85.0
19850701 19850731    34.0
19850801 19850831     0.0
19850901 19850930     0.0
19851001 19851031     0.0
19851101 19851130     0.0
19851201 19851231     0.0
19860101 19860131     0.0
19860201 19860228   132.4
19860301 19860331    22.0
19860401 19860430     4.0
19860501 19860531     0.0
19860601 19860630    27.8
19860701 19860731    14.0
19860801 19860831     0.2
19860901 19860930     7.8
19861001 19861031     0.0
19861101 19861130     0.0
19861201 19861231     0.0
19870101 19870131     0.0
19870201 19870228    14.0
19870301 19870331     0.0
19870401 19870430     9.0
19870501 19870531     0.0
19870601 19870630    73.4
19870701 19870731    26.9
19870801 19870831     5.0
19870901 19870930     0.0
19871001 19871031     0.0
19871101 19871130     0.0
19871201 19871231     0.0
19880101 19880131     0.0
19880201 19880229     0.0
19880301 19880331     9.3
19880401 19880430    21.0
19880501 19880531    31.0
19880601 19880630     5.0
19880701 19880731     7.5
19880801 19880831    45.2
19880901 19880930     0.0
19881001 19881031     2.4
19881101 19881130    10.8
19881201 19881231     0.3
19890101 19890131     0.0
19890201 19890228     2.2
19890301 19890331    11.3
19890401 19890430     0.0
19890501 19890531    64.0
19890601 19890630    44.6
19890701 19890731     0.0
19890801 19890831     0.0
19890901 19890930     0.0
19891001 19891031     0.0
19891101 19891130     0.0
19891201 19891231     0.0
19900101 19900131   142.6
19900201 19900228     5.1
19900301 19900331    27.1
19900401 19900430     0.0
19900501 19900531     0.0
19900601 19900630     9.2
19900701 19900731    32.8
19900801 19900831    44.2
19900901 19900930     0.0
19901001 19901031     0.0
19901101 19901130     0.0
19901201 19901231     0.0
19910101 19910131     0.0
19910201 19910228    37.5
19910301 19910331     0.0
19910401 19910430     0.0
19910501 19910531    34.5
19910601 19910630    59.2
19910701 19910731    25.4
19910801 19910831     0.6
19910901 19910930     2.0
19911001 19911031     0.0
19911101 19911130     0.4
19911201 19911231     0.0
19920101 19920131     0.8
19920201 19920229     0.0
19920301 19920331     4.2
19920401 19920430    34.2
19920501 19920531   117.6
19920601 19920630   160.2
19920701 19920731     0.0
19920801 19920831     1.0
19920901 19920930     2.4
19921001 19921031     0.0
