PRCP       026010 19010101 20170228 missing_value=99999.9 KEILIRA STATION                           
19911101 19911130    26.8
19911201 19911231    14.0
19920101 19920131     4.0
19920201 19920229    13.7
19920301 19920331    44.5
19920401 19920430    90.3
19920501 19920531    54.5
19920601 19920630    68.3
19920701 19920731    51.1
19920801 19920831    91.6
19920901 19920930    94.3
19921001 19921031    54.7
19921101 19921130    73.6
19921201 19921231    52.7
19930101 19930131    29.1
19930201 19930228    18.5
19930301 19930331     5.0
19930401 19930430     1.6
19930501 19930531    46.0
19930601 19930630    43.9
19930701 19930731    62.1
19930801 19930831    67.7
19930901 19930930    63.0
19931001 19931031    63.1
19931101 19931130    20.0
19931201 19931231    45.1
19940101 19940131    32.8
19940201 19940228    11.8
19940301 19940331     0.0
19940401 19940430    14.6
19940501 19940531    46.8
19940601 19940630    78.9
19940701 19940731    63.2
19940801 19940831    34.7
19940901 19940930    21.8
19941001 19941031    37.4
19941101 19941130    38.2
19941201 19941231     5.4
19950101 19950131    27.5
19950201 19950228    20.7
19950301 19950331     4.8
19950401 19950430    57.1
19950501 19950531    31.8
19950601 19950630   128.7
19950701 19950731   129.5
19950801 19950831    38.6
19950901 19950930    12.3
19951001 19951031    21.8
19951101 19951130     7.3
19951201 19951231    10.8
19960101 19960131    27.2
19960201 19960229    27.0
19960301 19960331     8.0
19960401 19960430    14.6
19960501 19960531    16.4
19960601 19960630   115.6
19960701 19960731    76.8
19960801 19960831    98.6
19960901 19960930   109.0
19961001 19961031    22.4
