PRCP       036028 18910101 20140630 missing_value=99999.9 LERIDA                                    
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930    17.8
19701001 19701031    10.9
19701101 19701130    61.0
19701201 19701231    43.9
19710101 19710131    62.9
19710201 19710228    83.5
19710301 19710331   123.3
19710401 19710430    83.8
19710501 19710531    17.8
19710601 19710630     4.6
19710701 19710731    17.5
19710801 19710831    46.5
19710901 19710930     0.0
19711001 19711031    24.8
19711101 19711130    68.3
19711201 19711231    84.1
19720101 19720131    81.3
19720201 19720229    75.4
19720301 19720331    89.2
19720401 19720430     0.0
19720501 19720531     8.1
19720601 19720630     2.3
19720701 19720731     0.0
19720801 19720831     0.0
19720901 19720930     0.0
19721001 19721031     5.8
19721101 19721130    50.6
19721201 19721231    49.9
19730101 19730131    73.0
19730201 19730228   285.6
19730301 19730331   159.5
19730401 19730430     2.0
19730501 19730531     6.1
19730601 19730630     2.8
19730701 19730731     5.4
19730801 19730831     0.3
19730901 19730930    37.5
19731001 19731031    37.3
19731101 19731130    45.9
19731201 19731231    29.5
19740101 19740131   663.6
19740201 19740228    52.0
19740301 19740331    91.8
19740401 19740430    47.2
19740501 19740531    64.8
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831    28.0
19740901 19740930     8.0
19741001 19741031     3.8
19741101 19741130    51.8
19741201 19741231   139.6
19750101 19750131   101.2
19750201 19750228   148.2
19750301 19750331    41.0
19750401 19750430     0.0
19750501 19750531     0.0
19750601 19750630     4.8
19750701 19750731     0.0
19750801 19750831     3.0
19750901 19750930     0.0
19751001 19751031   107.2
19751101 19751130     0.0
19751201 19751231   161.2
19760101 19760131   114.0
19760201 19760229   120.2
19760301 19760331    66.4
19760401 19760430     0.0
19760501 19760531     1.8
19760601 19760630     0.0
19760701 19760731     0.8
19760801 19760831     2.6
19760901 19760930     0.0
19761001 19761031    18.4
19761101 19761130    12.4
19761201 19761231   141.0
19770101 19770131    50.4
19770201 19770228   149.2
19770301 19770331    27.4
19770401 19770430     0.0
19770501 19770531    54.0
19770601 19770630     0.0
19770701 19770731     3.0
19770801 19770831     0.0
19770901 19770930     0.0
19771001 19771031     0.0
19771101 19771130     5.0
19771201 19771231    91.8
19780101 19780131    92.2
19780201 19780228    33.0
19780301 19780331     4.8
19780401 19780430     2.6
19780501 19780531    13.6
