PRCP       084016 18700501 20180131 missing_value=99999.9 GABO ISLAND LIGHTHOUSE                    
19601101 19601130    83.9
19601201 19601231    85.7
19610101 19610131    36.9
19610201 19610228    38.4
19610301 19610331   259.0
19610401 19610430    60.9
19610501 19610531   120.4
19610601 19610630    62.7
19610701 19610731   305.3
19610801 19610831    75.7
19610901 19610930   171.1
19611001 19611031    74.6
19611101 19611130    46.1
19611201 19611231   125.6
19620101 19620131   109.3
19620201 19620228    59.2
19620301 19620331     8.9
19620401 19620430    60.8
19620501 19620531    61.8
19620601 19620630    28.6
19620701 19620731    32.1
19620801 19620831   175.5
19620901 19620930    53.9
19621001 19621031    68.8
19621101 19621130    39.1
19621201 19621231   208.3
19630101 19630131    93.8
19630201 19630228    78.9
19630301 19630331    29.3
19630401 19630430    82.6
19630501 19630531   164.8
19630601 19630630   179.5
19630701 19630731   218.4
19630801 19630831    83.5
19630901 19630930   105.2
19631001 19631031    58.4
19631101 19631130   115.4
19631201 19631231    68.8
19640101 19640131     5.6
19640201 19640229   118.3
19640301 19640331    25.7
19640401 19640430   117.0
19640501 19640531    50.5
19640601 19640630    67.3
19640701 19640731    56.2
19640801 19640831    90.7
19640901 19640930    36.0
19641001 19641031    83.5
19641101 19641130    44.9
19641201 19641231    49.5
19650101 19650131    23.1
19650201 19650228    12.3
19650301 19650331    20.4
19650401 19650430    70.1
19650501 19650531    15.4
19650601 19650630    31.8
19650701 19650731    76.5
19650801 19650831   142.1
19650901 19650930    27.0
19651001 19651031    56.7
19651101 19651130   199.8
