PRCP       037001 18850101 20171231 missing_value=99999.9 AYRSHIRE DOWNS                            
19660101 19660131    96.8
19660201 19660228     9.1
19660301 19660331     0.0
19660401 19660430     0.0
19660501 19660531     0.5
19660601 19660630     5.6
19660701 19660731     0.0
19660801 19660831    58.0
19660901 19660930     0.0
19661001 19661031     8.4
19661101 19661130    28.2
19661201 19661231     6.1
19670101 19670131     1.3
19670201 19670228    86.8
19670301 19670331    53.2
19670401 19670430     0.0
19670501 19670531     0.0
19670601 19670630   162.9
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     0.0
19671101 19671130     0.0
19671201 19671231    13.7
19680101 19680131     8.9
19680201 19680229   136.8
19680301 19680331     0.0
19680401 19680430    45.5
19680501 19680531    83.9
19680601 19680630     0.0
19680701 19680731     9.4
19680801 19680831     0.0
19680901 19680930     0.0
19681001 19681031     4.8
19681101 19681130     5.1
19681201 19681231    32.1
19690101 19690131    11.7
19690201 19690228    27.3
19690301 19690331    37.1
19690401 19690430    11.7
19690501 19690531    12.0
19690601 19690630     1.0
19690701 19690731    13.2
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031     0.8
19691101 19691130    16.5
19691201 19691231    85.6
19700101 19700131    19.8
19700201 19700228   124.4
19700301 19700331    24.3
19700401 19700430     5.1
19700501 19700531     0.0
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930    14.0
19701001 19701031    16.0
19701101 19701130    11.2
19701201 19701231    38.9
19710101 19710131    11.4
19710201 19710228    16.5
19710301 19710331    95.4
19710401 19710430   109.3
19710501 19710531     0.0
19710601 19710630    13.2
19710701 19710731    11.9
19710801 19710831    21.1
19710901 19710930     0.0
19711001 19711031    33.5
19711101 19711130    21.6
19711201 19711231    50.3
19720101 19720131    77.7
19720201 19720229    55.1
19720301 19720331   109.4
19720401 19720430     0.0
19720501 19720531    10.7
19720601 19720630     2.8
19720701 19720731     0.0
19720801 19720831     2.5
19720901 19720930     0.0
19721001 19721031     0.0
19721101 19721130    32.8
19721201 19721231    35.3
19730101 19730131    19.6
19730201 19730228   187.3
19730301 19730331   236.4
19730401 19730430     5.8
19730501 19730531     3.6
19730601 19730630     1.5
19730701 19730731     0.0
19730801 19730831     0.0
19730901 19730930    23.1
19731001 19731031     0.0
19731101 19731130    28.4
19731201 19731231   134.6
19740101 19740131   500.3
19740201 19740228    73.0
19740301 19740331    76.5
19740401 19740430     7.0
19740501 19740531    17.0
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831    25.3
19740901 19740930     3.2
19741001 19741031     4.2
19741101 19741130    40.0
19741201 19741231    60.3
19750101 19750131   196.6
19750201 19750228   129.8
19750301 19750331    67.8
19750401 19750430     0.0
19750501 19750531     0.0
19750601 19750630     0.0
19750701 19750731     0.0
19750801 19750831     3.0
19750901 19750930    10.7
19751001 19751031    36.0
19751101 19751130     3.0
19751201 19751231   151.4
19760101 19760131   208.0
19760201 19760229   254.6
19760301 19760331    16.4
19760401 19760430     0.0
19760501 19760531     0.0
19760601 19760630     0.0
19760701 19760731     1.6
19760801 19760831     4.8
19760901 19760930     0.0
19761001 19761031     8.4
19761101 19761130     0.0
19761201 19761231   138.6
19770101 19770131    50.0
19770201 19770228   158.6
19770301 19770331    41.4
19770401 19770430     7.4
19770501 19770531    26.8
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     0.0
19771001 19771031     6.0
19771101 19771130     2.6
19771201 19771231    59.8
19780101 19780131    64.8
19780201 19780228    36.2
19780301 19780331     9.4
19780401 19780430     0.6
19780501 19780531    26.2
19780601 19780630     5.2
19780701 19780731    94.8
19780801 19780831     4.8
19780901 19780930    36.2
19781001 19781031    46.6
19781101 19781130     0.0
19781201 19781231    18.4
19790101 19790131    75.0
19790201 19790228   149.8
19790301 19790331    19.0
19790401 19790430     1.0
19790501 19790531     2.2
19790601 19790630     5.4
19790701 19790731     0.0
19790801 19790831     0.0
19790901 19790930     1.8
19791001 19791031    20.8
19791101 19791130    42.0
19791201 19791231    61.0
19800101 19800131   162.2
19800201 19800229    24.4
19800301 19800331    13.2
19800401 19800430     0.0
19800501 19800531     4.4
19800601 19800630     0.0
19800701 19800731     3.0
19800801 19800831     6.0
19800901 19800930     0.0
