PRCP       010525 18910101 20171231 missing_value=99999.9 BROOMEHILL POST OFFICE                    
19790901 19790930    33.9
19791001 19791031    12.6
19791101 19791130    17.6
19791201 19791231     4.0
19800101 19800131    13.5
19800201 19800229    66.0
19800301 19800331     1.0
19800401 19800430    52.8
19800501 19800531    37.4
19800601 19800630    67.6
19800701 19800731    49.4
19800801 19800831    53.4
19800901 19800930    22.2
19801001 19801031    64.6
19801101 19801130     7.4
19801201 19801231    34.6
19810101 19810131     4.8
19810201 19810228    13.0
19810301 19810331     5.2
19810401 19810430    13.4
19810501 19810531    99.4
19810601 19810630    69.8
19810701 19810731    60.2
19810801 19810831    59.6
19810901 19810930    30.8
19811001 19811031    19.2
19811101 19811130    38.0
19811201 19811231     4.8
19820101 19820131   236.0
19820201 19820228     8.2
19820301 19820331    28.8
19820401 19820430     0.6
19820501 19820531    17.4
19820601 19820630    50.8
19820701 19820731    53.4
19820801 19820831    71.6
19820901 19820930    51.6
19821001 19821031    17.4
19821101 19821130    43.8
19821201 19821231     3.2
19830101 19830131     2.8
19830201 19830228    42.2
19830301 19830331     5.2
19830401 19830430    13.6
19830501 19830531    28.4
19830601 19830630   133.0
19830701 19830731    70.2
19830801 19830831    78.7
19830901 19830930    83.8
19831001 19831031    17.0
19831101 19831130    50.2
19831201 19831231    35.4
19840101 19840131     1.2
19840201 19840229     8.6
19840301 19840331    16.4
19840401 19840430    20.8
19840501 19840531    91.6
19840601 19840630    45.6
19840701 19840731    29.5
19840801 19840831    55.6
19840901 19840930    66.6
19841001 19841031    19.8
19841101 19841130    68.2
19841201 19841231    12.2
19850101 19850131     1.0
19850201 19850228    10.4
19850301 19850331    11.4
19850401 19850430    41.5
19850501 19850531    51.4
19850601 19850630    51.6
19850701 19850731    69.8
19850801 19850831    64.4
19850901 19850930    38.2
19851001 19851031    22.4
19851101 19851130    16.6
19851201 19851231     4.6
19860101 19860131     1.2
19860201 19860228    80.0
19860301 19860331    20.5
19860401 19860430     2.4
19860501 19860531    41.5
19860601 19860630    65.5
19860701 19860731    62.4
19860801 19860831    32.4
