PRCP       010582 18850101 20180131 missing_value=99999.9 KOJONUP                                   
19651201 19651231    28.7
19660101 19660131     9.0
19660201 19660228    10.0
19660301 19660331     1.6
19660401 19660430    31.7
19660501 19660531    32.6
19660601 19660630   111.6
19660701 19660731    94.0
19660801 19660831    47.6
19660901 19660930    50.0
19661001 19661031    46.9
19661101 19661130     6.2
19661201 19661231    10.9
19670101 19670131     0.5
19670201 19670228    47.0
19670301 19670331    14.0
19670401 19670430    32.6
19670501 19670531    91.9
19670601 19670630   115.8
19670701 19670731    89.1
19670801 19670831    76.5
19670901 19670930    13.8
19671001 19671031    29.3
19671101 19671130    12.2
19671201 19671231    16.3
19680101 19680131    39.2
19680201 19680229     5.1
19680301 19680331    73.7
19680401 19680430    41.8
19680501 19680531    49.1
19680601 19680630   140.1
19680701 19680731    81.0
19680801 19680831    47.2
19680901 19680930    83.0
19681001 19681031    34.1
19681101 19681130     5.6
19681201 19681231     8.0
19690101 19690131     4.3
19690201 19690228     0.3
19690301 19690331    15.7
19690401 19690430    63.3
19690501 19690531    37.8
19690601 19690630    99.4
19690701 19690731    51.1
19690801 19690831    35.2
19690901 19690930    14.1
19691001 19691031     3.5
19691101 19691130    34.1
19691201 19691231    10.7
19700101 19700131     1.3
19700201 19700228    34.3
19700301 19700331     3.2
19700401 19700430    41.2
19700501 19700531    45.4
19700601 19700630   135.7
19700701 19700731    74.7
19700801 19700831    40.1
19700901 19700930    52.0
19701001 19701031    47.0
19701101 19701130    18.1
19701201 19701231    16.6
19710101 19710131    23.7
19710201 19710228    15.1
19710301 19710331    98.3
19710401 19710430    11.2
19710501 19710531    90.8
19710601 19710630    49.5
19710701 19710731    54.9
19710801 19710831    64.0
19710901 19710930    92.4
19711001 19711031    65.9
19711101 19711130    68.6
19711201 19711231    12.3
19720101 19720131     1.6
19720201 19720229     1.6
19720301 19720331     3.6
19720401 19720430    21.6
19720501 19720531    48.2
19720601 19720630    41.4
19720701 19720731    78.6
19720801 19720831    92.8
19720901 19720930    18.6
19721001 19721031    23.2
19721101 19721130     6.1
19721201 19721231     3.1
19730101 19730131    25.1
19730201 19730228     0.0
19730301 19730331     1.1
19730401 19730430    57.6
19730501 19730531    61.1
19730601 19730630    68.8
19730701 19730731   114.5
19730801 19730831    64.9
19730901 19730930    69.5
19731001 19731031    30.4
19731101 19731130    21.5
19731201 19731231     1.4
19740101 19740131     3.2
19740201 19740228    18.9
19740301 19740331     1.0
19740401 19740430    35.8
19740501 19740531   141.4
19740601 19740630    72.6
19740701 19740731   144.0
19740801 19740831    72.4
19740901 19740930    25.2
19741001 19741031    49.6
19741101 19741130    35.0
19741201 19741231     0.6
19750101 19750131     2.4
19750201 19750228     1.0
19750301 19750331    20.4
19750401 19750430    49.3
19750501 19750531    70.9
19750601 19750630    93.8
19750701 19750731   104.8
19750801 19750831    61.0
19750901 19750930    48.3
19751001 19751031    51.9
19751101 19751130    33.3
19751201 19751231     3.8
19760101 19760131    44.0
19760201 19760229    28.7
19760301 19760331    34.6
19760401 19760430    67.0
19760501 19760531    69.0
19760601 19760630    37.0
19760701 19760731    39.2
19760801 19760831    84.2
19760901 19760930    19.1
19761001 19761031    33.6
19761101 19761130    26.4
19761201 19761231     2.7
19770101 19770131     8.2
19770201 19770228     2.6
19770301 19770331     3.2
19770401 19770430     9.8
19770501 19770531    73.7
19770601 19770630    58.2
19770701 19770731    53.0
19770801 19770831    88.8
19770901 19770930    25.8
19771001 19771031    89.4
19771101 19771130    20.8
19771201 19771231     1.2
19780101 19780131    20.6
19780201 19780228    21.2
19780301 19780331     5.3
19780401 19780430    12.4
19780501 19780531    73.8
19780601 19780630   106.4
19780701 19780731   101.3
19780801 19780831    28.6
19780901 19780930    49.9
19781001 19781031    35.8
19781101 19781130    20.4
19781201 19781231    20.0
19790101 19790131    17.0
19790201 19790228    13.6
19790301 19790331     9.6
19790401 19790430    15.6
19790501 19790531    46.2
19790601 19790630    54.2
19790701 19790731    78.0
19790801 19790831    49.2
19790901 19790930    54.2
19791001 19791031    30.4
19791101 19791130    38.6
19791201 19791231     1.8
19800101 19800131     0.8
19800201 19800229    57.6
19800301 19800331     2.4
19800401 19800430    58.8
19800501 19800531    46.6
19800601 19800630    94.0
19800701 19800731    52.9
19800801 19800831    67.0
19800901 19800930    38.6
19801001 19801031    80.8
19801101 19801130    10.0
