PRCP       070028 18980801 20160630 missing_value=99999.9 YASS (DERRINGULLEN)                       
19761001 19761031   153.2
19761101 19761130    57.0
19761201 19761231    14.6
19770101 19770131    22.0
19770201 19770228    74.8
19770301 19770331    58.2
19770401 19770430    49.2
19770501 19770531   105.0
19770601 19770630    73.2
19770701 19770731    29.4
19770801 19770831    26.6
19770901 19770930    93.6
19771001 19771031     1.8
19771101 19771130    11.4
19771201 19771231    21.4
19780101 19780131   153.8
19780201 19780228     3.6
19780301 19780331    72.8
19780401 19780430    61.2
19780501 19780531    91.6
19780601 19780630    69.6
19780701 19780731    81.8
19780801 19780831    41.6
19780901 19780930   146.4
19781001 19781031    43.0
19781101 19781130   106.4
19781201 19781231    77.4
19790101 19790131     5.6
19790201 19790228     3.6
19790301 19790331    60.8
19790401 19790430    77.6
19790501 19790531    35.2
19790601 19790630    10.2
19790701 19790731    38.4
19790801 19790831    56.8
19790901 19790930    65.4
19791001 19791031    50.2
19791101 19791130    56.0
19791201 19791231     0.8
19800101 19800131    60.4
19800201 19800229    64.6
19800301 19800331    31.6
19800401 19800430    12.0
19800501 19800531    63.2
19800601 19800630    63.4
19800701 19800731    61.8
19800801 19800831    35.8
19800901 19800930    42.4
19801001 19801031    69.2
19801101 19801130    14.6
19801201 19801231    38.0
19810101 19810131    15.2
19810201 19810228   106.8
19810301 19810331     4.0
19810401 19810430    42.4
19810501 19810531    76.4
19810601 19810630   122.4
19810701 19810731   121.2
19810801 19810831    82.9
19810901 19810930    32.8
19811001 19811031    51.8
19811101 19811130    73.6
19811201 19811231    65.6
19820101 19820131     9.8
19820201 19820228     3.6
19820301 19820331   148.2
19820401 19820430    21.6
19820501 19820531     6.1
19820601 19820630    22.2
19820701 19820731     5.0
19820801 19820831    15.8
19820901 19820930    55.0
19821001 19821031    15.8
19821101 19821130     0.4
19821201 19821231    22.0
19830101 19830131    37.0
19830201 19830228    21.6
19830301 19830331    59.2
19830401 19830430    55.0
19830501 19830531   120.4
19830601 19830630    44.2
19830701 19830731    55.4
19830801 19830831    43.8
19830901 19830930    91.0
19831001 19831031   142.2
19831101 19831130    92.8
19831201 19831231   106.0
19840101 19840131   170.6
19840201 19840229    24.8
19840301 19840331    40.6
19840401 19840430   144.0
19840501 19840531    58.0
19840601 19840630    16.6
19840701 19840731   160.8
19840801 19840831   113.0
19840901 19840930    73.6
19841001 19841031    45.6
19841101 19841130    25.4
19841201 19841231    16.8
19850101 19850131    16.6
