PRCP       085046 18880701 20160630 missing_value=99999.9 LABERTOUCHE                               
19780201 19780228    61.0
19780301 19780331    70.6
19780401 19780430    63.6
19780501 19780531    88.2
19780601 19780630    60.6
19780701 19780731    99.0
19780801 19780831   103.0
19780901 19780930   111.8
19781001 19781031    94.0
19781101 19781130   152.2
19781201 19781231   138.0
19790101 19790131    45.8
19790201 19790228    38.4
19790301 19790331    34.6
19790401 19790430    80.8
19790501 19790531    74.0
19790601 19790630    33.4
19790701 19790731    30.4
19790801 19790831   102.8
19790901 19790930    98.6
19791001 19791031   130.2
19791101 19791130    37.8
19791201 19791231    31.4
19800101 19800131    49.6
19800201 19800229    18.0
19800301 19800331    26.6
19800401 19800430    66.9
19800501 19800531    54.2
19800601 19800630   105.8
19800701 19800731    87.4
19800801 19800831    91.0
19800901 19800930    72.6
19801001 19801031   104.0
19801101 19801130    63.0
19801201 19801231    86.2
19810101 19810131    48.4
19810201 19810228    25.2
19810301 19810331   129.8
19810401 19810430    50.2
19810501 19810531   108.8
19810601 19810630    72.6
19810701 19810731   108.2
19810801 19810831   128.4
19810901 19810930    46.0
19811001 19811031    86.4
19811101 19811130    94.6
19811201 19811231    87.6
19820101 19820131    86.2
19820201 19820228    13.8
19820301 19820331    95.0
19820401 19820430    83.0
19820501 19820531    89.2
19820601 19820630    58.2
19820701 19820731    46.6
19820801 19820831    25.6
19820901 19820930   104.2
19821001 19821031    67.6
19821101 19821130    17.6
19821201 19821231    52.6
19830101 19830131    52.8
19830201 19830228     3.4
19830301 19830331    53.4
19830401 19830430    63.2
19830501 19830531    94.8
19830601 19830630    90.0
19830701 19830731    62.0
19830801 19830831    69.6
19830901 19830930   124.6
19831001 19831031    99.0
19831101 19831130   117.6
19831201 19831231    41.0
19840101 19840131   100.8
19840201 19840229    44.8
19840301 19840331    86.8
19840401 19840430    81.0
