PRCP       084030 18830301 20111031 missing_value=99999.9 ORBOST (COMPARISON)                       
19460801 19460831    60.1
19460901 19460930    92.2
19461001 19461031    59.7
19461101 19461130    69.8
19461201 19461231    52.2
19470101 19470131    27.4
19470201 19470228    59.5
19470301 19470331   105.9
19470401 19470430   181.1
19470501 19470531     3.8
19470601 19470630    35.2
19470701 19470731    43.4
19470801 19470831    37.6
19470901 19470930    40.2
19471001 19471031    57.2
19471101 19471130    40.5
19471201 19471231    89.9
19480101 19480131   143.6
19480201 19480229    75.0
19480301 19480331     4.6
19480401 19480430   226.5
19480501 19480531    74.8
19480601 19480630    11.7
19480701 19480731    13.3
19480801 19480831     8.4
19480901 19480930    50.3
19481001 19481031    92.5
19481101 19481130    33.2
19481201 19481231    82.7
19490101 19490131   289.6
19490201 19490228   122.4
19490301 19490331    87.4
19490401 19490430    53.8
19490501 19490531   100.3
19490601 19490630   228.0
19490701 19490731    88.3
19490801 19490831    23.2
19490901 19490930    26.4
19491001 19491031    82.7
19491101 19491130   137.1
19491201 19491231    29.1
19500101 19500131    26.9
19500201 19500228   133.3
19500301 19500331   185.3
19500401 19500430   103.2
19500501 19500531   122.5
19500601 19500630    58.4
19500701 19500731    44.9
19500801 19500831    48.0
19500901 19500930    30.4
19501001 19501031   160.5
19501101 19501130    56.6
19501201 19501231    65.8
19510101 19510131    31.7
19510201 19510228   158.2
19510301 19510331     0.8
19510401 19510430    86.3
19510501 19510531    52.1
19510601 19510630   133.3
19510701 19510731    69.1
19510801 19510831   172.8
19510901 19510930   149.5
19511001 19511031    62.8
19511101 19511130    72.8
19511201 19511231    27.8
19520101 19520131    16.8
19520201 19520229    42.7
19520301 19520331   148.3
19520401 19520430   135.5
19520501 19520531   140.0
19520601 19520630   136.7
19520701 19520731    37.8
19520801 19520831    80.4
19520901 19520930    60.2
19521001 19521031    93.3
19521101 19521130   165.6
19521201 19521231   116.4
19530101 19530131    39.8
19530201 19530228    36.9
19530301 19530331    26.9
19530401 19530430    18.3
19530501 19530531   136.0
19530601 19530630    76.5
19530701 19530731    38.8
19530801 19530831   109.0
19530901 19530930    33.7
19531001 19531031   115.8
19531101 19531130   101.7
19531201 19531231    32.0
19540101 19540131   123.7
19540201 19540228   104.1
19540301 19540331    14.8
19540401 19540430    35.6
19540501 19540531    30.0
19540601 19540630   197.0
19540701 19540731   102.9
19540801 19540831    34.3
19540901 19540930    38.7
19541001 19541031    67.0
19541101 19541130   209.7
19541201 19541231    26.7
19550101 19550131    37.5
19550201 19550228    86.6
19550301 19550331    38.3
19550401 19550430    20.5
19550501 19550531    57.1
19550601 19550630   103.1
19550701 19550731    10.2
19550801 19550831    31.5
19550901 19550930    46.8
19551001 19551031   136.8
19551101 19551130    57.1
19551201 19551231   194.0
19560101 19560131   116.8
19560201 19560229    24.0
19560301 19560331    77.4
19560401 19560430    32.0
19560501 19560531   250.3
19560601 19560630    92.9
19560701 19560731    45.4
19560801 19560831    32.4
19560901 19560930   101.3
19561001 19561031   123.3
19561101 19561130    91.8
19561201 19561231    45.8
19570101 19570131    13.0
19570201 19570228    39.2
19570301 19570331    42.4
19570401 19570430    21.3
19570501 19570531    30.4
19570601 19570630    45.3
19570701 19570731   169.4
19570801 19570831    90.1
19570901 19570930    67.9
19571001 19571031    64.9
19571101 19571130    68.0
19571201 19571231    81.6
19580101 19580131    45.8
19580201 19580228   111.7
19580301 19580331    88.6
19580401 19580430    14.4
19580501 19580531    33.6
19580601 19580630    70.7
19580701 19580731    52.9
19580801 19580831    56.5
19580901 19580930    72.5
19581001 19581031    79.0
19581101 19581130    50.8
19581201 19581231    52.1
19590101 19590131    18.5
19590201 19590228    37.9
19590301 19590331    46.8
19590401 19590430    39.6
19590501 19590531    36.5
19590601 19590630   158.5
19590701 19590731   157.7
19590801 19590831    40.8
19590901 19590930   139.4
19591001 19591031    62.6
19591101 19591130    92.1
19591201 19591231    75.7
19600101 19600131    11.5
19600201 19600229    44.0
19600301 19600331    11.9
19600401 19600430    17.6
19600501 19600531   118.3
19600601 19600630   219.7
19600701 19600731   106.6
19600801 19600831    46.9
19600901 19600930   121.4
19601001 19601031    53.7
19601101 19601130    76.3
19601201 19601231   133.1
19610101 19610131    70.6
19610201 19610228    45.7
19610301 19610331   207.5
19610401 19610430    26.6
19610501 19610531   113.3
19610601 19610630    63.9
19610701 19610731   123.0
19610801 19610831    98.3
19610901 19610930   111.7
19611001 19611031    80.3
19611101 19611130    63.6
19611201 19611231    74.4
19620101 19620131   109.5
19620201 19620228    46.6
19620301 19620331    14.9
19620401 19620430    59.9
19620501 19620531   149.5
19620601 19620630    25.2
19620701 19620731    17.9
19620801 19620831    74.8
19620901 19620930    93.3
19621001 19621031    85.9
19621101 19621130    22.0
19621201 19621231   179.6
19630101 19630131    59.0
19630201 19630228    53.1
19630301 19630331    39.6
19630401 19630430    58.7
19630501 19630531   235.4
19630601 19630630    20.7
19630701 19630731   168.4
19630801 19630831    66.6
19630901 19630930    62.8
19631001 19631031    40.9
19631101 19631130    47.3
19631201 19631231    52.2
19640101 19640131     7.5
19640201 19640229    47.6
19640301 19640331    45.5
19640401 19640430    98.5
19640501 19640531    80.8
19640601 19640630    99.4
19640701 19640731    61.1
19640801 19640831    54.6
19640901 19640930    77.8
19641001 19641031    90.1
19641101 19641130    26.0
19641201 19641231   100.8
19650101 19650131    20.3
19650201 19650228    11.8
19650301 19650331    19.5
19650401 19650430   103.9
19650501 19650531    17.8
19650601 19650630    40.1
19650701 19650731    47.9
19650801 19650831    78.9
19650901 19650930    40.7
19651001 19651031    70.7
19651101 19651130   151.7
19651201 19651231    16.8
19660101 19660131    41.4
19660201 19660228   207.9
19660301 19660331    61.0
19660401 19660430    58.9
19660501 19660531    65.1
19660601 19660630   146.1
19660701 19660731   108.8
19660801 19660831    41.7
19660901 19660930    51.5
19661001 19661031   163.3
19661101 19661130   149.6
19661201 19661231   161.0
19670101 19670131    30.7
19670201 19670228    22.1
19670301 19670331    35.1
19670401 19670430    18.3
19670501 19670531   110.4
19670601 19670630    37.7
19670701 19670731    29.2
19670801 19670831    70.2
19670901 19670930    70.2
19671001 19671031    45.0
19671101 19671130    58.7
19671201 19671231    46.9
19680101 19680131    45.6
19680201 19680229    11.8
19680301 19680331    34.7
19680401 19680430    31.0
19680501 19680531   100.6
19680601 19680630    44.3
19680701 19680731    77.4
19680801 19680831   130.5
19680901 19680930    15.6
19681001 19681031    53.1
19681101 19681130    63.1
19681201 19681231   137.1
19690101 19690131    61.0
19690201 19690228    45.9
19690301 19690331    90.4
19690401 19690430    96.1
19690501 19690531   195.9
19690601 19690630    57.6
19690701 19690731    20.6
19690801 19690831    43.2
19690901 19690930    55.1
19691001 19691031    46.8
19691101 19691130   148.9
19691201 19691231    77.9
19700101 19700131    76.0
19700201 19700228    41.3
19700301 19700331   260.3
19700401 19700430    47.8
19700501 19700531   134.5
19700601 19700630   103.3
19700701 19700731    10.1
19700801 19700831   102.7
19700901 19700930    76.1
19701001 19701031    54.0
19701101 19701130    63.2
19701201 19701231   209.4
19710101 19710131   151.7
19710201 19710228   121.7
19710301 19710331    20.1
19710401 19710430    22.9
19710501 19710531    44.5
19710601 19710630    31.8
19710701 19710731    46.1
19710801 19710831    41.1
19710901 19710930    64.7
19711001 19711031    52.6
19711101 19711130   111.9
19711201 19711231    53.7
19720101 19720131    91.7
19720201 19720229    70.3
19720301 19720331    11.0
19720401 19720430    27.2
19720501 19720531    60.2
19720601 19720630    21.0
19720701 19720731     6.5
19720801 19720831    91.8
19720901 19720930    18.0
19721001 19721031    42.3
19721101 19721130   127.3
19721201 19721231     1.9
19730101 19730131    43.5
19730201 19730228    73.7
19730301 19730331    95.2
19730401 19730430    49.5
19730501 19730531    21.7
19730601 19730630    67.5
19730701 19730731    47.0
19730801 19730831   102.0
19730901 19730930    48.5
19731001 19731031   100.7
19731101 19731130   169.3
19731201 19731231    75.9
