PRCP       047029 18821101 20180131 missing_value=99999.9 POONCARIE TELECENTRE                      
19541001 19541031    24.4
19541101 19541130    49.7
19541201 19541231    90.1
19550101 19550131     0.0
19550201 19550228    64.3
19550301 19550331    14.2
19550401 19550430     9.9
19550501 19550531    52.7
19550601 19550630    29.4
19550701 19550731    28.4
19550801 19550831    37.7
19550901 19550930    56.8
19551001 19551031    16.7
19551101 19551130    20.8
19551201 19551231     1.0
19560101 19560131    33.3
19560201 19560229     4.3
19560301 19560331   124.0
19560401 19560430    19.5
19560501 19560531    41.4
19560601 19560630    44.6
19560701 19560731    66.6
19560801 19560831     9.8
19560901 19560930    28.2
19561001 19561031    19.6
19561101 19561130     9.4
19561201 19561231     2.1
19570101 19570131     0.0
19570201 19570228    46.2
19570301 19570331    21.3
19570401 19570430     3.8
19570501 19570531     0.5
19570601 19570630    50.0
19570701 19570731    34.0
19570801 19570831    10.4
19570901 19570930     5.3
19571001 19571031     9.3
19571101 19571130     0.0
19571201 19571231    33.0
19580101 19580131    29.7
19580201 19580228    14.0
19580301 19580331     9.4
19580401 19580430    14.7
19580501 19580531     9.9
19580601 19580630     0.0
19580701 19580731    21.6
19580801 19580831    41.5
19580901 19580930     4.1
19581001 19581031    62.9
19581101 19581130    44.6
19581201 19581231    56.2
19590101 19590131     0.5
19590201 19590228     2.5
19590301 19590331    20.1
19590401 19590430    15.5
19590501 19590531    17.8
19590601 19590630     0.0
19590701 19590731    17.3
19590801 19590831     3.9
19590901 19590930    10.4
19591001 19591031    74.1
19591101 19591130     0.0
19591201 19591231     5.4
19600101 19600131    73.0
19600201 19600229    17.9
19600301 19600331     4.8
19600401 19600430     7.9
19600501 19600531    58.9
19600601 19600630     8.4
19600701 19600731    52.9
19600801 19600831    15.2
19600901 19600930    23.3
19601001 19601031     2.0
19601101 19601130    43.0
19601201 19601231     2.8
19610101 19610131     4.1
19610201 19610228     2.3
19610301 19610331    23.3
19610401 19610430    34.7
19610501 19610531     4.8
19610601 19610630     3.1
19610701 19610731    37.5
19610801 19610831    16.0
19610901 19610930    16.5
19611001 19611031     1.3
19611101 19611130    36.6
19611201 19611231    12.5
19620101 19620131    92.6
19620201 19620228     0.0
19620301 19620331    20.8
19620401 19620430     6.9
19620501 19620531    48.6
19620601 19620630     2.5
19620701 19620731     4.3
19620801 19620831    16.5
19620901 19620930     2.3
19621001 19621031    14.5
19621101 19621130     3.6
19621201 19621231   200.6
19630101 19630131    58.4
19630201 19630228     0.0
19630301 19630331     9.4
19630401 19630430    16.4
19630501 19630531    34.5
19630601 19630630    45.7
19630701 19630731    27.4
19630801 19630831    38.4
19630901 19630930     4.1
19631001 19631031    16.5
19631101 19631130     1.8
19631201 19631231    10.9
19640101 19640131     0.8
19640201 19640229     0.0
19640301 19640331     0.0
19640401 19640430    18.5
19640501 19640531     6.9
19640601 19640630     7.4
19640701 19640731     9.3
19640801 19640831    17.8
19640901 19640930   101.9
19641001 19641031    15.8
19641101 19641130     2.8
19641201 19641231    10.7
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     0.0
19650401 19650430     6.4
19650501 19650531    13.2
19650601 19650630    17.0
19650701 19650731    12.7
19650801 19650831    56.2
19650901 19650930    23.6
19651001 19651031     6.6
19651101 19651130    24.3
19651201 19651231     4.8
19660101 19660131     3.6
19660201 19660228    10.2
19660301 19660331    17.8
19660401 19660430     3.6
19660501 19660531    12.7
19660601 19660630    12.9
19660701 19660731    14.8
19660801 19660831    13.6
19660901 19660930     4.8
19661001 19661031    15.3
19661101 19661130    38.6
19661201 19661231    32.1
19670101 19670131     1.0
19670201 19670228    16.0
19670301 19670331     3.3
19670401 19670430     0.5
19670501 19670531    13.2
19670601 19670630     1.6
19670701 19670731     5.1
19670801 19670831    17.7
19670901 19670930     4.3
19671001 19671031     8.6
19671101 19671130     0.5
19671201 19671231     0.0
19680101 19680131    52.2
19680201 19680229     0.0
19680301 19680331     7.6
19680401 19680430    36.1
19680501 19680531    63.0
19680601 19680630    22.8
19680701 19680731    20.6
19680801 19680831    15.8
19680901 19680930     1.3
19681001 19681031    19.4
19681101 19681130    14.1
19681201 19681231    17.1
19690101 19690131     3.5
19690201 19690228    50.9
19690301 19690331    63.8
19690401 19690430     0.5
19690501 19690531    27.4
19690601 19690630     5.9
19690701 19690731    35.6
19690801 19690831     3.9
19690901 19690930    23.2
19691001 19691031    14.7
19691101 19691130     3.1
19691201 19691231     1.4
19700101 19700131    23.4
19700201 19700228     2.3
19700301 19700331    15.4
19700401 19700430    41.8
19700501 19700531     5.6
19700601 19700630    12.0
19700701 19700731     1.3
19700801 19700831    34.0
19700901 19700930    69.7
19701001 19701031     2.8
19701101 19701130    18.0
19701201 19701231     7.7
19710101 19710131     5.6
19710201 19710228    40.1
19710301 19710331    13.7
19710401 19710430    47.6
19710501 19710531     4.9
19710601 19710630     9.7
19710701 19710731    43.0
19710801 19710831    15.1
19710901 19710930     5.1
19711001 19711031     1.8
19711101 19711130    36.5
19711201 19711231     8.2
19720101 19720131    57.9
19720201 19720229     4.8
19720301 19720331     0.0
19720401 19720430    27.6
19720501 19720531     2.8
19720601 19720630     4.8
19720701 19720731     4.4
19720801 19720831    33.6
19720901 19720930     4.1
19721001 19721031    18.1
19721101 19721130     3.0
19721201 19721231     8.9
19730101 19730131     8.3
19730201 19730228   106.8
19730301 19730331    78.3
19730401 19730430    32.8
19730501 19730531    13.7
19730601 19730630    51.3
19730701 19730731    40.0
19730801 19730831    55.7
19730901 19730930    19.1
19731001 19731031   142.4
19731101 19731130    33.2
19731201 19731231    48.7
19740101 19740131    81.4
19740201 19740228    57.5
19740301 19740331    20.0
19740401 19740430   157.5
19740501 19740531    44.6
19740601 19740630     8.8
19740701 19740731    31.9
19740801 19740831    38.2
19740901 19740930    40.5
19741001 19741031    47.5
19741101 19741130    25.5
19741201 19741231    18.0
19750101 19750131     9.4
19750201 19750228    16.4
19750301 19750331     5.0
19750401 19750430     1.3
19750501 19750531     7.3
19750601 19750630     5.1
19750701 19750731    22.5
19750801 19750831    32.2
19750901 19750930    35.0
19751001 19751031   115.3
19751101 19751130     7.7
19751201 19751231    85.7
19760101 19760131    33.3
19760201 19760229    23.6
19760301 19760331     1.6
19760401 19760430     3.0
19760501 19760531     0.6
19760601 19760630    10.9
19760701 19760731    24.6
19760801 19760831     4.2
19760901 19760930    36.0
19761001 19761031    87.3
19761101 19761130    23.7
19761201 19761231     4.7
19770101 19770131    16.0
19770201 19770228    66.2
19770301 19770331     0.0
19770401 19770430     1.1
19770501 19770531    15.7
19770601 19770630    28.9
19770701 19770731     7.1
19770801 19770831     2.0
19770901 19770930     6.9
19771001 19771031    17.8
19771101 19771130    20.8
19771201 19771231     1.8
19780101 19780131     6.0
19780201 19780228     0.2
19780301 19780331    38.5
19780401 19780430     2.6
19780501 19780531    42.6
19780601 19780630    48.8
19780701 19780731    30.8
