PRCP       018001 19070801 20180131 missing_value=99999.9 ARNO BAY                                  
19791201 19791231    28.6
19800101 19800131     2.6
19800201 19800229     2.8
19800301 19800331     0.4
19800401 19800430    37.0
19800501 19800531    35.4
19800601 19800630    49.8
19800701 19800731    18.0
19800801 19800831     3.6
19800901 19800930     8.6
19801001 19801031    41.8
19801101 19801130     5.0
19801201 19801231     5.0
19810101 19810131    25.8
19810201 19810228    22.8
19810301 19810331    19.0
19810401 19810430     1.4
19810501 19810531    40.0
19810601 19810630    70.8
19810701 19810731    42.8
19810801 19810831    38.2
19810901 19810930     5.0
19811001 19811031    12.6
19811101 19811130    15.6
19811201 19811231     4.8
19820101 19820131    13.0
19820201 19820228     3.0
19820301 19820331    32.6
19820401 19820430    12.8
19820501 19820531    10.0
19820601 19820630    24.2
19820701 19820731    13.0
19820801 19820831    12.0
19820901 19820930    12.6
19821001 19821031    12.6
19821101 19821130     0.0
19821201 19821231     7.6
19830101 19830131     3.8
19830201 19830228    13.4
19830301 19830331    92.4
19830401 19830430    85.4
19830501 19830531    23.8
19830601 19830630    15.6
19830701 19830731    57.0
19830801 19830831    29.7
19830901 19830930    23.1
19831001 19831031    16.0
19831101 19831130    23.4
19831201 19831231    27.6
19840101 19840131     3.8
19840201 19840229     2.6
19840301 19840331    10.2
19840401 19840430    13.8
19840501 19840531    13.8
19840601 19840630    16.6
19840701 19840731    40.2
19840801 19840831    48.0
19840901 19840930    35.5
19841001 19841031    29.4
19841101 19841130    34.7
19841201 19841231    13.1
19850101 19850131     1.8
19850201 19850228     4.0
19850301 19850331    22.4
19850401 19850430    34.4
19850501 19850531     2.8
19850601 19850630    13.8
19850701 19850731    16.5
19850801 19850831    75.0
19850901 19850930    35.2
19851001 19851031    41.6
19851101 19851130    11.6
19851201 19851231    16.0
19860101 19860131     5.2
19860201 19860228     3.0
19860301 19860331     0.0
19860401 19860430    10.1
19860501 19860531    28.0
19860601 19860630    21.2
19860701 19860731    59.6
19860801 19860831    45.1
19860901 19860930    27.2
19861001 19861031    33.4
19861101 19861130    14.0
19861201 19861231     7.6
19870101 19870131    18.2
19870201 19870228    20.2
19870301 19870331     4.2
19870401 19870430    10.0
19870501 19870531    36.0
19870601 19870630    14.2
19870701 19870731    33.9
19870801 19870831    18.2
19870901 19870930     9.6
19871001 19871031    28.8
19871101 19871130    11.1
19871201 19871231    16.8
19880101 19880131    13.4
19880201 19880229     9.1
19880301 19880331    19.4
19880401 19880430     1.4
19880501 19880531    23.9
19880601 19880630    34.8
19880701 19880731    16.8
19880801 19880831    10.8
19880901 19880930    14.2
19881001 19881031     3.4
19881101 19881130    40.6
19881201 19881231    24.4
19890101 19890131     0.0
19890201 19890228     0.0
19890301 19890331    20.8
19890401 19890430    46.0
19890501 19890531    62.0
19890601 19890630    69.8
19890701 19890731    43.2
19890801 19890831    52.4
19890901 19890930    24.4
19891001 19891031    14.4
