PRCP       010670 19050901 20180131 missing_value=99999.9 LAKE CARMODY                              
19980201 19980228     0.0
19980301 19980331    29.6
19980401 19980430    81.0
19980501 19980531    27.0
19980601 19980630    73.4
19980701 19980731    43.2
19980801 19980831    41.6
19980901 19980930    25.6
19981001 19981031    13.4
19981101 19981130    13.8
19981201 19981231     9.8
19990101 19990131    50.8
19990201 19990228    12.2
19990301 19990331    49.4
19990401 19990430    63.6
19990501 19990531    47.2
19990601 19990630    22.2
19990701 19990731    65.0
19990801 19990831    41.4
19990901 19990930    39.6
19991001 19991031    28.0
19991101 19991130    17.4
19991201 19991231    59.2
20000101 20000131   204.4
20000201 20000229    18.8
20000301 20000331    48.2
20000401 20000430    18.4
20000501 20000531    11.8
20000601 20000630    29.2
20000701 20000731    60.2
20000801 20000831    44.0
20000901 20000930    16.4
20001001 20001031     0.8
20001101 20001130     3.4
20001201 20001231     3.6
20010101 20010131    61.8
20010201 20010228    13.2
20010301 20010331     0.6
20010401 20010430     0.4
20010501 20010531    48.6
20010601 20010630    12.8
