PRCP       018063 19070101 20180131 missing_value=99999.9 PENONG                                    
19830101 19830131     1.6
19830201 19830228     4.4
19830301 19830331    91.2
19830401 19830430   120.8
19830501 19830531    20.2
19830601 19830630     8.6
19830701 19830731    85.8
19830801 19830831    29.2
19830901 19830930    21.6
19831001 19831031    15.6
19831101 19831130     9.0
19831201 19831231     8.0
19840101 19840131     7.6
19840201 19840229     0.2
19840301 19840331     5.0
19840401 19840430    34.0
19840501 19840531    25.6
19840601 19840630     8.2
19840701 19840731    99.3
19840801 19840831    43.9
19840901 19840930    64.0
19841001 19841031    20.4
19841101 19841130     3.0
19841201 19841231    21.2
19850101 19850131     0.0
19850201 19850228     0.0
19850301 19850331     0.0
19850401 19850430    13.4
19850501 19850531     8.0
19850601 19850630    26.5
19850701 19850731    18.1
19850801 19850831    63.7
19850901 19850930     5.8
19851001 19851031    40.9
19851101 19851130     8.4
19851201 19851231    21.5
19860101 19860131     2.4
19860201 19860228     9.2
19860301 19860331     0.0
19860401 19860430    10.8
19860501 19860531    21.4
19860601 19860630    37.6
19860701 19860731   120.2
19860801 19860831    50.4
19860901 19860930    14.8
19861001 19861031    37.0
19861101 19861130     9.8
19861201 19861231    18.0
19870101 19870131 99999.9
19870201 19870228    38.0
19870301 19870331     1.2
19870401 19870430 99999.9
19870501 19870531    43.3
19870601 19870630    35.6
19870701 19870731    47.0
19870801 19870831    18.8
19870901 19870930    16.6
19871001 19871031 99999.9
19871101 19871130     9.4
19871201 19871231    14.0
19880101 19880131    11.8
19880201 19880229    19.4
19880301 19880331     4.6
19880401 19880430     1.8
19880501 19880531    42.2
19880601 19880630    16.2
19880701 19880731    33.7
19880801 19880831     4.4
19880901 19880930    18.2
19881001 19881031     3.6
19881101 19881130    10.3
19881201 19881231    37.0
19890101 19890131     4.2
19890201 19890228     0.0
19890301 19890331    12.6
19890401 19890430    37.5
19890501 19890531    63.7
19890601 19890630    49.0
19890701 19890731   121.8
19890801 19890831    24.7
19890901 19890930    11.8
19891001 19891031     6.3
19891101 19891130    16.2
19891201 19891231    13.6
19900101 19900131     3.0
19900201 19900228    21.0
19900301 19900331     0.8
19900401 19900430     9.6
19900501 19900531    38.8
19900601 19900630    31.4
19900701 19900731    57.6
19900801 19900831    24.2
19900901 19900930    26.9
19901001 19901031    27.2
19901101 19901130     0.0
19901201 19901231    24.8
19910101 19910131     3.4
19910201 19910228     0.0
19910301 19910331     1.0
19910401 19910430    30.8
19910501 19910531    15.8
19910601 19910630    58.8
19910701 19910731    38.2
19910801 19910831    30.9
19910901 19910930    22.6
19911001 19911031    12.2
19911101 19911130    30.7
19911201 19911231     2.6
19920101 19920131     5.0
19920201 19920229     3.6
19920301 19920331    15.6
19920401 19920430    19.3
19920501 19920531    26.6
19920601 19920630    34.4
19920701 19920731    22.4
19920801 19920831    79.0
19920901 19920930    57.8
19921001 19921031    92.8
19921101 19921130    36.2
19921201 19921231    72.4
19930101 19930131    49.0
19930201 19930228     1.2
19930301 19930331     3.4
19930401 19930430     0.8
19930501 19930531    33.0
19930601 19930630    12.2
19930701 19930731    31.0
19930801 19930831    40.4
19930901 19930930    35.8
19931001 19931031    45.8
19931101 19931130    24.4
19931201 19931231    31.2
19940101 19940131     2.1
19940201 19940228    12.4
19940301 19940331     0.0
19940401 19940430     0.4
19940501 19940531     9.5
19940601 19940630    34.2
19940701 19940731    35.4
19940801 19940831    19.5
19940901 19940930     6.4
19941001 19941031    21.8
19941101 19941130    11.6
19941201 19941231     3.6
19950101 19950131    42.6
19950201 19950228     0.8
19950301 19950331    11.8
19950401 19950430    15.4
19950501 19950531    40.0
19950601 19950630    66.6
19950701 19950731    57.6
19950801 19950831    23.6
19950901 19950930    16.6
19951001 19951031    17.2
19951101 19951130     5.2
19951201 19951231    14.8
19960101 19960131     0.4
19960201 19960229     4.2
19960301 19960331    10.2
19960401 19960430     8.4
19960501 19960531    18.6
19960601 19960630    44.0
19960701 19960731    61.4
19960801 19960831    51.4
19960901 19960930    51.8
19961001 19961031    16.4
19961101 19961130     7.2
19961201 19961231     9.4
19970101 19970131    13.1
19970201 19970228    16.0
19970301 19970331     7.6
19970401 19970430     3.2
19970501 19970531    59.8
19970601 19970630    14.6
19970701 19970731     9.0
19970801 19970831    39.6
19970901 19970930    96.8
19971001 19971031    28.8
19971101 19971130    15.8
19971201 19971231    40.8
19980101 19980131     3.2
19980201 19980228     3.4
19980301 19980331    19.8
19980401 19980430    30.6
19980501 19980531    19.8
19980601 19980630    38.4
19980701 19980731    86.4
19980801 19980831     7.4
19980901 19980930    23.0
19981001 19981031    10.2
19981101 19981130    34.4
19981201 19981231     3.4
19990101 19990131    11.0
19990201 19990228     7.0
19990301 19990331    14.8
19990401 19990430     0.0
19990501 19990531    20.8
19990601 19990630    17.0
19990701 19990731    18.6
19990801 19990831    14.2
19990901 19990930    54.6
19991001 19991031    54.8
19991101 19991130    12.5
19991201 19991231     6.4
20000101 20000131    12.2
20000201 20000229    30.6
20000301 20000331    22.2
20000401 20000430    12.8
20000501 20000531    31.0
20000601 20000630    28.3
20000701 20000731    33.0
20000801 20000831    50.2
20000901 20000930    24.0
20001001 20001031    30.2
20001101 20001130     9.4
20001201 20001231     0.6
20010101 20010131     9.2
20010201 20010228     7.5
20010301 20010331     5.2
20010401 20010430     6.2
20010501 20010531 99999.9
20010601 20010630 99999.9
20010701 20010731 99999.9
20010801 20010831 99999.9
20010901 20010930 99999.9
20011001 20011031    29.8
20011101 20011130    33.0
20011201 20011231    52.4
20020101 20020131     9.0
20020201 20020228     0.0
20020301 20020331     2.8
20020401 20020430    11.6
20020501 20020531     4.2
20020601 20020630    46.6
20020701 20020731    29.4
20020801 20020831    15.0
20020901 20020930    19.4
20021001 20021031    11.8
20021101 20021130     8.2
