PRCP       042003 18800101 20110131 missing_value=99999.9 CHERITON                                  
19700201 19700228    65.3
19700301 19700331    12.2
19700401 19700430    28.9
19700501 19700531    15.2
19700601 19700630     6.5
19700701 19700731     0.0
19700801 19700831    10.4
19700901 19700930   122.2
19701001 19701031     6.3
19701101 19701130    82.5
19701201 19701231   135.9
19710101 19710131   160.0
19710201 19710228    22.6
19710301 19710331    17.0
19710401 19710430    20.6
19710501 19710531    24.9
19710601 19710630     5.3
19710701 19710731    72.8
19710801 19710831    77.3
19710901 19710930    53.4
19711001 19711031    21.1
19711101 19711130    32.5
19711201 19711231    50.3
19720101 19720131    36.9
19720201 19720229    22.0
19720301 19720331     4.1
19720401 19720430    80.7
19720501 19720531     7.9
19720601 19720630    22.9
19720701 19720731     0.0
19720801 19720831    36.8
19720901 19720930    22.6
19721001 19721031    74.2
19721101 19721130    88.0
19721201 19721231    16.3
19730101 19730131    73.7
19730201 19730228   148.9
19730301 19730331     6.1
19730401 19730430     0.0
19730501 19730531    18.3
19730601 19730630    13.7
19730701 19730731    86.6
19730801 19730831    34.7
19730901 19730930    29.7
19731001 19731031    47.5
19731101 19731130    94.1
19731201 19731231    86.0
19740101 19740131   357.4
19740201 19740228    27.9
19740301 19740331    54.8
19740401 19740430    23.4
19740501 19740531    11.6
19740601 19740630    21.0
19740701 19740731     4.6
19740801 19740831    28.8
19740901 19740930    21.8
19741001 19741031    49.4
19741101 19741130    79.6
19741201 19741231    50.2
19750101 19750131    39.8
19750201 19750228    47.6
19750301 19750331    87.2
19750401 19750430     6.2
19750501 19750531     0.0
19750601 19750630    38.8
19750701 19750731    50.4
19750801 19750831    30.4
19750901 19750930    15.8
19751001 19751031    37.0
19751101 19751130    46.2
19751201 19751231   110.8
