PRCP       069018 18750701 20180131 missing_value=99999.9 MORUYA HEADS PILOT STATION                
19541101 19541130    88.1
19541201 19541231    61.0
19550101 19550131    84.6
19550201 19550228   253.2
19550301 19550331   126.7
19550401 19550430    27.2
19550501 19550531   271.3
19550601 19550630    46.1
19550701 19550731    25.6
19550801 19550831     4.6
19550901 19550930    28.0
19551001 19551031    83.8
19551101 19551130    55.7
19551201 19551231    80.5
19560101 19560131   126.9
19560201 19560229   237.5
19560301 19560331   295.0
19560401 19560430    53.3
19560501 19560531   205.0
19560601 19560630   240.9
19560701 19560731   114.0
19560801 19560831    16.8
19560901 19560930    65.0
19561001 19561031   128.7
19561101 19561130    56.0
19561201 19561231    40.8
19570101 19570131     3.2
19570201 19570228   125.9
19570301 19570331    29.8
19570401 19570430     4.0
19570501 19570531     0.0
19570601 19570630    93.0
19570701 19570731   246.8
19570801 19570831   184.0
19570901 19570930    22.1
19571001 19571031     6.4
19571101 19571130    21.8
19571201 19571231    57.9
19580101 19580131   219.1
19580201 19580228   145.4
19580301 19580331   133.0
19580401 19580430    24.5
19580501 19580531    18.6
19580601 19580630   183.2
19580701 19580731    23.8
19580801 19580831    39.4
19580901 19580930    39.8
19581001 19581031    37.7
19581101 19581130    15.3
19581201 19581231    70.1
19590101 19590131    82.2
19590201 19590228   105.7
19590301 19590331   348.1
19590401 19590430    63.0
19590501 19590531    12.7
19590601 19590630   124.7
19590701 19590731   119.9
19590801 19590831    20.9
19590901 19590930    35.7
19591001 19591031   364.3
19591101 19591130   182.0
19591201 19591231    98.0
19600101 19600131    85.0
19600201 19600229    18.4
19600301 19600331   197.0
19600401 19600430    34.9
19600501 19600531    68.7
19600601 19600630    36.9
19600701 19600731    87.9
19600801 19600831    22.6
19600901 19600930   135.8
19601001 19601031    55.3
19601101 19601130    50.6
19601201 19601231   217.2
19610101 19610131   102.4
19610201 19610228    61.2
19610301 19610331   226.6
19610401 19610430    19.2
19610501 19610531    12.5
19610601 19610630   107.9
19610701 19610731   145.4
19610801 19610831   176.1
19610901 19610930   117.6
19611001 19611031    91.8
19611101 19611130   259.9
19611201 19611231   190.7
19620101 19620131   169.2
19620201 19620228   100.9
19620301 19620331    42.7
19620401 19620430    48.3
19620501 19620531    37.8
19620601 19620630     0.5
19620701 19620731    38.1
19620801 19620831    74.6
19620901 19620930   139.5
19621001 19621031    45.9
19621101 19621130    73.7
19621201 19621231   135.9
19630101 19630131    67.1
19630201 19630228    58.6
19630301 19630331   131.3
19630401 19630430   187.3
19630501 19630531   255.3
19630601 19630630   214.7
19630701 19630731    89.9
19630801 19630831    56.0
19630901 19630930    77.2
19631001 19631031    19.1
19631101 19631130    74.8
19631201 19631231   218.4
19640101 19640131    10.2
19640201 19640229    32.9
19640301 19640331    68.2
19640401 19640430   233.2
19640501 19640531    68.9
19640601 19640630   109.8
19640701 19640731    11.9
19640801 19640831   110.1
19640901 19640930    18.8
19641001 19641031    79.4
19641101 19641130    51.4
19641201 19641231    68.2
19650101 19650131    21.0
19650201 19650228     4.6
19650301 19650331     6.1
19650401 19650430    45.0
19650501 19650531    60.7
19650601 19650630    44.2
19650701 19650731    32.8
19650801 19650831    10.3
19650901 19650930    53.9
19651001 19651031   175.8
19651101 19651130    30.7
19651201 19651231    61.4
19660101 19660131    55.4
19660201 19660228    94.5
19660301 19660331    73.6
19660401 19660430    13.0
19660501 19660531     9.0
19660601 19660630   158.7
19660701 19660731    28.5
19660801 19660831    40.6
19660901 19660930    67.4
19661001 19661031    79.4
19661101 19661130   167.9
19661201 19661231   109.4
19670101 19670131   105.7
19670201 19670228    20.4
19670301 19670331    64.2
19670401 19670430    34.7
19670501 19670531    14.3
19670601 19670630   100.7
19670701 19670731    36.8
19670801 19670831    87.3
19670901 19670930    86.1
19671001 19671031    44.2
19671101 19671130    34.1
19671201 19671231    22.1
19680101 19680131    90.7
19680201 19680229    16.3
19680301 19680331    87.8
19680401 19680430    13.0
19680501 19680531   142.5
19680601 19680630     7.4
19680701 19680731    20.7
19680801 19680831    12.5
19680901 19680930     2.8
19681001 19681031    18.5
19681101 19681130    58.0
19681201 19681231   113.4
19690101 19690131    61.3
19690201 19690228   105.1
19690301 19690331   106.4
19690401 19690430    99.8
19690501 19690531    86.3
19690601 19690630   140.3
19690701 19690731    25.9
19690801 19690831   140.6
19690901 19690930    22.9
19691001 19691031   115.0
19691101 19691130   211.6
19691201 19691231    51.2
19700101 19700131   111.8
19700201 19700228    21.5
19700301 19700331    70.5
19700401 19700430    37.1
19700501 19700531   107.1
19700601 19700630    27.9
19700701 19700731     0.0
19700801 19700831    76.2
19700901 19700930   120.7
19701001 19701031    64.4
19701101 19701130    93.7
19701201 19701231   207.4
19710101 19710131    56.5
19710201 19710228   569.6
