PRCP       063005 19080701 20180131 missing_value=99999.9 BATHURST AGRICULTURAL STATION             
19620401 19620430    14.7
19620501 19620531    61.4
19620601 19620630     6.6
19620701 19620731    44.9
19620801 19620831    67.0
19620901 19620930    51.6
19621001 19621031    30.2
19621101 19621130    18.8
19621201 19621231   173.2
19630101 19630131   150.2
19630201 19630228    52.9
19630301 19630331    61.5
19630401 19630430    22.0
19630501 19630531    86.1
19630601 19630630    73.8
19630701 19630731    51.3
19630801 19630831    67.5
19630901 19630930    40.0
19631001 19631031    63.4
19631101 19631130    20.7
19631201 19631231    68.8
19640101 19640131    73.1
19640201 19640229    10.5
19640301 19640331    22.7
19640401 19640430   109.7
19640501 19640531    41.3
19640601 19640630   142.3
19640701 19640731    87.0
19640801 19640831    30.5
19640901 19640930    92.5
19641001 19641031   107.6
19641101 19641130    50.2
19641201 19641231    17.0
19650101 19650131     1.6
19650201 19650228     1.3
19650301 19650331    22.9
19650401 19650430    41.9
19650501 19650531    15.9
19650601 19650630    11.2
19650701 19650731    26.7
19650801 19650831    28.2
19650901 19650930    49.0
19651001 19651031    62.7
19651101 19651130    28.8
19651201 19651231    58.1
19660101 19660131    36.6
19660201 19660228    11.9
19660301 19660331   102.7
19660401 19660430    30.4
19660501 19660531    45.6
19660601 19660630    37.0
19660701 19660731    28.3
19660801 19660831    66.3
19660901 19660930    52.4
19661001 19661031   149.5
19661101 19661130    85.0
19661201 19661231   134.3
19670101 19670131   104.2
19670201 19670228    44.5
19670301 19670331    23.1
19670401 19670430     0.5
19670501 19670531    23.8
19670601 19670630    25.7
19670701 19670731    19.2
19670801 19670831   141.1
19670901 19670930    16.4
19671001 19671031    67.5
19671101 19671130    22.3
19671201 19671231    15.0
19680101 19680131    98.2
19680201 19680229     4.6
19680301 19680331    56.5
19680401 19680430    43.0
19680501 19680531   108.9
19680601 19680630    21.5
19680701 19680731    36.7
19680801 19680831    53.4
19680901 19680930    21.9
19681001 19681031    36.3
19681101 19681130    29.7
19681201 19681231   116.2
19690101 19690131    30.3
19690201 19690228   167.1
19690301 19690331   120.9
19690401 19690430    54.3
19690501 19690531    57.3
19690601 19690630    35.7
19690701 19690731    39.1
19690801 19690831    65.1
19690901 19690930    38.8
19691001 19691031    81.0
19691101 19691130    83.3
19691201 19691231    46.5
19700101 19700131    87.5
19700201 19700228    62.8
19700301 19700331    36.7
19700401 19700430    62.3
19700501 19700531    70.1
19700601 19700630    17.0
19700701 19700731     3.7
19700801 19700831    48.9
19700901 19700930   100.8
19701001 19701031    74.0
19701101 19701130    89.4
19701201 19701231   135.2
19710101 19710131   111.3
19710201 19710228   235.5
19710301 19710331     1.8
19710401 19710430    13.6
19710501 19710531    14.9
19710601 19710630    11.8
19710701 19710731    22.0
19710801 19710831    79.0
19710901 19710930    95.8
19711001 19711031     9.3
19711101 19711130   113.5
19711201 19711231   144.1
19720101 19720131   197.3
19720201 19720229    57.1
19720301 19720331    19.1
19720401 19720430    31.0
19720501 19720531    17.4
19720601 19720630     0.8
19720701 19720731    14.8
19720801 19720831    53.5
19720901 19720930    24.4
19721001 19721031    71.9
19721101 19721130    61.3
19721201 19721231    36.6
19730101 19730131    69.0
19730201 19730228   228.1
19730301 19730331    44.8
19730401 19730430    50.7
19730501 19730531    65.0
19730601 19730630    66.1
19730701 19730731    66.0
19730801 19730831    64.3
19730901 19730930    39.5
19731001 19731031   105.3
19731101 19731130   107.3
19731201 19731231    83.0
19740101 19740131   105.0
19740201 19740228    80.5
19740301 19740331    25.4
19740401 19740430   121.1
19740501 19740531    39.8
19740601 19740630    20.7
19740701 19740731    61.4
19740801 19740831    47.7
19740901 19740930    56.6
19741001 19741031    75.4
19741101 19741130    34.0
19741201 19741231     0.0
19750101 19750131    22.8
19750201 19750228    87.0
19750301 19750331    61.4
19750401 19750430    52.3
19750501 19750531    18.2
