PRCP       037043 18911101 20120831 missing_value=99999.9 URANDANGIE                                
19490401 19490430     0.0
19490501 19490531     1.5
19490601 19490630     0.0
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930     6.1
19491001 19491031    45.7
19491101 19491130     8.9
19491201 19491231    39.8
19500101 19500131    18.1
19500201 19500228    52.8
19500301 19500331   374.2
19500401 19500430     0.5
19500501 19500531    33.0
19500601 19500630    55.4
19500701 19500731     0.0
19500801 19500831     0.0
19500901 19500930    15.0
19501001 19501031    43.5
19501101 19501130    61.7
19501201 19501231   271.0
19510101 19510131    69.0
19510201 19510228    69.1
19510301 19510331    23.2
19510401 19510430     0.0
19510501 19510531     0.0
19510601 19510630    17.2
19510701 19510731     0.0
19510801 19510831     0.8
19510901 19510930     0.0
19511001 19511031     3.5
19511101 19511130     3.3
19511201 19511231     0.0
19520101 19520131    52.3
19520201 19520229     5.1
19520301 19520331     0.0
19520401 19520430    13.5
19520501 19520531    37.3
19520601 19520630     0.0
19520701 19520731     0.0
19520801 19520831     0.0
19520901 19520930     0.0
19521001 19521031    11.0
19521101 19521130    29.7
19521201 19521231     9.4
19530101 19530131   204.0
19530201 19530228   270.9
19530301 19530331     0.0
19530401 19530430    17.8
19530501 19530531    11.9
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831    21.1
19530901 19530930     0.0
19531001 19531031     8.9
19531101 19531130     0.0
19531201 19531231    35.3
19540101 19540131    28.5
19540201 19540228     0.0
19540301 19540331     2.0
19540401 19540430    20.3
19540501 19540531     0.0
19540601 19540630     1.3
19540701 19540731     1.0
19540801 19540831     5.1
19540901 19540930     0.0
19541001 19541031    76.0
19541101 19541130     2.1
19541201 19541231    40.9
19550101 19550131    31.1
19550201 19550228   105.2
19550301 19550331    40.6
19550401 19550430    19.8
19550501 19550531    80.5
19550601 19550630     1.5
19550701 19550731    29.2
19550801 19550831     7.5
19550901 19550930     0.0
19551001 19551031    83.6
19551101 19551130     3.6
19551201 19551231     6.1
19560101 19560131    17.0
19560201 19560229   202.1
19560301 19560331    93.8
19560401 19560430     0.8
19560501 19560531    26.4
19560601 19560630    53.1
19560701 19560731    72.7
19560801 19560831     0.0
19560901 19560930    13.5
19561001 19561031     7.4
19561101 19561130     1.3
19561201 19561231    19.3
19570101 19570131   249.8
19570201 19570228    20.8
19570301 19570331    17.7
19570401 19570430    40.6
19570501 19570531     0.0
19570601 19570630    28.2
19570701 19570731     0.0
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031     3.5
19571101 19571130     0.0
19571201 19571231    17.6
19580101 19580131    38.8
19580201 19580228    27.5
19580301 19580331     4.6
19580401 19580430    64.1
19580501 19580531    42.2
19580601 19580630     6.1
19580701 19580731     0.5
19580801 19580831     0.0
19580901 19580930     0.0
19581001 19581031    22.1
19581101 19581130    13.5
19581201 19581231     0.0
19590101 19590131     5.6
19590201 19590228     0.0
19590301 19590331    82.9
19590401 19590430     8.1
19590501 19590531    82.0
19590601 19590630     0.0
19590701 19590731     0.0
19590801 19590831     0.8
19590901 19590930     1.8
19591001 19591031     0.0
19591101 19591130     2.5
19591201 19591231     0.0
19600101 19600131    31.0
19600201 19600229    21.8
19600301 19600331    10.2
19600401 19600430    34.3
19600501 19600531    44.2
19600601 19600630     0.0
19600701 19600731     3.3
19600801 19600831     0.0
19600901 19600930    13.8
19601001 19601031     2.0
19601101 19601130    26.5
19601201 19601231    21.4
19610101 19610131   100.8
19610201 19610228     0.0
19610301 19610331     0.0
19610401 19610430     7.3
19610501 19610531     0.0
19610601 19610630     0.0
19610701 19610731     5.1
19610801 19610831     0.0
19610901 19610930     0.8
19611001 19611031     0.0
19611101 19611130    15.7
19611201 19611231    15.5
19620101 19620131    72.9
19620201 19620228     2.0
19620301 19620331   114.3
19620401 19620430     0.8
19620501 19620531    20.8
19620601 19620630    28.2
19620701 19620731     1.3
19620801 19620831     0.0
19620901 19620930     0.0
19621001 19621031    14.3
19621101 19621130    10.8
19621201 19621231   129.2
19630101 19630131    19.4
19630201 19630228    18.5
19630301 19630331     6.8
19630401 19630430    44.4
19630501 19630531     0.0
19630601 19630630     0.0
19630701 19630731     0.0
19630801 19630831     0.0
19630901 19630930     0.0
19631001 19631031     4.1
19631101 19631130     0.5
19631201 19631231     2.0
19640101 19640131    72.7
19640201 19640229     7.1
19640301 19640331     1.5
19640401 19640430    27.2
19640501 19640531     2.5
19640601 19640630     2.8
19640701 19640731     0.0
19640801 19640831     0.0
19640901 19640930    15.3
19641001 19641031    67.9
19641101 19641130    10.5
19641201 19641231    27.0
19650101 19650131     7.6
19650201 19650228     2.1
19650301 19650331     9.7
19650401 19650430     0.0
19650501 19650531     0.0
19650601 19650630     6.4
19650701 19650731     0.0
19650801 19650831     7.6
19650901 19650930     0.0
19651001 19651031     0.3
19651101 19651130     3.3
19651201 19651231    46.4
19660101 19660131   177.2
19660201 19660228     2.6
19660301 19660331     2.3
19660401 19660430     0.0
19660501 19660531     9.6
19660601 19660630     5.7
19660701 19660731     0.3
19660801 19660831    21.7
19660901 19660930    44.8
19661001 19661031     2.3
19661101 19661130    41.9
19661201 19661231    35.2
19670101 19670131     8.9
19670201 19670228   211.5
19670301 19670331    57.0
19670401 19670430     0.0
19670501 19670531     0.0
19670601 19670630     4.1
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     0.3
19671101 19671130     1.1
19671201 19671231    11.5
19680101 19680131    54.2
19680201 19680229    34.0
19680301 19680331     6.2
19680401 19680430     6.1
19680501 19680531   138.0
19680601 19680630     0.0
19680701 19680731    13.0
19680801 19680831     8.2
19680901 19680930     0.0
19681001 19681031     0.5
19681101 19681130     1.3
19681201 19681231     6.3
19690101 19690131     0.0
19690201 19690228    14.4
19690301 19690331    42.6
19690401 19690430     0.0
19690501 19690531     0.3
19690601 19690630     0.8
19690701 19690731    75.0
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031    28.0
19691101 19691130     1.3
19691201 19691231   131.3
19700101 19700131     1.3
19700201 19700228    75.8
19700301 19700331     1.8
19700401 19700430    20.6
