PRCP       070027 18890701 20180131 missing_value=99999.9 DELEGATE (WEEWALLA)                       
19520801 19520831    43.5
19520901 19520930    41.7
19521001 19521031   131.4
19521101 19521130    98.0
19521201 19521231   178.1
19530101 19530131    49.0
19530201 19530228    69.1
19530301 19530331    18.9
19530401 19530430    27.4
19530501 19530531   109.0
19530601 19530630    49.3
19530701 19530731    34.5
19530801 19530831    71.1
19530901 19530930    20.8
19531001 19531031    57.2
19531101 19531130    42.3
19531201 19531231    38.1
19540101 19540131    50.1
19540201 19540228    69.8
19540301 19540331     1.8
19540401 19540430    22.3
19540501 19540531    17.0
19540601 19540630    48.5
19540701 19540731    46.6
19540801 19540831    15.7
19540901 19540930    16.4
19541001 19541031    28.2
19541101 19541130   154.9
19541201 19541231    28.7
19550101 19550131    30.2
19550201 19550228    46.3
19550301 19550331    53.5
19550401 19550430     4.0
19550501 19550531    57.0
19550601 19550630    35.7
19550701 19550731     5.1
19550801 19550831    24.9
19550901 19550930    34.3
19551001 19551031    66.9
19551101 19551130    22.4
19551201 19551231   134.4
19560101 19560131   140.6
19560201 19560229   139.4
19560301 19560331   109.7
19560401 19560430    49.4
19560501 19560531   114.8
19560601 19560630    97.0
19560701 19560731    48.5
19560801 19560831    43.4
19560901 19560930    38.5
19561001 19561031    58.1
19561101 19561130    51.8
19561201 19561231    26.3
19570101 19570131     2.5
19570201 19570228    21.0
19570301 19570331    51.2
19570401 19570430    15.6
19570501 19570531    37.9
19570601 19570630    41.5
19570701 19570731   195.8
19570801 19570831    83.2
19570901 19570930    31.0
19571001 19571031    55.1
19571101 19571130    47.0
19571201 19571231    70.9
19580101 19580131    50.0
19580201 19580228    69.2
19580301 19580331    51.0
19580401 19580430    20.8
19580501 19580531    14.3
19580601 19580630    57.4
19580701 19580731    53.4
19580801 19580831    36.3
19580901 19580930    68.2
19581001 19581031    42.8
19581101 19581130    65.8
19581201 19581231   144.7
19590101 19590131    18.5
19590201 19590228    83.0
19590301 19590331    82.3
19590401 19590430    59.8
19590501 19590531    21.7
19590601 19590630    94.8
19590701 19590731    64.5
19590801 19590831    43.4
19590901 19590930   129.6
19591001 19591031   157.8
19591101 19591130    97.1
19591201 19591231    80.3
19600101 19600131   104.9
19600201 19600229    11.7
19600301 19600331    36.3
19600401 19600430    54.2
19600501 19600531    83.4
19600601 19600630    74.3
19600701 19600731    80.6
19600801 19600831    12.0
19600901 19600930    83.2
19601001 19601031    55.2
19601101 19601130    61.5
19601201 19601231   104.0
19610101 19610131    81.1
19610201 19610228    31.2
19610301 19610331   139.5
19610401 19610430    33.8
19610501 19610531    46.8
19610601 19610630    44.8
