PRCP       017004 19100101 20160630 missing_value=99999.9 ANNA CREEK                                
19821201 19821231     9.0
19830101 19830131    12.4
19830201 19830228     5.6
19830301 19830331     0.0
19830401 19830430     0.0
19830501 19830531     0.0
19830601 19830630     0.0
19830701 19830731     0.0
19830801 19830831     5.0
19830901 19830930     0.0
19831001 19831031     8.4
19831101 19831130     3.0
19831201 19831231    34.2
19840101 19840131   356.0
19840201 19840229     0.0
19840301 19840331     0.0
19840401 19840430     0.0
19840501 19840531     4.0
19840601 19840630     2.0
19840701 19840731    13.0
19840801 19840831    12.0
19840901 19840930     4.0
19841001 19841031    10.0
19841101 19841130     0.0
19841201 19841231     0.0
19850101 19850131     0.0
19850201 19850228     0.0
19850301 19850331    12.2
19850401 19850430     0.0
19850501 19850531    12.8
19850601 19850630     0.0
19850701 19850731     0.0
19850801 19850831     4.0
19850901 19850930     0.0
19851001 19851031    26.0
19851101 19851130    11.0
19851201 19851231     0.0
19860101 19860131     0.0
19860201 19860228     0.0
19860301 19860331     0.0
19860401 19860430     0.0
19860501 19860531    13.0
19860601 19860630     2.0
19860701 19860731    47.0
19860801 19860831     0.0
19860901 19860930     0.0
19861001 19861031    23.2
19861101 19861130     4.0
19861201 19861231    37.0
19870101 19870131     0.0
19870201 19870228    59.0
19870301 19870331     0.0
19870401 19870430     0.0
19870501 19870531     1.0
19870601 19870630     5.0
19870701 19870731     0.0
19870801 19870831     9.4
19870901 19870930     0.0
19871001 19871031     0.0
19871101 19871130     0.0
19871201 19871231    13.2
19880101 19880131     0.0
19880201 19880229     0.0
19880301 19880331    48.0
19880401 19880430     0.0
19880501 19880531    30.1
19880601 19880630     2.0
19880701 19880731    28.0
19880801 19880831     5.0
19880901 19880930     0.0
19881001 19881031     0.0
19881101 19881130     0.0
19881201 19881231    78.0
19890101 19890131     3.0
19890201 19890228     0.0
19890301 19890331   336.2
19890401 19890430     5.6
19890501 19890531     5.0
19890601 19890630    14.8
19890701 19890731     7.2
19890801 19890831     0.0
19890901 19890930     0.0
19891001 19891031     0.0
19891101 19891130    37.0
19891201 19891231    16.2
19900101 19900131    19.0
19900201 19900228     0.0
19900301 19900331     0.0
19900401 19900430     0.0
19900501 19900531    14.0
19900601 19900630     0.0
19900701 19900731     2.0
19900801 19900831     5.2
19900901 19900930     0.0
19901001 19901031     1.0
19901101 19901130     0.0
19901201 19901231    11.0
19910101 19910131     5.0
19910201 19910228     0.0
19910301 19910331    10.0
19910401 19910430     0.0
19910501 19910531     0.0
19910601 19910630    22.4
19910701 19910731     0.0
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031     0.0
19911101 19911130     2.4
19911201 19911231     0.2
19920101 19920131     0.0
19920201 19920229    81.2
19920301 19920331     0.0
19920401 19920430    25.8
19920501 19920531     0.0
19920601 19920630     1.0
19920701 19920731     0.0
19920801 19920831    46.6
19920901 19920930    24.0
19921001 19921031    21.4
19921101 19921130    13.0
19921201 19921231    14.0
19930101 19930131    10.0
19930201 19930228     0.0
19930301 19930331     0.0
19930401 19930430     0.0
19930501 19930531    17.0
19930601 19930630     0.0
19930701 19930731    43.0
19930801 19930831     0.0
19930901 19930930     8.0
19931001 19931031    80.0
19931101 19931130     0.0
19931201 19931231     0.0
19940101 19940131    10.0
19940201 19940228     6.0
19940301 19940331    24.0
19940401 19940430     0.0
19940501 19940531     2.0
19940601 19940630    29.0
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     2.0
19941001 19941031     0.0
19941101 19941130     0.0
19941201 19941231     2.0
19950101 19950131    93.0
19950201 19950228    10.0
19950301 19950331     0.0
19950401 19950430     1.4
19950501 19950531     4.0
19950601 19950630    22.4
19950701 19950731     2.4
19950801 19950831     0.0
19950901 19950930     4.0
19951001 19951031    24.2
19951101 19951130    41.2
19951201 19951231     0.0
19960101 19960131     0.0
19960201 19960229     0.0
19960301 19960331     0.0
19960401 19960430     0.0
19960501 19960531     1.0
19960601 19960630    17.0
19960701 19960731    21.0
19960801 19960831    11.0
19960901 19960930     9.8
19961001 19961031     1.0
19961101 19961130     0.0
19961201 19961231    10.6
19970101 19970131    25.0
19970201 19970228   146.4
19970301 19970331     0.0
19970401 19970430     0.0
19970501 19970531     9.4
19970601 19970630     0.0
19970701 19970731     0.0
19970801 19970831    11.0
19970901 19970930    12.0
19971001 19971031     3.2
19971101 19971130     9.0
19971201 19971231    11.2
19980101 19980131    32.0
19980201 19980228     5.2
19980301 19980331     0.0
19980401 19980430    17.4
19980501 19980531     4.5
19980601 19980630     3.9
19980701 19980731    56.3
19980801 19980831     3.8
19980901 19980930    30.1
19981001 19981031    22.2
19981101 19981130    15.0
19981201 19981231     4.4
19990101 19990131     0.0
19990201 19990228     0.0
19990301 19990331    45.4
19990401 19990430     0.0
19990501 19990531     0.0
19990601 19990630     0.0
19990701 19990731     0.0
19990801 19990831     2.8
19990901 19990930     3.2
19991001 19991031    16.4
19991101 19991130     6.4
19991201 19991231    25.5
20000101 20000131     0.0
20000201 20000229   146.0
20000301 20000331     7.4
20000401 20000430    17.0
20000501 20000531     2.6
20000601 20000630     0.6
20000701 20000731     5.8
20000801 20000831     4.8
20000901 20000930     1.2
20001001 20001031     6.8
20001101 20001130    12.1
20001201 20001231     5.0
20010101 20010131     0.0
20010201 20010228     0.0
20010301 20010331     1.2
20010401 20010430     6.0
20010501 20010531     0.2
20010601 20010630    62.7
20010701 20010731    11.5
20010801 20010831     0.5
20010901 20010930     2.8
20011001 20011031    47.0
20011101 20011130    16.6
20011201 20011231    24.4
20020101 20020131     0.0
20020201 20020228    10.0
20020301 20020331     0.0
20020401 20020430     0.0
20020501 20020531     0.0
20020601 20020630     0.0
20020701 20020731     0.0
20020801 20020831     0.0
20020901 20020930     0.0
20021001 20021031     7.0
20021101 20021130     9.0
20021201 20021231     0.0
20030101 20030131     0.0
20030201 20030228    37.0
20030301 20030331     0.0
20030401 20030430    18.5
20030501 20030531     0.0
20030601 20030630     0.0
20030701 20030731     0.0
20030801 20030831    16.0
20030901 20030930     0.0
20031001 20031031     0.0
20031101 20031130    10.0
20031201 20031231    21.0
20040101 20040131     0.0
20040201 20040229    18.5
20040301 20040331     0.0
20040401 20040430     0.0
20040501 20040531 99999.9
20040601 20040630 99999.9
20040701 20040731     0.0
20040801 20040831     0.0
20040901 20040930 99999.9
20041001 20041031 99999.9
20041101 20041130     0.0
20041201 20041231 99999.9
20050101 20050131     0.0
20050201 20050228    15.0
20050301 20050331     0.0
20050401 20050430     0.0
20050501 20050531     0.0
20050601 20050630    10.8
20050701 20050731    30.0
20050801 20050831     0.0
20050901 20050930     0.0
20051001 20051031 99999.9
