PRCP       035070 18850101 20180131 missing_value=99999.9 TAROOM POST OFFICE                        
19501101 19501130   208.5
19501201 19501231    39.4
19510101 19510131   107.7
19510201 19510228    85.8
19510301 19510331    22.1
19510401 19510430    12.9
19510501 19510531     5.1
19510601 19510630     3.5
19510701 19510731     5.8
19510801 19510831     6.6
19510901 19510930    26.9
19511001 19511031    36.8
19511101 19511130     7.1
19511201 19511231    38.1
19520101 19520131    40.0
19520201 19520229    62.5
19520301 19520331   101.6
19520401 19520430    61.9
19520501 19520531    64.4
19520601 19520630    50.0
19520701 19520731    17.2
19520801 19520831    44.2
19520901 19520930    25.4
19521001 19521031    69.8
19521101 19521130    29.5
19521201 19521231    43.3
19530101 19530131   127.2
19530201 19530228    94.3
19530301 19530331    51.8
19530401 19530430    18.0
19530501 19530531     9.6
19530601 19530630     0.0
19530701 19530731     1.3
19530801 19530831    83.1
19530901 19530930     0.0
19531001 19531031    99.6
19531101 19531130    60.6
19531201 19531231    25.6
19540101 19540131   113.5
19540201 19540228   421.1
19540301 19540331     5.6
19540401 19540430    24.7
19540501 19540531    20.1
19540601 19540630    13.7
19540701 19540731   240.8
19540801 19540831    96.3
19540901 19540930    37.1
19541001 19541031    47.1
19541101 19541130   104.7
19541201 19541231    69.6
19550101 19550131    79.0
19550201 19550228   167.0
19550301 19550331    41.2
19550401 19550430    96.6
19550501 19550531   157.1
19550601 19550630    12.0
19550701 19550731    50.5
19550801 19550831     4.8
19550901 19550930    14.7
19551001 19551031    73.7
19551101 19551130     9.4
19551201 19551231    72.4
19560101 19560131   231.2
19560201 19560229   166.8
19560301 19560331   130.6
19560401 19560430    35.8
19560501 19560531    68.6
19560601 19560630    71.4
19560701 19560731    52.7
19560801 19560831     9.7
19560901 19560930    42.4
19561001 19561031    33.2
19561101 19561130    75.8
19561201 19561231   234.1
19570101 19570131    53.6
19570201 19570228    16.0
19570301 19570331    53.5
19570401 19570430    22.9
19570501 19570531     1.8
19570601 19570630    30.5
19570701 19570731    75.3
19570801 19570831    22.1
19570901 19570930     2.5
19571001 19571031    35.5
19571101 19571130    33.7
19571201 19571231    14.3
19580101 19580131   103.7
19580201 19580228    65.9
19580301 19580331    54.3
19580401 19580430    45.4
19580501 19580531    10.7
19580601 19580630   100.8
19580701 19580731     3.8
19580801 19580831    19.5
19580901 19580930     2.1
19581001 19581031    62.5
19581101 19581130    19.3
19581201 19581231   133.8
19590101 19590131    92.2
19590201 19590228   161.7
19590301 19590331    29.7
19590401 19590430     3.8
19590501 19590531    43.2
19590601 19590630     0.0
19590701 19590731    35.5
19590801 19590831     0.8
19590901 19590930    14.7
19591001 19591031   126.5
19591101 19591130    44.7
19591201 19591231   134.4
19600101 19600131   123.6
19600201 19600229   156.6
19600301 19600331    39.6
19600401 19600430    34.0
19600501 19600531    83.0
19600601 19600630    21.8
19600701 19600731    25.7
19600801 19600831    26.4
19600901 19600930     6.1
19601001 19601031     9.7
19601101 19601130   148.3
19601201 19601231    29.0
19610101 19610131    26.0
19610201 19610228   258.9
19610301 19610331    67.5
19610401 19610430    19.8
19610501 19610531    24.6
19610601 19610630     4.8
19610701 19610731    46.0
19610801 19610831    24.6
19610901 19610930    16.0
19611001 19611031    44.2
19611101 19611130   213.0
19611201 19611231    93.2
19620101 19620131   187.7
19620201 19620228    49.5
19620301 19620331   160.0
19620401 19620430    76.1
19620501 19620531    16.1
19620601 19620630    28.9
19620701 19620731    55.0
19620801 19620831    19.6
19620901 19620930    23.3
19621001 19621031    21.8
19621101 19621130    56.2
19621201 19621231   122.8
19630101 19630131    87.0
19630201 19630228    25.2
19630301 19630331   141.5
19630401 19630430    13.2
19630501 19630531    15.3
19630601 19630630    37.1
19630701 19630731     0.8
19630801 19630831    80.4
19630901 19630930     0.8
19631001 19631031     5.6
19631101 19631130    76.4
19631201 19631231    67.1
19640101 19640131    17.4
19640201 19640229    55.7
19640301 19640331    48.5
19640401 19640430    19.1
19640501 19640531    62.2
19640601 19640630     5.5
19640701 19640731    42.0
19640801 19640831    11.2
19640901 19640930    89.3
19641001 19641031    66.3
19641101 19641130    20.9
19641201 19641231   121.4
19650101 19650131    92.1
19650201 19650228     7.1
19650301 19650331     4.8
19650401 19650430    49.0
19650501 19650531    34.5
19650601 19650630    15.3
19650701 19650731    49.1
19650801 19650831     9.4
19650901 19650930    41.1
19651001 19651031    27.4
19651101 19651130    28.3
19651201 19651231   129.9
19660101 19660131    85.6
19660201 19660228    53.3
19660301 19660331    40.6
19660401 19660430     7.6
19660501 19660531     7.2
19660601 19660630    45.1
19660701 19660731    18.3
19660801 19660831   121.8
19660901 19660930    22.1
19661001 19661031    61.9
19661101 19661130    19.8
19661201 19661231    52.5
19670101 19670131   137.0
19670201 19670228    15.4
19670301 19670331   114.4
19670401 19670430     2.5
19670501 19670531    50.5
19670601 19670630   104.0
19670701 19670731    11.9
19670801 19670831    22.4
19670901 19670930     1.3
19671001 19671031    46.3
19671101 19671130    31.8
19671201 19671231   127.9
19680101 19680131   163.4
19680201 19680229   132.0
19680301 19680331    73.9
19680401 19680430    58.1
19680501 19680531    33.0
19680601 19680630     2.1
19680701 19680731    45.2
19680801 19680831    28.9
19680901 19680930    33.3
19681001 19681031     0.0
19681101 19681130     7.9
19681201 19681231    53.1
19690101 19690131    52.8
19690201 19690228     6.4
19690301 19690331    25.1
19690401 19690430    12.7
19690501 19690531    62.8
19690601 19690630    50.3
19690701 19690731     8.9
19690801 19690831    10.7
19690901 19690930    15.5
19691001 19691031   228.7
19691101 19691130   132.1
19691201 19691231    76.9
19700101 19700131    93.6
19700201 19700228    34.9
19700301 19700331    60.7
19700401 19700430    11.2
19700501 19700531     3.8
19700601 19700630    22.4
19700701 19700731     0.0
19700801 19700831     8.6
19700901 19700930    46.7
19701001 19701031    26.2
19701101 19701130   116.1
19701201 19701231   380.9
19710101 19710131   104.7
19710201 19710228   238.7
19710301 19710331    10.9
19710401 19710430     9.4
19710501 19710531     4.8
19710601 19710630     7.1
19710701 19710731    18.5
19710801 19710831    76.1
19710901 19710930    24.8
19711001 19711031    34.8
19711101 19711130    45.1
19711201 19711231   100.8
19720101 19720131   207.5
19720201 19720229    46.5
19720301 19720331    28.4
19720401 19720430    33.8
19720501 19720531    49.0
19720601 19720630    36.8
19720701 19720731     1.0
19720801 19720831    11.8
19720901 19720930     0.0
19721001 19721031   126.8
19721101 19721130    77.7
19721201 19721231    36.3
19730101 19730131    74.1
19730201 19730228    68.5
19730301 19730331    42.7
19730401 19730430     0.0
19730501 19730531    26.4
19730601 19730630    23.2
19730701 19730731   112.2
19730801 19730831    48.5
19730901 19730930   117.5
19731001 19731031    35.9
19731101 19731130   120.7
19731201 19731231   144.4
19740101 19740131   206.7
19740201 19740228     7.2
19740301 19740331    18.8
19740401 19740430    32.2
19740501 19740531    51.7
19740601 19740630    33.6
19740701 19740731    10.6
19740801 19740831    71.7
19740901 19740930    37.4
19741001 19741031    87.0
19741101 19741130   110.2
19741201 19741231    34.3
19750101 19750131    96.0
19750201 19750228    74.8
19750301 19750331    78.3
19750401 19750430     3.2
19750501 19750531     0.0
19750601 19750630    11.4
19750701 19750731    23.9
19750801 19750831    29.3
19750901 19750930    18.1
19751001 19751031    56.8
19751101 19751130   107.0
19751201 19751231   216.6
19760101 19760131    94.4
19760201 19760229   103.8
19760301 19760331    12.6
19760401 19760430     8.6
19760501 19760531    22.2
19760601 19760630     5.8
19760701 19760731    24.8
19760801 19760831     4.2
19760901 19760930    79.9
19761001 19761031    24.0
19761101 19761130   171.4
19761201 19761231   114.4
19770101 19770131    63.2
19770201 19770228    62.4
19770301 19770331   157.8
19770401 19770430    25.7
19770501 19770531    61.0
19770601 19770630     3.4
19770701 19770731     2.2
19770801 19770831     5.0
19770901 19770930     0.0
19771001 19771031    21.1
19771101 19771130    50.4
19771201 19771231     5.0
19780101 19780131   135.7
19780201 19780228    72.0
19780301 19780331    66.3
19780401 19780430    71.2
19780501 19780531    35.5
19780601 19780630    43.2
19780701 19780731    84.2
19780801 19780831    79.4
19780901 19780930    65.6
19781001 19781031    10.8
19781101 19781130    94.2
19781201 19781231    80.2
19790101 19790131    10.5
19790201 19790228    82.1
19790301 19790331   122.1
19790401 19790430    19.0
19790501 19790531    48.8
19790601 19790630    55.6
19790701 19790731    28.8
19790801 19790831    15.6
19790901 19790930    10.6
19791001 19791031    53.6
19791101 19791130   125.6
19791201 19791231   100.0
19800101 19800131    62.0
19800201 19800229   130.0
19800301 19800331    59.0
19800401 19800430     2.0
19800501 19800531    33.0
19800601 19800630     0.5
19800701 19800731    27.5
19800801 19800831     3.0
19800901 19800930     0.0
