PRCP       010536 19100101 20171231 missing_value=99999.9 CORRIGIN                                  
19940801 19940831    36.2
19940901 19940930    24.0
19941001 19941031    15.6
19941101 19941130     5.0
19941201 19941231     2.4
19950101 19950131    31.8
19950201 19950228     3.4
19950301 19950331    31.4
19950401 19950430    13.6
19950501 19950531    61.6
19950601 19950630    71.8
19950701 19950731    92.8
19950801 19950831    19.6
19950901 19950930    19.4
19951001 19951031    57.2
19951101 19951130     2.6
19951201 19951231    18.4
19960101 19960131     0.6
19960201 19960229     5.0
19960301 19960331     3.0
19960401 19960430    29.6
19960501 19960531    20.6
19960601 19960630    70.8
19960701 19960731    86.8
19960801 19960831    38.6
19960901 19960930    45.4
19961001 19961031    15.0
19961101 19961130    44.2
19961201 19961231     1.2
19970101 19970131     0.0
19970201 19970228    61.8
19970301 19970331    45.8
19970401 19970430    20.8
19970501 19970531    32.9
19970601 19970630    30.4
19970701 19970731    50.8
19970801 19970831    42.4
19970901 19970930    50.4
19971001 19971031    17.2
19971101 19971130     7.2
19971201 19971231     6.2
19980101 19980131     0.0
19980201 19980228     0.0
19980301 19980331    15.2
19980401 19980430    36.2
19980501 19980531    16.8
19980601 19980630    97.2
19980701 19980731    38.4
19980801 19980831    65.8
19980901 19980930    20.3
19981001 19981031     9.6
19981101 19981130    27.2
19981201 19981231    11.9
19990101 19990131    10.8
19990201 19990228     0.0
19990301 19990331    50.1
19990401 19990430    14.4
19990501 19990531    93.7
19990601 19990630    43.8
19990701 19990731    45.5
19990801 19990831    46.4
19990901 19990930    34.8
19991001 19991031    25.8
19991101 19991130     6.6
19991201 19991231    32.4
20000101 20000131   206.7
20000201 20000229     0.0
20000301 20000331    19.5
20000401 20000430    31.4
20000501 20000531     5.4
20000601 20000630    37.2
20000701 20000731    59.8
20000801 20000831    39.4
20000901 20000930     9.6
20001001 20001031     0.0
20001101 20001130     5.4
20001201 20001231     7.2
20010101 20010131    27.6
20010201 20010228    11.0
20010301 20010331     0.0
20010401 20010430     7.4
20010501 20010531    35.2
20010601 20010630     9.2
20010701 20010731    79.2
20010801 20010831    59.0
20010901 20010930    27.2
20011001 20011031    10.4
20011101 20011130    39.8
20011201 20011231    15.0
20020101 20020131    14.4
20020201 20020228     0.4
20020301 20020331     0.0
20020401 20020430    20.6
20020501 20020531    10.6
20020601 20020630    40.6
20020701 20020731    50.6
20020801 20020831    32.2
20020901 20020930    16.0
20021001 20021031    23.2
20021101 20021130    24.4
20021201 20021231    28.0
20030101 20030131     0.0
20030201 20030228    76.6
20030301 20030331    21.2
20030401 20030430    33.2
20030501 20030531    77.8
20030601 20030630    44.2
20030701 20030731    49.6
20030801 20030831    58.0
20030901 20030930    36.0
20031001 20031031    15.8
20031101 20031130     6.0
20031201 20031231    18.8
20040101 20040131     2.6
20040201 20040229    27.6
20040301 20040331     4.6
20040401 20040430    12.2
20040501 20040531    38.4
20040601 20040630    64.2
20040701 20040731    39.0
20040801 20040831    74.6
20040901 20040930    16.2
20041001 20041031    35.0
20041101 20041130    10.4
20041201 20041231    36.4
20050101 20050131     0.0
20050201 20050228     0.4
20050301 20050331    30.2
20050401 20050430    19.6
20050501 20050531    71.6
20050601 20050630    98.8
20050701 20050731    20.6
20050801 20050831    40.0
20050901 20050930    33.6
20051001 20051031    15.0
20051101 20051130    10.6
