PRCP       037051 18840101 20120531 missing_value=99999.9 WINTON POST OFFICE                        
19620101 19620131    63.6
19620201 19620228    23.7
19620301 19620331    33.1
19620401 19620430    15.5
19620501 19620531    23.4
19620601 19620630    14.5
19620701 19620731     6.3
19620801 19620831     0.0
19620901 19620930    34.6
19621001 19621031    11.4
19621101 19621130    34.3
19621201 19621231   103.2
19630101 19630131    16.2
19630201 19630228    29.0
19630301 19630331   218.3
19630401 19630430    90.7
19630501 19630531     4.8
19630601 19630630     0.0
19630701 19630731     0.0
19630801 19630831     6.6
19630901 19630930     0.0
19631001 19631031     1.5
19631101 19631130     0.3
19631201 19631231    27.2
19640101 19640131    44.4
19640201 19640229    60.7
19640301 19640331    79.6
19640401 19640430    11.2
19640501 19640531     0.8
19640601 19640630     5.6
19640701 19640731     1.6
19640801 19640831     0.0
19640901 19640930    24.4
19641001 19641031    44.4
19641101 19641130     7.1
19641201 19641231    28.7
19650101 19650131     5.3
19650201 19650228     6.3
19650301 19650331    67.4
19650401 19650430    43.7
19650501 19650531     0.0
19650601 19650630     0.0
19650701 19650731     0.0
19650801 19650831     0.0
19650901 19650930     1.0
19651001 19651031     1.3
19651101 19651130     0.0
19651201 19651231    45.3
19660101 19660131   100.0
19660201 19660228    11.9
19660301 19660331     3.6
19660401 19660430     0.0
19660501 19660531     1.5
19660601 19660630     0.8
19660701 19660731     0.0
19660801 19660831    31.3
19660901 19660930     0.0
19661001 19661031     0.0
19661101 19661130    41.4
19661201 19661231     4.1
19670101 19670131     2.3
19670201 19670228    64.5
19670301 19670331    77.2
19670401 19670430     0.0
19670501 19670531     0.5
19670601 19670630    54.3
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     4.6
19671101 19671130     5.7
19671201 19671231    13.0
19680101 19680131     1.0
19680201 19680229   163.9
19680301 19680331     0.0
19680401 19680430    63.3
19680501 19680531    97.8
19680601 19680630     0.0
19680701 19680731     5.1
19680801 19680831     0.0
19680901 19680930     1.0
19681001 19681031     0.0
19681101 19681130     7.6
19681201 19681231    24.4
19690101 19690131     4.3
19690201 19690228    13.2
19690301 19690331    14.8
19690401 19690430     6.6
19690501 19690531    39.7
19690601 19690630     0.0
19690701 19690731     2.0
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031     6.4
19691101 19691130     3.8
19691201 19691231    66.3
19700101 19700131     2.8
19700201 19700228   100.9
19700301 19700331    16.5
19700401 19700430    19.6
19700501 19700531     0.0
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930    18.6
19701001 19701031     6.9
19701101 19701130    86.9
19701201 19701231    48.2
19710101 19710131    46.6
19710201 19710228    18.1
19710301 19710331    99.6
19710401 19710430    95.5
19710501 19710531     0.0
19710601 19710630    10.9
19710701 19710731    32.0
19710801 19710831    28.5
19710901 19710930     4.3
19711001 19711031    78.5
19711101 19711130    27.2
19711201 19711231   115.8
19720101 19720131    91.9
19720201 19720229    14.2
19720301 19720331   114.9
19720401 19720430     0.0
19720501 19720531    22.9
19720601 19720630     1.8
19720701 19720731     0.0
19720801 19720831     1.8
19720901 19720930     0.0
19721001 19721031     0.0
19721101 19721130    19.9
19721201 19721231    24.7
19730101 19730131    51.9
19730201 19730228   288.3
19730301 19730331   245.2
19730401 19730430    16.5
19730501 19730531    14.7
19730601 19730630     2.0
19730701 19730731     7.4
19730801 19730831     1.3
19730901 19730930    28.3
19731001 19731031    13.5
19731101 19731130    44.3
19731201 19731231    53.2
19740101 19740131   562.8
19740201 19740228   108.6
19740301 19740331    37.4
19740401 19740430   186.2
19740501 19740531    44.6
19740601 19740630     1.4
19740701 19740731     0.0
19740801 19740831    26.2
19740901 19740930    13.0
19741001 19741031    11.2
19741101 19741130    16.2
19741201 19741231    78.5
19750101 19750131   160.6
19750201 19750228    77.8
19750301 19750331    61.4
19750401 19750430     0.0
19750501 19750531     0.0
19750601 19750630     1.6
19750701 19750731     0.0
19750801 19750831    10.3
19750901 19750930    13.0
19751001 19751031    49.6
19751101 19751130     0.8
19751201 19751231    78.4
19760101 19760131   126.4
19760201 19760229   349.5
19760301 19760331    38.6
19760401 19760430     4.6
19760501 19760531     1.0
19760601 19760630     0.0
