PRCP       082001 18760101 20180131 missing_value=99999.9 BEECHWORTH COMPOSITE                      
19510401 19510430   112.0
19510501 19510531   169.4
19510601 19510630   129.0
19510701 19510731   185.1
19510801 19510831   138.2
19510901 19510930    79.5
19511001 19511031   114.5
19511101 19511130    42.8
19511201 19511231    34.5
19520101 19520131    10.9
19520201 19520229     4.7
19520301 19520331    64.6
19520401 19520430   129.5
19520501 19520531   177.8
19520601 19520630   198.5
19520701 19520731    97.9
19520801 19520831    82.4
19520901 19520930   126.9
19521001 19521031   150.1
19521101 19521130   130.8
19521201 19521231   107.9
19530101 19530131    52.1
19530201 19530228    20.4
19530301 19530331     5.8
19530401 19530430    43.2
19530501 19530531   101.9
19530601 19530630   153.8
19530701 19530731   133.0
19530801 19530831   157.5
19530901 19530930   149.2
19531001 19531031   104.7
19531101 19531130    74.0
19531201 19531231    16.6
19540101 19540131    88.3
19540201 19540228    13.0
19540301 19540331     7.9
19540401 19540430    87.3
19540501 19540531    52.3
19540601 19540630    63.9
19540701 19540731    67.5
19540801 19540831    93.0
19540901 19540930    46.0
19541001 19541031    87.3
19541101 19541130   186.5
19541201 19541231   135.7
19550101 19550131    61.2
19550201 19550228   160.5
19550301 19550331    62.7
19550401 19550430    20.2
19550501 19550531    63.3
19550601 19550630   132.5
19550701 19550731   140.2
19550801 19550831   181.7
19550901 19550930   112.8
19551001 19551031   155.4
19551101 19551130    76.0
19551201 19551231    52.5
19560101 19560131    94.2
19560201 19560229    33.4
19560301 19560331   149.6
19560401 19560430   208.5
19560501 19560531   218.6
19560601 19560630   186.9
19560701 19560731   216.9
19560801 19560831    93.0
19560901 19560930   103.2
19561001 19561031   141.2
19561101 19561130    52.8
19561201 19561231    22.6
19570101 19570131     1.8
19570201 19570228    40.1
19570301 19570331    73.2
19570401 19570430    39.4
19570501 19570531    27.4
19570601 19570630   160.4
19570701 19570731    92.7
19570801 19570831    51.3
19570901 19570930    56.0
19571001 19571031    99.9
19571101 19571130    24.3
19571201 19571231   118.8
19580101 19580131    12.7
19580201 19580228    57.1
19580301 19580331    55.4
19580401 19580430    14.2
19580501 19580531   169.7
19580601 19580630    25.1
19580701 19580731   179.4
19580801 19580831   208.7
19580901 19580930    73.2
19581001 19581031   171.3
19581101 19581130    85.9
19581201 19581231    34.8
19590101 19590131    15.2
19590201 19590228    52.1
19590301 19590331    50.6
19590401 19590430   175.5
19590501 19590531    20.3
19590601 19590630    60.9
19590701 19590731    47.3
19590801 19590831    82.5
19590901 19590930    81.1
19591001 19591031    90.9
19591101 19591130    28.9
19591201 19591231    15.6
19600101 19600131    99.9
19600201 19600229    30.8
19600301 19600331    31.6
19600401 19600430    99.4
19600501 19600531   233.3
19600601 19600630    46.5
19600701 19600731   143.9
19600801 19600831   111.8
19600901 19600930   141.8
19601001 19601031    42.8
19601101 19601130    99.0
19601201 19601231    61.8
19610101 19610131    13.5
19610201 19610228    23.6
19610301 19610331    33.5
19610401 19610430   112.9
19610501 19610531    25.2
19610601 19610630    86.6
19610701 19610731   100.7
19610801 19610831    92.4
19610901 19610930    37.2
19611001 19611031    56.8
19611101 19611130   100.0
19611201 19611231    82.9
19620101 19620131   106.9
19620201 19620228     3.1
19620301 19620331    58.6
19620401 19620430    63.6
19620501 19620531   185.2
19620601 19620630   123.1
19620701 19620731    62.5
19620801 19620831   109.7
19620901 19620930    69.1
19621001 19621031    97.9
19621101 19621130    36.2
19621201 19621231    58.2
19630101 19630131   108.9
19630201 19630228    33.3
19630301 19630331    42.5
19630401 19630430    22.4
19630501 19630531   129.4
19630601 19630630   138.4
19630701 19630731   123.9
19630801 19630831   139.3
19630901 19630930    96.2
19631001 19631031    92.2
19631101 19631130    39.6
19631201 19631231    25.8
19640101 19640131    13.5
19640201 19640229    24.2
19640301 19640331    48.5
19640401 19640430    89.3
19640501 19640531    53.6
19640601 19640630   158.9
19640701 19640731   197.7
19640801 19640831    79.5
19640901 19640930   169.2
19641001 19641031   159.5
