PRCP       014902 18900701 20180131 missing_value=99999.9 KATHERINE COUNCIL                         
19450301 19450331   114.9
19450401 19450430    28.0
19450501 19450531     0.0
19450601 19450630     0.0
19450701 19450731     0.0
19450801 19450831     0.0
19450901 19450930     0.0
19451001 19451031     9.2
19451101 19451130    32.1
19451201 19451231   370.7
19460101 19460131   221.6
19460201 19460228   279.9
19460301 19460331     2.3
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     0.0
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     4.6
19461101 19461130     8.9
19461201 19461231   123.1
19470101 19470131   183.6
19470201 19470228   306.3
19470301 19470331   184.6
19470401 19470430     0.0
19470501 19470531     0.0
19470601 19470630     1.3
19470701 19470731     0.0
19470801 19470831    19.3
19470901 19470930     9.6
19471001 19471031    22.6
19471101 19471130    67.0
19471201 19471231   168.8
19480101 19480131   162.9
19480201 19480229   191.8
19480301 19480331   131.0
19480401 19480430    78.0
19480501 19480531     0.0
19480601 19480630     0.0
19480701 19480731     0.0
19480801 19480831     0.0
19480901 19480930    22.9
19481001 19481031     5.1
19481101 19481130    36.1
19481201 19481231   166.4
19490101 19490131   120.2
19490201 19490228   246.3
19490301 19490331   222.1
19490401 19490430     0.0
19490501 19490531     0.0
19490601 19490630     0.0
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930     0.0
19491001 19491031     0.0
19491101 19491130    78.3
19491201 19491231   329.1
19500101 19500131   226.0
19500201 19500228   192.6
19500301 19500331   138.9
19500401 19500430     4.6
19500501 19500531     0.0
19500601 19500630     0.0
19500701 19500731     0.0
19500801 19500831     0.0
19500901 19500930    27.7
19501001 19501031   142.0
19501101 19501130    80.3
19501201 19501231   250.1
19510101 19510131   364.5
19510201 19510228   254.9
19510301 19510331    79.8
19510401 19510430     0.0
19510501 19510531     0.0
19510601 19510630     0.0
19510701 19510731     0.0
19510801 19510831     0.5
19510901 19510930     0.0
19511001 19511031     7.6
19511101 19511130    30.7
19511201 19511231    57.8
19520101 19520131   198.1
19520201 19520229    44.9
19520301 19520331    24.1
19520401 19520430     0.3
19520501 19520531     0.0
19520601 19520630     0.0
19520701 19520731     0.0
19520801 19520831     0.0
19520901 19520930     0.0
19521001 19521031     4.6
19521101 19521130    63.3
19521201 19521231   104.2
19530101 19530131   183.8
19530201 19530228   176.1
19530301 19530331    78.5
19530401 19530430   212.9
19530501 19530531     0.0
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831     0.0
19530901 19530930     5.1
19531001 19531031     0.3
19531101 19531130   166.0
19531201 19531231   182.5
19540101 19540131   389.7
19540201 19540228   190.5
19540301 19540331    97.4
19540401 19540430    76.7
19540501 19540531     0.0
19540601 19540630     0.0
19540701 19540731     0.0
19540801 19540831     0.0
19540901 19540930     0.0
19541001 19541031   148.8
19541101 19541130    87.2
19541201 19541231   238.6
19550101 19550131   128.1
19550201 19550228   219.1
19550301 19550331   116.4
19550401 19550430     7.1
19550501 19550531    47.8
19550601 19550630     7.7
19550701 19550731     3.6
19550801 19550831     0.0
19550901 19550930     0.0
19551001 19551031    75.7
19551101 19551130   125.1
19551201 19551231    68.0
19560101 19560131   113.4
19560201 19560229   286.8
19560301 19560331    91.5
19560401 19560430    36.5
19560501 19560531    26.4
19560601 19560630     0.0
19560701 19560731     8.4
19560801 19560831     0.0
19560901 19560930     9.1
19561001 19561031    50.8
19561101 19561130    69.4
19561201 19561231   308.7
19570101 19570131   190.9
19570201 19570228   255.8
19570301 19570331   463.2
19570401 19570430     6.1
19570501 19570531     0.0
19570601 19570630     0.0
19570701 19570731     0.0
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031    16.2
19571101 19571130    77.3
19571201 19571231   391.1
19580101 19580131   148.4
19580201 19580228    57.6
19580301 19580331   147.5
19580401 19580430   101.8
19580501 19580531     1.8
19580601 19580630     0.0
19580701 19580731     0.0
19580801 19580831     0.0
19580901 19580930     0.0
19581001 19581031    31.0
19581101 19581130    48.2
19581201 19581231   156.2
19590101 19590131   263.2
19590201 19590228    72.9
19590301 19590331    90.4
19590401 19590430   178.6
19590501 19590531    20.8
19590601 19590630     0.0
19590701 19590731     0.0
19590801 19590831     0.0
19590901 19590930     0.0
19591001 19591031    21.3
19591101 19591130    27.5
19591201 19591231    53.9
19600101 19600131   319.3
19600201 19600229   289.6
19600301 19600331   216.2
19600401 19600430    44.3
19600501 19600531    34.3
19600601 19600630     0.0
19600701 19600731     0.0
19600801 19600831     0.0
19600901 19600930     3.3
19601001 19601031    10.9
19601101 19601130   171.1
19601201 19601231   167.9
19610101 19610131   105.6
19610201 19610228   206.0
19610301 19610331    23.9
19610401 19610430   118.3
19610501 19610531     0.0
19610601 19610630     0.0
19610701 19610731     0.0
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031     2.8
19611101 19611130    25.7
19611201 19611231    42.8
19620101 19620131   241.8
19620201 19620228   158.8
19620301 19620331    30.3
19620401 19620430     0.0
19620501 19620531     0.0
19620601 19620630     0.0
19620701 19620731     0.0
19620801 19620831     0.0
19620901 19620930     0.0
19621001 19621031     0.8
19621101 19621130   125.8
19621201 19621231    60.9
19630101 19630131   477.5
19630201 19630228   136.7
19630301 19630331    68.3
19630401 19630430   180.1
19630501 19630531     0.8
19630601 19630630     0.0
19630701 19630731     0.0
19630801 19630831     0.0
19630901 19630930     0.0
19631001 19631031    45.5
19631101 19631130     4.8
19631201 19631231   127.7
19640101 19640131   204.8
19640201 19640229   104.5
19640301 19640331   197.3
19640401 19640430    16.5
19640501 19640531     1.5
19640601 19640630     0.0
19640701 19640731     0.0
19640801 19640831     0.0
19640901 19640930     0.0
19641001 19641031    98.7
19641101 19641130   213.5
19641201 19641231   188.2
19650101 19650131    98.1
19650201 19650228    26.8
19650301 19650331   221.4
19650401 19650430     0.0
19650501 19650531    14.5
19650601 19650630     0.0
19650701 19650731     0.0
19650801 19650831     0.0
19650901 19650930     0.0
19651001 19651031    30.2
19651101 19651130     4.3
19651201 19651231   176.8
19660101 19660131   241.1
19660201 19660228   225.8
19660301 19660331    48.3
19660401 19660430     0.0
19660501 19660531     1.5
19660601 19660630     0.0
19660701 19660731     0.0
19660801 19660831     0.0
19660901 19660930    29.0
19661001 19661031    32.8
19661101 19661130   140.3
19661201 19661231   132.3
19670101 19670131   207.9
19670201 19670228   400.5
19670301 19670331   217.4
19670401 19670430     0.0
19670501 19670531     0.0
19670601 19670630     0.0
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     0.0
19671101 19671130   103.6
19671201 19671231   154.9
19680101 19680131   367.2
19680201 19680229   443.6
19680301 19680331   175.6
19680401 19680430     7.4
19680501 19680531    40.4
19680601 19680630     0.0
19680701 19680731    48.0
19680801 19680831     0.0
19680901 19680930     1.5
19681001 19681031     3.1
19681101 19681130    86.2
19681201 19681231   109.0
19690101 19690131   220.4
19690201 19690228   430.2
19690301 19690331   157.7
19690401 19690430     0.0
19690501 19690531     0.0
19690601 19690630     1.8
19690701 19690731     0.0
19690801 19690831     0.0
19690901 19690930     2.0
19691001 19691031    87.2
19691101 19691130     4.3
19691201 19691231   266.3
19700101 19700131    75.4
19700201 19700228   132.6
19700301 19700331    11.6
19700401 19700430    68.9
19700501 19700531     0.5
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930     0.5
19701001 19701031    14.5
19701101 19701130   159.5
19701201 19701231    93.2
19710101 19710131   163.1
19710201 19710228   269.4
19710301 19710331   309.1
19710401 19710430    89.0
19710501 19710531     4.3
19710601 19710630     0.0
19710701 19710731     0.0
19710801 19710831    11.4
19710901 19710930    23.9
19711001 19711031    28.1
19711101 19711130    87.6
19711201 19711231   277.8
19720101 19720131    50.9
19720201 19720229   272.7
19720301 19720331   237.2
19720401 19720430    79.7
19720501 19720531     8.6
19720601 19720630     0.0
19720701 19720731     0.0
19720801 19720831     0.0
19720901 19720930     0.0
19721001 19721031     0.5
19721101 19721130    47.0
19721201 19721231    50.5
19730101 19730131   323.2
19730201 19730228   180.4
19730301 19730331   210.7
19730401 19730430     4.8
19730501 19730531     0.0
19730601 19730630    50.1
19730701 19730731     0.0
19730801 19730831     0.0
19730901 19730930    31.5
19731001 19731031    12.0
19731101 19731130   134.6
19731201 19731231   101.0
19740101 19740131   209.3
19740201 19740228   350.5
19740301 19740331   467.8
19740401 19740430    53.8
19740501 19740531     0.0
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831     3.4
19740901 19740930    12.2
19741001 19741031    48.6
19741101 19741130    57.5
19741201 19741231    74.2
19750101 19750131   384.7
19750201 19750228   293.8
19750301 19750331    66.0
19750401 19750430   114.5
19750501 19750531     0.0
19750601 19750630     0.0
19750701 19750731     0.0
19750801 19750831     0.4
19750901 19750930    11.6
19751001 19751031   137.7
19751101 19751130    89.2
19751201 19751231   156.4
19760101 19760131   229.5
19760201 19760229   447.6
19760301 19760331   339.9
19760401 19760430     0.0
19760501 19760531     0.0
19760601 19760630     0.0
19760701 19760731     0.0
19760801 19760831     0.0
19760901 19760930     0.0
19761001 19761031    34.6
19761101 19761130    81.8
19761201 19761231   124.5
19770101 19770131   265.5
19770201 19770228   243.4
19770301 19770331   516.1
19770401 19770430     0.0
19770501 19770531     1.2
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     0.0
19771001 19771031    21.6
19771101 19771130    86.0
19771201 19771231   216.2
19780101 19780131   439.9
19780201 19780228   276.6
19780301 19780331    60.5
19780401 19780430     6.8
19780501 19780531     0.0
19780601 19780630     3.0
19780701 19780731    16.0
19780801 19780831     0.0
19780901 19780930     4.8
19781001 19781031    21.0
19781101 19781130   127.8
19781201 19781231   196.2
19790101 19790131   262.4
19790201 19790228   206.7
19790301 19790331   206.5
19790401 19790430     0.0
19790501 19790531     0.4
19790601 19790630     0.0
19790701 19790731     0.0
19790801 19790831     0.0
19790901 19790930    42.2
19791001 19791031    14.0
19791101 19791130    63.8
19791201 19791231   124.8
19800101 19800131   252.8
19800201 19800229   492.7
19800301 19800331   224.8
19800401 19800430     9.4
19800501 19800531    11.9
19800601 19800630     0.0
19800701 19800731     0.0
19800801 19800831     0.0
19800901 19800930     0.0
19801001 19801031    10.8
19801101 19801130    59.0
19801201 19801231   262.1
19810101 19810131   380.9
19810201 19810228   315.9
19810301 19810331    22.2
19810401 19810430     0.2
19810501 19810531     4.6
19810601 19810630    10.7
19810701 19810731     0.0
19810801 19810831     0.0
19810901 19810930    18.1
19811001 19811031    15.9
19811101 19811130   141.9
19811201 19811231   121.4
19820101 19820131   190.6
19820201 19820228   354.9
19820301 19820331   181.2
19820401 19820430     2.2
19820501 19820531     0.0
19820601 19820630     0.0
19820701 19820731     0.0
19820801 19820831     0.0
19820901 19820930     0.0
19821001 19821031     0.0
19821101 19821130    78.9
19821201 19821231   244.1
19830101 19830131    66.9
19830201 19830228   121.9
19830301 19830331   172.6
19830401 19830430    66.8
19830501 19830531     0.0
19830601 19830630     0.0
19830701 19830731     0.0
19830801 19830831     0.0
19830901 19830930     4.8
19831001 19831031    56.9
19831101 19831130   164.6
19831201 19831231   177.0
19840101 19840131   550.4
19840201 19840229   198.5
19840301 19840331   462.5
19840401 19840430     2.8
19840501 19840531     0.0
19840601 19840630     0.0
19840701 19840731     0.0
19840801 19840831     0.0
19840901 19840930     6.8
19841001 19841031    29.4
19841101 19841130   156.6
19841201 19841231   168.4
19850101 19850131   150.2
19850201 19850228 99999.9
19850301 19850331 99999.9
19850401 19850430 99999.9
19850501 19850531 99999.9
19850601 19850630 99999.9
19850701 19850731 99999.9
19850801 19850831 99999.9
19850901 19850930 99999.9
19851001 19851031 99999.9
19851101 19851130 99999.9
19851201 19851231   157.4
19860101 19860131   198.8
19860201 19860228    83.4
