PRCP       007007 18910101 20161130 missing_value=99999.9 BOOLARDY                                  
19420801 19420831     7.4
19420901 19420930     2.3
19421001 19421031     0.0
19421101 19421130     0.5
19421201 19421231     5.8
19430101 19430131     0.0
19430201 19430228    32.1
19430301 19430331    21.7
19430401 19430430     4.3
19430501 19430531    10.4
19430601 19430630    36.2
19430701 19430731     2.8
19430801 19430831     3.6
19430901 19430930     2.8
19431001 19431031     2.5
19431101 19431130     0.0
19431201 19431231     3.3
19440101 19440131     0.0
19440201 19440229     0.0
19440301 19440331     0.0
19440401 19440430     0.0
19440501 19440531    14.5
19440601 19440630     6.3
19440701 19440731    44.4
19440801 19440831    17.9
19440901 19440930     0.0
19441001 19441031     0.0
19441101 19441130     2.8
19441201 19441231     0.0
19450101 19450131     0.0
19450201 19450228   184.1
19450301 19450331     2.8
19450401 19450430     0.8
19450501 19450531    11.2
19450601 19450630    87.2
19450701 19450731     3.0
19450801 19450831    48.2
19450901 19450930     4.8
19451001 19451031     6.9
19451101 19451130    18.1
19451201 19451231     0.0
19460101 19460131     0.8
19460201 19460228     9.7
19460301 19460331    11.0
19460401 19460430    14.2
19460501 19460531     7.4
19460601 19460630    19.3
19460701 19460731    35.5
19460801 19460831    11.2
19460901 19460930     0.0
19461001 19461031     1.3
19461101 19461130     1.0
19461201 19461231     0.0
19470101 19470131     0.0
19470201 19470228    59.2
19470301 19470331    22.1
19470401 19470430     0.0
19470501 19470531    45.5
19470601 19470630    21.0
19470701 19470731    50.0
19470801 19470831    49.9
19470901 19470930     7.9
19471001 19471031    29.4
19471101 19471130     0.8
19471201 19471231     0.0
19480101 19480131     0.0
19480201 19480229    77.5
19480301 19480331    30.2
19480401 19480430     6.1
19480501 19480531     4.3
19480601 19480630    65.4
19480701 19480731    19.0
19480801 19480831    25.2
19480901 19480930     8.4
19481001 19481031     0.0
19481101 19481130    19.3
19481201 19481231     3.0
19490101 19490131     0.0
19490201 19490228    13.2
19490301 19490331     0.0
19490401 19490430     9.7
19490501 19490531     1.5
19490601 19490630    24.3
19490701 19490731    20.6
19490801 19490831    15.2
19490901 19490930    28.2
19491001 19491031     8.6
19491101 19491130     7.6
19491201 19491231     0.0
19500101 19500131     4.8
19500201 19500228     0.5
19500301 19500331     3.3
19500401 19500430     0.0
19500501 19500531   103.6
19500601 19500630    13.8
19500701 19500731    17.3
19500801 19500831     2.5
19500901 19500930     1.0
19501001 19501031     0.8
19501101 19501130     0.0
19501201 19501231     0.0
19510101 19510131    39.8
19510201 19510228    23.7
19510301 19510331     8.6
19510401 19510430    46.7
19510501 19510531     9.6
19510601 19510630   111.5
19510701 19510731    31.9
19510801 19510831     3.1
19510901 19510930     4.6
19511001 19511031     1.3
19511101 19511130     0.0
19511201 19511231     0.0
19520101 19520131     9.9
19520201 19520229    12.5
19520301 19520331    19.8
19520401 19520430     2.3
19520501 19520531    50.8
19520601 19520630     2.3
19520701 19520731    37.6
19520801 19520831     1.0
19520901 19520930     5.4
19521001 19521031     0.8
19521101 19521130     0.0
19521201 19521231     0.0
19530101 19530131     0.0
19530201 19530228     4.3
19530301 19530331   112.3
19530401 19530430     7.2
19530501 19530531    52.7
19530601 19530630    22.9
19530701 19530731    27.9
19530801 19530831    24.5
19530901 19530930     5.1
19531001 19531031    11.4
19531101 19531130     0.0
19531201 19531231    18.5
19540101 19540131    51.6
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430     5.1
19540501 19540531    19.5
19540601 19540630    15.3
19540701 19540731    15.8
19540801 19540831     7.9
19540901 19540930     0.5
19541001 19541031     0.0
19541101 19541130     2.6
19541201 19541231     3.3
19550101 19550131    55.2
19550201 19550228    57.0
19550301 19550331     4.3
19550401 19550430     4.0
19550501 19550531    11.3
19550601 19550630     6.6
19550701 19550731    25.2
19550801 19550831     9.1
19550901 19550930    19.8
19551001 19551031     4.8
19551101 19551130     0.0
