PRCP       022009 18791001 20171130 missing_value=99999.9 MINLATON                                  
19360101 19360131     4.1
19360201 19360229    20.6
19360301 19360331     3.0
19360401 19360430    21.0
19360501 19360531    35.4
19360601 19360630    54.8
19360701 19360731    48.9
19360801 19360831    49.4
19360901 19360930    13.2
19361001 19361031    49.9
19361101 19361130    20.0
19361201 19361231    21.5
19370101 19370131    35.1
19370201 19370228     8.6
19370301 19370331     9.2
19370401 19370430    26.2
19370501 19370531    59.6
19370601 19370630    50.2
19370701 19370731    34.3
19370801 19370831    67.1
19370901 19370930    55.7
19371001 19371031    14.0
19371101 19371130    53.7
19371201 19371231    63.2
19380101 19380131    13.5
19380201 19380228    34.9
19380301 19380331     8.9
19380401 19380430   116.1
19380501 19380531    11.0
19380601 19380630    37.1
19380701 19380731    39.5
19380801 19380831    88.0
19380901 19380930    13.8
19381001 19381031     7.8
19381101 19381130     5.4
19381201 19381231    21.6
19390101 19390131    35.8
19390201 19390228    63.7
19390301 19390331    18.0
19390401 19390430    33.4
19390501 19390531    38.6
19390601 19390630    46.9
19390701 19390731    34.2
19390801 19390831    81.6
19390901 19390930     9.8
19391001 19391031    27.3
19391101 19391130    67.1
19391201 19391231     3.6
19400101 19400131    16.1
19400201 19400229     5.2
19400301 19400331     7.9
19400401 19400430    51.1
19400501 19400531    29.5
19400601 19400630    20.4
19400701 19400731    86.1
19400801 19400831    38.2
19400901 19400930    25.5
19401001 19401031    19.3
19401101 19401130    32.2
19401201 19401231    12.8
19410101 19410131   120.4
19410201 19410228     8.1
19410301 19410331    31.3
19410401 19410430    19.9
19410501 19410531    34.8
19410601 19410630    22.0
19410701 19410731    64.4
19410801 19410831    39.6
19410901 19410930   106.1
19411001 19411031    37.7
19411101 19411130    13.7
19411201 19411231    16.3
19420101 19420131    45.5
19420201 19420228     4.5
19420301 19420331     4.6
19420401 19420430    17.3
19420501 19420531    79.6
19420601 19420630   124.3
19420701 19420731    67.1
19420801 19420831    79.5
19420901 19420930    75.6
19421001 19421031    35.9
19421101 19421130    25.4
19421201 19421231    13.9
19430101 19430131    10.9
19430201 19430228    37.7
19430301 19430331     1.0
19430401 19430430    37.3
19430501 19430531     9.7
19430601 19430630    57.5
19430701 19430731    74.9
19430801 19430831    64.3
19430901 19430930    40.6
19431001 19431031    32.1
19431101 19431130     5.8
19431201 19431231     3.0
19440101 19440131     1.3
19440201 19440229    14.6
19440301 19440331     2.0
19440401 19440430    63.0
19440501 19440531    76.9
19440601 19440630    16.4
19440701 19440731    37.9
19440801 19440831     4.2
19440901 19440930    19.6
19441001 19441031    33.3
19441101 19441130    40.2
19441201 19441231    14.9
19450101 19450131     8.6
19450201 19450228    13.1
19450301 19450331     6.1
19450401 19450430     2.5
19450501 19450531    26.0
19450601 19450630    45.0
19450701 19450731    42.3
19450801 19450831    68.7
19450901 19450930    57.3
19451001 19451031    32.7
19451101 19451130    60.5
19451201 19451231    32.8
19460101 19460131    28.0
19460201 19460228   179.6
19460301 19460331    25.4
19460401 19460430    11.2
19460501 19460531    50.8
19460601 19460630    50.1
19460701 19460731    71.7
19460801 19460831    49.8
19460901 19460930    23.1
19461001 19461031    22.8
19461101 19461130    37.4
19461201 19461231    45.7
19470101 19470131     3.1
19470201 19470228    13.0
19470301 19470331    42.6
19470401 19470430    31.9
19470501 19470531    30.8
19470601 19470630    46.6
19470701 19470731    90.1
19470801 19470831    65.6
19470901 19470930    58.8
19471001 19471031    73.8
19471101 19471130    22.4
19471201 19471231    16.8
19480101 19480131     2.9
19480201 19480229     2.3
19480301 19480331     8.9
19480401 19480430    56.8
19480501 19480531    36.9
19480601 19480630    30.0
19480701 19480731    39.9
19480801 19480831    70.8
19480901 19480930    11.0
19481001 19481031    68.0
19481101 19481130    21.2
19481201 19481231    26.9
19490101 19490131    10.2
19490201 19490228    39.9
19490301 19490331     0.5
19490401 19490430     2.3
19490501 19490531    34.5
19490601 19490630    20.8
19490701 19490731    65.3
19490801 19490831    24.0
19490901 19490930    20.6
19491001 19491031    85.3
19491101 19491130    53.4
19491201 19491231     5.8
19500101 19500131     2.5
19500201 19500228    11.9
19500301 19500331     1.0
19500401 19500430     9.2
19500501 19500531    50.6
19500601 19500630    48.7
19500701 19500731    41.9
19500801 19500831    66.4
19500901 19500930    33.8
19501001 19501031    66.2
19501101 19501130    18.3
19501201 19501231    25.7
19510101 19510131    24.9
19510201 19510228    18.6
19510301 19510331     1.0
19510401 19510430    31.3
19510501 19510531    81.5
19510601 19510630    84.1
19510701 19510731    81.1
19510801 19510831    68.6
19510901 19510930    12.7
19511001 19511031    86.3
19511101 19511130    13.2
19511201 19511231    29.8
19520101 19520131    19.1
19520201 19520229     6.1
19520301 19520331     2.0
19520401 19520430    30.3
19520501 19520531   133.1
19520601 19520630    55.3
19520701 19520731    50.6
19520801 19520831    52.9
19520901 19520930    33.0
19521001 19521031    26.2
19521101 19521130    61.7
19521201 19521231    15.1
19530101 19530131    10.7
19530201 19530228     6.9
19530301 19530331     5.6
19530401 19530430    20.7
19530501 19530531    21.9
19530601 19530630    93.9
19530701 19530731    72.1
19530801 19530831    48.3
19530901 19530930    45.3
19531001 19531031    18.5
19531101 19531130    28.0
19531201 19531231    42.1
19540101 19540131    11.7
19540201 19540228     1.3
19540301 19540331     7.2
19540401 19540430   101.0
19540501 19540531    14.6
19540601 19540630    65.4
19540701 19540731    40.0
19540801 19540831    17.4
19540901 19540930    29.4
19541001 19541031    51.7
19541101 19541130    14.7
19541201 19541231    34.3
19550101 19550131     0.0
19550201 19550228    43.6
19550301 19550331    23.6
19550401 19550430    46.6
19550501 19550531    66.8
19550601 19550630   125.8
19550701 19550731    41.8
19550801 19550831    76.4
19550901 19550930    33.7
19551001 19551031    35.5
19551101 19551130    51.8
19551201 19551231    15.0
19560101 19560131     4.1
19560201 19560229     2.3
19560301 19560331     3.5
19560401 19560430    59.2
19560501 19560531    69.0
19560601 19560630   102.4
19560701 19560731    72.9
19560801 19560831    47.7
19560901 19560930    31.2
19561001 19561031    54.3
19561101 19561130     6.4
19561201 19561231     5.6
19570101 19570131     0.0
19570201 19570228     2.3
19570301 19570331    15.2
19570401 19570430    20.9
19570501 19570531    33.9
19570601 19570630    63.9
19570701 19570731    79.1
19570801 19570831    36.2
19570901 19570930    29.6
19571001 19571031    22.0
19571101 19571130     9.0
19571201 19571231    15.5
19580101 19580131     4.2
19580201 19580228     1.8
