PRCP       043038 18970901 20180131 missing_value=99999.9 WALLUMBILLA POST OFFICE                   
19871101 19871130    45.8
19871201 19871231    41.0
19880101 19880131    72.6
19880201 19880229   136.6
19880301 19880331    57.6
19880401 19880430   164.6
19880501 19880531    24.7
19880601 19880630     6.6
19880701 19880731    50.4
19880801 19880831    29.4
19880901 19880930    22.8
19881001 19881031     0.0
19881101 19881130    55.0
19881201 19881231    55.6
19890101 19890131    84.6
19890201 19890228    49.4
19890301 19890331   118.6
19890401 19890430   142.2
19890501 19890531    24.0
19890601 19890630    69.6
19890701 19890731    12.6
19890801 19890831    22.0
19890901 19890930     2.4
19891001 19891031    93.2
19891101 19891130   119.0
19891201 19891231    29.0
19900101 19900131    17.0
19900201 19900228    33.2
19900301 19900331   109.4
19900401 19900430   119.2
19900501 19900531    74.6
19900601 19900630    20.0
19900701 19900731     6.8
19900801 19900831    19.2
19900901 19900930    20.3
19901001 19901031    32.8
19901101 19901130    14.1
19901201 19901231    92.9
19910101 19910131    90.8
19910201 19910228    56.8
19910301 19910331    13.4
19910401 19910430     0.0
19910501 19910531    50.4
19910601 19910630     1.2
19910701 19910731    29.2
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031    10.8
19911101 19911130    70.8
19911201 19911231   143.3
19920101 19920131   108.4
19920201 19920229    63.8
19920301 19920331     9.3
19920401 19920430    40.0
19920501 19920531    63.1
19920601 19920630     0.0
19920701 19920731    13.8
19920801 19920831    22.0
19920901 19920930    36.6
19921001 19921031    33.6
19921101 19921130    47.7
19921201 19921231    29.0
19930101 19930131    40.2
19930201 19930228    16.6
19930301 19930331     0.0
