PRCP       016032 19030101 20170430 missing_value=99999.9 NONNING                                   
19610901 19610930    11.5
19611001 19611031     1.8
19611101 19611130    34.7
19611201 19611231    10.2
19620101 19620131    20.4
19620201 19620228    15.3
19620301 19620331    16.1
19620401 19620430     6.6
19620501 19620531    69.2
19620601 19620630     6.8
19620701 19620731    13.2
19620801 19620831    15.7
19620901 19620930     8.1
19621001 19621031    34.7
19621101 19621130     0.5
19621201 19621231    22.1
19630101 19630131     4.4
19630201 19630228     0.0
19630301 19630331    12.7
19630401 19630430    81.6
19630501 19630531    56.9
19630601 19630630    60.2
19630701 19630731    25.6
19630801 19630831     8.4
19630901 19630930     0.0
19631001 19631031     3.8
19631101 19631130     7.6
19631201 19631231     5.6
19640101 19640131     3.5
19640201 19640229    24.4
19640301 19640331     1.0
19640401 19640430    11.8
19640501 19640531     9.2
19640601 19640630    17.1
19640701 19640731    35.6
19640801 19640831    18.6
19640901 19640930    61.7
19641001 19641031    15.2
19641101 19641130     6.3
19641201 19641231     2.8
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     0.8
19650401 19650430     2.5
19650501 19650531    31.0
19650601 19650630    25.1
19650701 19650731    12.9
19650801 19650831    61.4
19650901 19650930    21.4
19651001 19651031     0.3
19651101 19651130     9.1
19651201 19651231    21.6
19660101 19660131     6.4
19660201 19660228    37.7
19660301 19660331    22.7
19660401 19660430     2.3
19660501 19660531    26.5
19660601 19660630    32.0
19660701 19660731    26.6
19660801 19660831    25.1
19660901 19660930    28.7
19661001 19661031    13.8
19661101 19661130    20.1
19661201 19661231    95.8
19670101 19670131    18.2
19670201 19670228    29.0
19670301 19670331     0.0
19670401 19670430     0.0
19670501 19670531    17.6
19670601 19670630     2.8
19670701 19670731    11.8
19670801 19670831     6.0
19670901 19670930    21.4
19671001 19671031     1.8
19671101 19671130     0.3
19671201 19671231     6.8
19680101 19680131    64.8
19680201 19680229    58.2
19680301 19680331    17.6
19680401 19680430    28.8
19680501 19680531    38.6
19680601 19680630    83.8
19680701 19680731    40.4
19680801 19680831    31.6
19680901 19680930    15.2
19681001 19681031    16.4
19681101 19681130    21.0
19681201 19681231     7.4
19690101 19690131    18.3
19690201 19690228    66.8
19690301 19690331    37.7
19690401 19690430     9.7
19690501 19690531    31.3
19690601 19690630    30.7
19690701 19690731    64.3
19690801 19690831    41.9
19690901 19690930    37.7
19691001 19691031     0.0
19691101 19691130     3.1
19691201 19691231     2.1
19700101 19700131     3.8
19700201 19700228     0.6
19700301 19700331     2.9
19700401 19700430     5.0
19700501 19700531    10.9
19700601 19700630    14.6
19700701 19700731     7.6
19700801 19700831    28.5
19700901 19700930    42.2
19701001 19701031     4.9
19701101 19701130     6.2
19701201 19701231     8.4
19710101 19710131     2.3
19710201 19710228     3.6
19710301 19710331    35.6
19710401 19710430    36.8
19710501 19710531     8.7
19710601 19710630    36.2
19710701 19710731    16.7
19710801 19710831    22.1
19710901 19710930    11.4
19711001 19711031     1.8
19711101 19711130    49.5
19711201 19711231    27.1
19720101 19720131    86.6
19720201 19720229     3.2
19720301 19720331     0.8
19720401 19720430     1.0
19720501 19720531     4.8
19720601 19720630    10.1
19720701 19720731    24.7
19720801 19720831    64.7
19720901 19720930    17.8
19721001 19721031    11.5
19721101 19721130     8.7
19721201 19721231     4.8
19730101 19730131    16.8
19730201 19730228    96.2
19730301 19730331     9.4
19730401 19730430    18.1
19730501 19730531    20.8
19730601 19730630    39.7
19730701 19730731    43.6
19730801 19730831    51.7
19730901 19730930    36.5
19731001 19731031    53.8
19731101 19731130    21.9
19731201 19731231    35.3
19740101 19740131   208.4
19740201 19740228    50.4
19740301 19740331     1.6
19740401 19740430    55.8
19740501 19740531    97.2
19740601 19740630    22.2
19740701 19740731    34.8
19740801 19740831     8.8
19740901 19740930    37.4
19741001 19741031    70.3
19741101 19741130     4.2
19741201 19741231     3.4
19750101 19750131     4.0
19750201 19750228     8.3
19750301 19750331    12.5
19750401 19750430    12.1
19750501 19750531    21.4
19750601 19750630     2.2
19750701 19750731    26.0
19750801 19750831    20.6
19750901 19750930    24.1
19751001 19751031    60.6
19751101 19751130     4.9
19751201 19751231    11.8
19760101 19760131     4.1
19760201 19760229    11.0
19760301 19760331    11.0
19760401 19760430    10.4
19760501 19760531     3.4
19760601 19760630    10.4
19760701 19760731     3.0
19760801 19760831    12.4
19760901 19760930    14.0
19761001 19761031    84.8
19761101 19761130    24.2
19761201 19761231     1.8
19770101 19770131     9.8
19770201 19770228     8.0
19770301 19770331     2.2
19770401 19770430     1.2
19770501 19770531    13.8
19770601 19770630    15.7
19770701 19770731     7.7
19770801 19770831    13.0
19770901 19770930    20.7
19771001 19771031     8.6
19771101 19771130    52.4
19771201 19771231    10.0
19780101 19780131    21.0
19780201 19780228     0.0
19780301 19780331     0.8
19780401 19780430     8.0
19780501 19780531    17.0
19780601 19780630    31.6
19780701 19780731    38.0
19780801 19780831    27.0
19780901 19780930    60.2
19781001 19781031    13.6
19781101 19781130    27.2
19781201 19781231     3.6
19790101 19790131     9.8
19790201 19790228    29.2
19790301 19790331     1.4
19790401 19790430    27.8
19790501 19790531    87.2
19790601 19790630     3.8
19790701 19790731    13.4
19790801 19790831    50.2
19790901 19790930   104.0
19791001 19791031    13.6
19791101 19791130    45.4
19791201 19791231    10.4
19800101 19800131     1.0
19800201 19800229     0.0
19800301 19800331     0.0
19800401 19800430    49.6
19800501 19800531    27.2
19800601 19800630    43.0
19800701 19800731    46.2
19800801 19800831     2.0
19800901 19800930     4.8
19801001 19801031    57.4
19801101 19801130     3.2
19801201 19801231     7.0
19810101 19810131    26.6
19810201 19810228    21.2
19810301 19810331    18.2
19810401 19810430     0.4
19810501 19810531    41.6
19810601 19810630    50.2
19810701 19810731    26.8
19810801 19810831    30.8
19810901 19810930    13.0
19811001 19811031     7.2
19811101 19811130    21.0
19811201 19811231     0.4
19820101 19820131     6.4
19820201 19820228     1.4
19820301 19820331    35.8
19820401 19820430     4.4
19820501 19820531     6.6
19820601 19820630    26.8
19820701 19820731     4.0
19820801 19820831     3.2
19820901 19820930    27.0
19821001 19821031     0.4
19821101 19821130     0.0
19821201 19821231     6.0
19830101 19830131     0.0
19830201 19830228     5.2
19830301 19830331    92.4
19830401 19830430    50.2
19830501 19830531    18.0
19830601 19830630    11.2
19830701 19830731    37.0
19830801 19830831    27.6
19830901 19830930    22.0
19831001 19831031    45.8
19831101 19831130     6.4
19831201 19831231    13.6
19840101 19840131     8.2
19840201 19840229     0.0
19840301 19840331     2.0
19840401 19840430    44.2
19840501 19840531    30.2
19840601 19840630    19.4
19840701 19840731    22.4
19840801 19840831    36.4
19840901 19840930    35.4
19841001 19841031    29.6
19841101 19841130    23.0
19841201 19841231     9.3
19850101 19850131    12.8
19850201 19850228     4.0
19850301 19850331    34.0
19850401 19850430     6.0
19850501 19850531     4.6
19850601 19850630    12.3
19850701 19850731     7.4
19850801 19850831    72.0
19850901 19850930     7.0
19851001 19851031    43.4
19851101 19851130    24.4
19851201 19851231    12.2
19860101 19860131     0.6
19860201 19860228    12.2
19860301 19860331     0.0
19860401 19860430     1.8
19860501 19860531    29.0
19860601 19860630    18.6
19860701 19860731    67.4
19860801 19860831    30.8
19860901 19860930    15.6
19861001 19861031    60.4
19861101 19861130    21.4
19861201 19861231     5.4
19870101 19870131    34.4
19870201 19870228    18.2
19870301 19870331     3.4
19870401 19870430     6.0
19870501 19870531    35.6
19870601 19870630    18.0
19870701 19870731    19.8
19870801 19870831     8.0
19870901 19870930    15.0
19871001 19871031    12.0
19871101 19871130     4.2
19871201 19871231     5.0
19880101 19880131    15.0
19880201 19880229     2.0
19880301 19880331     0.0
19880401 19880430     1.2
19880501 19880531    27.6
19880601 19880630    37.6
19880701 19880731    10.6
19880801 19880831     2.0
19880901 19880930    19.4
19881001 19881031 99999.9
19881101 19881130    14.0
19881201 19881231    18.4
19890101 19890131     0.0
19890201 19890228     0.0
19890301 19890331    30.8
19890401 19890430    26.6
19890501 19890531    50.8
19890601 19890630    50.2
19890701 19890731    61.0
19890801 19890831     7.0
19890901 19890930    11.2
19891001 19891031     6.0
19891101 19891130    21.2
19891201 19891231    10.0
19900101 19900131     7.0
19900201 19900228     6.6
19900301 19900331     1.6
19900401 19900430    21.8
19900501 19900531    16.2
19900601 19900630    32.2
19900701 19900731    29.6
19900801 19900831    26.6
19900901 19900930    20.2
19901001 19901031    19.8
19901101 19901130     0.4
19901201 19901231    46.4
19910101 19910131     7.0
