PRCP       008088 18960101 20171231 missing_value=99999.9 MINGENEW POST OFFICE                      
19681101 19681130     8.6
19681201 19681231     0.0
19690101 19690131     7.6
19690201 19690228    20.6
19690301 19690331     1.0
19690401 19690430     9.8
19690501 19690531    73.2
19690601 19690630    57.6
19690701 19690731    46.2
19690801 19690831    16.1
19690901 19690930     5.3
19691001 19691031     1.0
19691101 19691130    24.7
19691201 19691231     7.6
19700101 19700131     1.3
19700201 19700228   103.8
19700301 19700331     0.0
19700401 19700430    36.5
19700501 19700531    33.1
19700601 19700630   124.9
19700701 19700731    42.0
19700801 19700831    24.1
19700901 19700930    47.7
19701001 19701031    17.5
19701101 19701130     0.0
19701201 19701231    17.0
19710101 19710131    16.3
19710201 19710228    11.7
19710301 19710331   144.3
19710401 19710430     2.6
19710501 19710531    31.6
19710601 19710630    63.3
19710701 19710731    40.1
19710801 19710831    62.1
19710901 19710930    51.8
19711001 19711031    25.0
19711101 19711130     6.9
19711201 19711231     0.0
19720101 19720131     0.5
19720201 19720229     0.0
19720301 19720331     0.0
19720401 19720430     5.0
19720501 19720531    36.5
19720601 19720630    49.9
19720701 19720731   108.4
19720801 19720831    90.3
19720901 19720930    17.0
19721001 19721031    26.7
19721101 19721130     3.6
19721201 19721231     0.5
19730101 19730131     3.6
19730201 19730228     0.5
19730301 19730331     1.3
19730401 19730430    23.4
19730501 19730531    50.9
19730601 19730630    62.7
19730701 19730731    96.2
19730801 19730831    49.0
19730901 19730930    86.5
19731001 19731031    13.2
19731101 19731130    31.0
19731201 19731231    25.7
19740101 19740131     3.6
19740201 19740228     3.6
19740301 19740331    17.2
19740401 19740430    27.0
19740501 19740531   100.0
19740601 19740630    81.0
19740701 19740731   109.8
19740801 19740831    58.6
19740901 19740930    36.0
19741001 19741031    25.0
19741101 19741130    16.0
19741201 19741231     0.0
19750101 19750131     0.0
19750201 19750228    19.0
19750301 19750331    57.4
19750401 19750430    58.8
19750501 19750531    27.4
19750601 19750630    84.8
19750701 19750731   113.0
19750801 19750831    28.8
19750901 19750930    25.4
19751001 19751031    34.8
19751101 19751130     3.6
19751201 19751231    10.0
19760101 19760131     7.4
19760201 19760229    21.6
19760301 19760331    14.4
19760401 19760430    12.2
19760501 19760531    36.5
19760601 19760630    25.6
19760701 19760731    16.6
19760801 19760831    48.5
19760901 19760930    25.2
19761001 19761031    44.4
19761101 19761130    17.0
19761201 19761231     0.0
19770101 19770131     3.2
19770201 19770228     4.6
19770301 19770331     0.4
19770401 19770430    35.6
19770501 19770531    25.6
19770601 19770630    43.0
19770701 19770731    14.8
19770801 19770831    56.8
19770901 19770930     4.0
19771001 19771031    35.6
19771101 19771130     1.2
19771201 19771231     0.0
19780101 19780131     9.0
19780201 19780228    12.0
19780301 19780331     0.4
19780401 19780430    32.8
19780501 19780531    38.4
19780601 19780630    64.6
19780701 19780731    98.2
19780801 19780831    28.4
19780901 19780930    58.6
19781001 19781031    12.2
19781101 19781130     3.2
19781201 19781231     0.0
19790101 19790131     0.0
19790201 19790228     1.0
19790301 19790331    34.8
19790401 19790430    16.6
19790501 19790531    46.6
19790601 19790630    42.4
19790701 19790731    17.6
19790801 19790831    53.2
19790901 19790930     8.9
19791001 19791031     3.2
19791101 19791130    19.8
19791201 19791231     0.0
19800101 19800131     1.2
19800201 19800229     1.4
19800301 19800331    13.0
19800401 19800430    31.4
19800501 19800531    46.2
19800601 19800630    70.0
19800701 19800731    72.0
19800801 19800831    41.8
19800901 19800930     7.0
19801001 19801031    16.5
19801101 19801130     6.6
19801201 19801231     0.0
19810101 19810131     5.2
19810201 19810228    22.0
19810301 19810331     0.4
19810401 19810430     0.0
19810501 19810531    97.0
19810601 19810630    79.5
19810701 19810731    75.0
19810801 19810831    59.6
19810901 19810930    16.0
19811001 19811031    10.8
19811101 19811130     9.8
19811201 19811231    13.0
19820101 19820131    30.8
19820201 19820228     7.4
19820301 19820331    12.0
19820401 19820430     3.8
19820501 19820531    15.4
19820601 19820630   103.1
19820701 19820731    36.2
19820801 19820831    26.8
19820901 19820930    57.0
19821001 19821031     8.0
19821101 19821130     0.0
19821201 19821231     2.0
19830101 19830131     0.0
19830201 19830228     0.9
19830301 19830331     1.8
19830401 19830430     4.2
19830501 19830531    18.4
19830601 19830630   102.9
19830701 19830731    80.8
19830801 19830831    66.0
19830901 19830930    40.4
19831001 19831031     1.0
19831101 19831130    44.0
19831201 19831231    37.8
19840101 19840131     0.0
19840201 19840229    33.7
19840301 19840331    63.7
19840401 19840430   105.0
19840501 19840531   111.8
19840601 19840630    18.6
19840701 19840731    40.4
19840801 19840831    41.8
19840901 19840930    37.4
19841001 19841031    21.8
19841101 19841130    28.7
19841201 19841231     0.0
19850101 19850131     0.0
19850201 19850228    12.7
19850301 19850331    28.0
19850401 19850430     1.2
19850501 19850531    18.6
19850601 19850630    34.4
19850701 19850731    79.6
19850801 19850831    52.6
19850901 19850930    25.4
19851001 19851031     6.5
19851101 19851130    10.6
19851201 19851231    16.4
19860101 19860131    18.7
19860201 19860228    50.5
19860301 19860331     3.2
19860401 19860430     2.4
19860501 19860531    93.4
19860601 19860630   126.6
19860701 19860731   114.7
19860801 19860831    50.2
19860901 19860930    13.8
19861001 19861031    15.8
19861101 19861130     0.6
19861201 19861231     0.0
19870101 19870131     0.0
19870201 19870228     4.4
19870301 19870331    17.6
19870401 19870430    22.2
19870501 19870531    22.6
19870601 19870630    56.4
19870701 19870731    77.2
19870801 19870831    38.6
19870901 19870930     9.8
19871001 19871031    22.0
19871101 19871130    27.0
19871201 19871231     0.2
19880101 19880131     0.0
19880201 19880229    15.2
19880301 19880331    22.0
19880401 19880430    14.6
19880501 19880531   116.3
19880601 19880630    55.2
19880701 19880731    73.2
19880801 19880831    70.6
19880901 19880930    18.4
19881001 19881031     6.6
19881101 19881130    16.8
19881201 19881231    10.6
19890101 19890131     1.8
19890201 19890228    23.4
19890301 19890331     0.4
19890401 19890430    21.0
19890501 19890531    88.4
19890601 19890630    62.0
19890701 19890731    48.8
19890801 19890831    20.0
19890901 19890930    18.8
19891001 19891031    17.4
19891101 19891130     0.2
19891201 19891231     0.0
19900101 19900131    93.0
19900201 19900228     1.8
19900301 19900331     2.2
19900401 19900430    32.8
19900501 19900531    54.0
19900601 19900630    52.8
19900701 19900731    60.4
19900801 19900831    45.2
19900901 19900930    30.6
19901001 19901031   163.8
19901101 19901130     1.4
19901201 19901231     3.6
19910101 19910131     9.6
19910201 19910228     2.8
19910301 19910331     2.2
19910401 19910430    33.3
19910501 19910531    20.4
19910601 19910630    92.0
19910701 19910731    80.2
19910801 19910831    21.1
19910901 19910930    19.8
