PRCP       010039 19100101 20171231 missing_value=99999.9 DOODARDING WELL                           
19910401 19910430    11.8
19910501 19910531    26.2
19910601 19910630    71.3
19910701 19910731    41.6
19910801 19910831    27.8
19910901 19910930    19.6
19911001 19911031    14.2
19911101 19911130    31.6
19911201 19911231    71.6
19920101 19920131     0.0
19920201 19920229    48.2
19920301 19920331    41.4
19920401 19920430    61.4
19920501 19920531     8.2
19920601 19920630    66.0
19920701 19920731    40.7
19920801 19920831    68.0
19920901 19920930    53.0
19921001 19921031     6.2
19921101 19921130     9.2
19921201 19921231     0.6
19930101 19930131     0.0
19930201 19930228     0.0
19930301 19930331    10.0
19930401 19930430    12.8
19930501 19930531    84.8
19930601 19930630    56.6
19930701 19930731    32.6
19930801 19930831    45.6
19930901 19930930    23.2
19931001 19931031     6.0
19931101 19931130    28.8
19931201 19931231     1.6
19940101 19940131     3.5
19940201 19940228    18.0
19940301 19940331     0.0
19940401 19940430     0.0
19940501 19940531    34.4
19940601 19940630    23.6
19940701 19940731    29.4
19940801 19940831    49.4
19940901 19940930    16.8
19941001 19941031     0.4
19941101 19941130     0.0
19941201 19941231     5.2
19950101 19950131     5.6
19950201 19950228    12.0
19950301 19950331    24.0
19950401 19950430    12.4
19950501 19950531    37.8
19950601 19950630    44.0
19950701 19950731   118.0
19950801 19950831    21.0
19950901 19950930    27.4
19951001 19951031    20.2
19951101 19951130     2.2
19951201 19951231    19.8
19960101 19960131     0.0
19960201 19960229     6.2
19960301 19960331     3.8
19960401 19960430    32.6
19960501 19960531    20.2
19960601 19960630    44.5
19960701 19960731    82.2
19960801 19960831    38.6
19960901 19960930    44.4
19961001 19961031    12.2
19961101 19961130    23.0
19961201 19961231     0.0
19970101 19970131     3.2
19970201 19970228    21.4
19970301 19970331    12.2
19970401 19970430    27.8
19970501 19970531    34.6
19970601 19970630    21.8
19970701 19970731    48.6
19970801 19970831    50.8
19970901 19970930    25.0
19971001 19971031     9.8
19971101 19971130    22.0
19971201 19971231     1.2
19980101 19980131     0.0
19980201 19980228     0.0
19980301 19980331     2.2
19980401 19980430    44.6
19980501 19980531    44.0
19980601 19980630    92.6
19980701 19980731    47.4
19980801 19980831    48.4
19980901 19980930    27.8
19981001 19981031     2.8
19981101 19981130     0.6
19981201 19981231     0.0
19990101 19990131     0.0
19990201 19990228     0.0
19990301 19990331    92.1
19990401 19990430     8.2
19990501 19990531    96.2
19990601 19990630    45.8
19990701 19990731    62.2
19990801 19990831    45.1
19990901 19990930    45.2
19991001 19991031    29.6
19991101 19991130     9.0
19991201 19991231    15.2
20000101 20000131    92.6
20000201 20000229     0.0
20000301 20000331    51.6
20000401 20000430    12.6
20000501 20000531     9.6
20000601 20000630    18.4
20000701 20000731    44.4
20000801 20000831    34.8
20000901 20000930    10.4
20001001 20001031     1.0
20001101 20001130     0.0
20001201 20001231     4.6
20010101 20010131    46.0
20010201 20010228    14.7
20010301 20010331     1.6
20010401 20010430     2.6
20010501 20010531    57.3
20010601 20010630    13.2
20010701 20010731    43.8
20010801 20010831    21.4
20010901 20010930    31.6
20011001 20011031    14.6
20011101 20011130    27.2
20011201 20011231     1.4
20020101 20020131     8.0
20020201 20020228     0.0
20020301 20020331     2.0
20020401 20020430    19.0
20020501 20020531     5.0
20020601 20020630    25.4
20020701 20020731    28.3
20020801 20020831    32.6
20020901 20020930    17.0
20021001 20021031     9.6
20021101 20021130    19.2
20021201 20021231    31.0
20030101 20030131     1.2
20030201 20030228    27.8
20030301 20030331    13.6
20030401 20030430    42.2
20030501 20030531    44.2
20030601 20030630    64.4
20030701 20030731    36.2
20030801 20030831    61.2
20030901 20030930    35.4
20031001 20031031     3.6
20031101 20031130    17.8
20031201 20031231     0.0
20040101 20040131    24.0
20040201 20040229    28.2
20040301 20040331     0.0
20040401 20040430     5.6
20040501 20040531    52.0
20040601 20040630    71.4
20040701 20040731    34.5
20040801 20040831    59.0
20040901 20040930    14.6
20041001 20041031    13.0
20041101 20041130    19.0
20041201 20041231     0.0
20050101 20050131     0.0
20050201 20050228     0.0
20050301 20050331    58.6
20050401 20050430    23.0
20050501 20050531    57.2
20050601 20050630    61.3
20050701 20050731    14.4
20050801 20050831    48.0
20050901 20050930    25.0
20051001 20051031     4.6
