PRCP       016022 19050701 20171231 missing_value=99999.9 KONDOOLKA                                 
19900301 19900331    10.0
19900401 19900430     9.2
19900501 19900531    35.4
19900601 19900630    43.4
19900701 19900731    63.4
19900801 19900831    30.4
19900901 19900930    25.4
19901001 19901031    21.4
19901101 19901130     3.2
19901201 19901231    24.4
19910101 19910131     3.8
19910201 19910228     0.0
19910301 19910331     8.6
19910401 19910430    20.2
19910501 19910531     9.4
19910601 19910630   125.8
19910701 19910731    15.0
19910801 19910831    22.0
19910901 19910930    10.0
19911001 19911031     1.2
19911101 19911130    44.8
19911201 19911231     1.6
19920101 19920131     2.4
19920201 19920229    32.8
19920301 19920331    21.6
19920401 19920430    21.6
19920501 19920531    27.6
19920601 19920630    22.8
19920701 19920731    16.2
19920801 19920831    62.2
19920901 19920930    50.0
19921001 19921031    77.0
19921101 19921130    31.6
19921201 19921231   106.0
19930101 19930131    30.6
19930201 19930228     1.8
19930301 19930331     2.0
19930401 19930430     0.0
19930501 19930531    36.0
19930601 19930630    11.6
19930701 19930731    18.0
19930801 19930831    30.6
19930901 19930930    19.6
19931001 19931031    77.6
19931101 19931130     2.0
19931201 19931231    54.6
19940101 19940131     2.8
19940201 19940228     9.0
19940301 19940331     0.0
19940401 19940430     0.0
19940501 19940531     6.8
19940601 19940630    53.2
19940701 19940731    21.0
19940801 19940831     7.6
19940901 19940930 99999.9
19941001 19941031    20.2
19941101 19941130     7.0
19941201 19941231     0.0
19950101 19950131    19.8
19950201 19950228     2.0
19950301 19950331     1.0
19950401 19950430    37.2
19950501 19950531    15.0
19950601 19950630    60.6
19950701 19950731    55.4
19950801 19950831     8.0
19950901 19950930    21.8
19951001 19951031    24.4
19951101 19951130    24.4
19951201 19951231    13.6
19960101 19960131     0.0
19960201 19960229     4.4
19960301 19960331     1.8
19960401 19960430     2.6
19960501 19960531     4.0
19960601 19960630    22.6
19960701 19960731    62.6
19960801 19960831    51.2
19960901 19960930    61.2
19961001 19961031    16.0
19961101 19961130    11.2
19961201 19961231     5.2
19970101 19970131     6.2
19970201 19970228    23.0
19970301 19970331     1.2
19970401 19970430     0.0
19970501 19970531    29.2
19970601 19970630    14.2
19970701 19970731     7.6
19970801 19970831    46.2
19970901 19970930    83.2
19971001 19971031    33.8
19971101 19971130    22.2
19971201 19971231 99999.9
19980101 19980131    18.6
19980201 19980228    14.8
19980301 19980331     8.2
19980401 19980430    44.8
19980501 19980531     6.0
19980601 19980630    31.8
19980701 19980731    71.2
19980801 19980831    30.0
19980901 19980930    18.8
19981001 19981031    10.0
19981101 19981130    17.8
19981201 19981231    12.4
19990101 19990131    57.4
19990201 19990228    18.6
19990301 19990331    10.4
19990401 19990430     0.0
19990501 19990531    16.2
19990601 19990630    23.6
19990701 19990731    11.8
19990801 19990831    18.6
19990901 19990930    26.4
19991001 19991031    53.0
19991101 19991130    11.4
19991201 19991231     2.6
20000101 20000131     9.8
20000201 20000229    13.8
20000301 20000331    37.8
20000401 20000430    12.8
20000501 20000531    22.4
20000601 20000630    19.8
20000701 20000731    20.4
20000801 20000831    90.6
20000901 20000930    21.6
20001001 20001031    30.6
20001101 20001130    16.4
20001201 20001231     3.6
20010101 20010131     5.0
20010201 20010228     0.0
20010301 20010331     7.6
20010401 20010430     2.0
